得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,defensiveFouls,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,防守投篮被命中数,防守投篮未命中数,防守投篮出手数,防守投篮命中率,底角三分出手数,cornerThfgM,非底角三分出手数,nonCornerThfgM,短中距离出手数,smfgM,长中距离出手数,lmfgM,scheduleTime,date,主客场,胜负,scheduleId,teamId,teamName,teamLogo,上场时间(分钟),wins,losses,teamTotalNum,leagueEventId,leagueEvent,season,seasonId,year,出场次数,gamesPlayedComputed,teamTurnovers,teamFouls,teamRebounds,teamOffensiveRebounds,teamDefensiveRebounds,opponentId,对手,对手得分,oppOffensiveRebounds,oppDefensiveRebounds,oppRebounds,oppAssists,oppSteals,oppBlocks,对手失误,oppPersonalFouls,oppFgM,oppFga,oppFgPct,对手篮下命中数,对手篮下出手数,对手篮下命中率,对手中距离命中数,对手中距离出手数,对手中距离命中率,对手三分命中数,对手三分出手数,对手三分命中率,oppFtM,oppFta,oppFtPct,oppCornerThfga,oppCornerThfgM,oppNonCornerThfga,oppNonCornerThfgM,oppSmfga,oppSmfgM,oppLmfga,oppLmfgM,teamPossessions,oppPossessions,回合数,_period
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19,0,2,200390010267,1003321308,中国U17,,,,,,20039,CBDL,,200809,,,,,,,,,2010420235,深圳马可波罗(CBDL),54,11,22,33,9,8,4,15,21,17,57,0.2982,7,20,0.35,6,15,0.4,4,22,0.1818,16,27,0.5926,,,,,,,,,0,0,0,CBDL 2025
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-18,1,1,200390010270,1003321308,中国U17,,,,,,20039,CBDL,,200809,,,,,,,,,2010420237,山东高速(CBDL),93,13,24,37,22,8,4,12,18,32,65,0.4923,15,26,0.5769,6,15,0.4,11,24,0.4583,18,20,0.9,,,,,,,,,0,0,0,CBDL 2025
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-17,1,1,200390010274,1003321308,中国U17,,,,,,20039,CBDL,,200809,,,,,,,,,2010420228,南京天之蓝CBDL,94,9,28,37,22,10,2,17,14,35,65,0.5385,18,32,0.5625,5,10,0.5,12,23,0.5217,12,24,0.5,,,,,,,,,0,0,0,CBDL 2025
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-15,1,1,200390010279,1003321308,中国U17,,,,,,20039,CBDL,,200809,,,,,,,,,1003320593,广州龙狮(CBDL),80,6,26,32,16,7,4,17,23,25,55,0.4545,14,18,0.7778,5,12,0.4167,6,25,0.24,24,28,0.8571,,,,,,,,,0,0,0,CBDL 2025
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-14,0,2,200390010283,1003321308,中国U17,,,,,,20039,CBDL,,200809,,,,,,,,,1003320596,四川锦城(CBDL),59,21,21,42,16,13,1,17,14,20,67,0.2985,10,27,0.3704,5,18,0.2778,5,22,0.2273,14,25,0.56,,,,,,,,,0,0,0,CBDL 2025
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,0,2,200390010286,1003321308,中国U17,,,,,,20039,CBDL,,200809,,,,,,,,,1003320597,浙江稠州银行(CBDL),68,11,26,37,9,9,3,17,16,23,65,0.3538,11,23,0.4783,8,26,0.3077,4,16,0.25,18,23,0.7826,,,,,,,,,0,0,0,CBDL 2025
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-29,1,1,100180010174,1003321308,中国U17,,,,,,10018,U17世界杯,,200310,,,,,,,,,2010421457,几内亚U17,101,20,36,56,27,7,4,17,23,40,82,0.4878,19,30,0.6333,16,36,0.4444,5,16,0.3125,16,21,0.7619,,,,,,,,,0,0,0,U17世界杯 2024
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,0,2,100180010181,1003321308,中国U17,,,,,,10018,U17世界杯,,200310,,,,,,,,,1003321289,法国U17,70,16,22,38,19,14,5,13,23,21,66,0.3182,13,19,0.6842,4,18,0.2222,4,29,0.1379,24,32,0.75,,,,,,,,,0,0,0,U17世界杯 2024
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02,1,1,100180010189,1003321308,中国U17,,,,,,10018,U17世界杯,,200310,,,,,,,,,1003323045,美国U17,146,23,33,56,43,33,7,11,15,57,102,0.5588,38,58,0.6552,6,18,0.3333,13,26,0.5,19,28,0.6786,,,,,,,,,0,0,0,U17世界杯 2024
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-03,0,1,100180010197,1003321308,中国U17,,,,,,10018,U17世界杯,,200310,,,,,,,,,1003321281,立陶宛U17,76,17,27,44,16,6,3,11,21,24,67,0.3582,11,23,0.4783,4,19,0.2105,9,25,0.36,19,25,0.76,,,,,,,,,0,0,0,U17世界杯 2024
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-05,1,1,100180010204,1003321308,中国U17,,,,,,10018,U17世界杯,,200310,,,,,,,,,1003321294,埃及U17,85,22,31,53,20,3,8,12,14,36,76,0.4737,22,31,0.7097,9,20,0.45,5,25,0.2,8,12,0.6667,,,,,,,,,0,0,0,U17世界杯 2024
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-06,1,2,100180010213,1003321308,中国U17,,,,,,10018,U17世界杯,,200310,,,,,,,,,1003321303,菲律宾U17,66,7,28,35,9,11,4,8,20,20,61,0.3279,8,23,0.3478,7,19,0.3684,5,19,0.2632,21,26,0.8077,,,,,,,,,0,0,0,U17世界杯 2024
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-07,0,2,100180010222,1003321308,中国U17,,,,,,10018,U17世界杯,,200310,,,,,,,,,2010421457,几内亚U17,101,14,23,37,24,5,1,11,18,43,77,0.5584,21,32,0.6563,13,23,0.5652,9,22,0.4091,6,11,0.5455,,,,,,,,,0,0,0,U17世界杯 2024
