_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CBDL,CBDL,1003321308,中国U17,-0.072875,-0.022807,-0.062016,-0.017274,-0.049335,0.040081,-0.062299,-0.007108,-0.112703,0.140909,-0.024765,0.020833,0.137468,-0.131707,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,33546,姚盛彬,,,16,,,,,,240,,差值,,13.33,38,24.67,33.33,28,74.67,21.33,56.67,94.67,6,71.33,40.67,1.33,94.67
CBDL,CBDL,1003321308,中国U17,0.564103,0.4,0.666667,0.210256,0.390244,0.389744,0.368421,0.466292,0.449438,0.45,0.269663,0.354167,0.280899,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,33546,姚盛彬,,,16,,,,,,109.6,6578,在场,,82.14,51.19,76.19,42.86,66.67,55.95,78.57,46.43,22.62,89.29,20.24,45.24,88.1,16.67
CBDL,CBDL,1003321308,中国U17,0.491228,0.377193,0.604651,0.192982,0.340909,0.429825,0.306122,0.459184,0.336735,0.590909,0.244898,0.375,0.418367,0.268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,33546,姚盛彬,,,16,,,,,,130.4,7822,不在场,,59.52,39.29,51.19,35.71,54.76,67.86,65.48,51.19,79.76,58.33,29.76,39.29,34.52,50
CBDL,CBDL,1003321308,中国U17,0.119756,0.015041,0.026974,0.037642,0.148497,-0.052683,0.137908,0.01059,0.021326,-0.103833,0.055272,0.1,-0.076596,0.062745,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34491,石洺豪,,,16,,,,,,240,,差值,,97.33,52.67,63.33,78.67,93.33,28,94,42.67,34.67,82.67,12.67,18.67,86.67,25.33
CBDL,CBDL,1003321308,中国U17,0.49,0.383333,0.626087,0.19,0.315789,0.426667,0.296875,0.459707,0.384615,0.542857,0.241758,0.333333,0.373626,0.303922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34491,石洺豪,,,16,,,,,,172.5,10352,在场,,59.52,41.67,58.33,33.33,46.43,65.48,60.71,51.19,55.95,69.05,34.52,48.81,50,36.9
CBDL,CBDL,1003321308,中国U17,0.609756,0.398374,0.653061,0.227642,0.464286,0.373984,0.434783,0.470297,0.405941,0.439024,0.29703,0.433333,0.29703,0.366667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34491,石洺豪,,,16,,,,,,67.5,4048,不在场,,95.24,51.19,75,55.95,82.14,50,88.1,46.43,42.86,92.86,11.9,21.43,83.33,22.62
CBDL,CBDL,1003321308,中国U17,0.029303,0.06694,0.040625,-0.040711,-0.002218,-0.02623,0,0.003017,0.096531,-0.174819,0.003017,-0.076923,-0.099548,0.153209,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,,,,,240,,差值,,66.67,82.67,67.33,18,47.33,38,46.67,50,8,93.33,48,80,93.33,2.67
CBDL,CBDL,1003321308,中国U17,0.5375,0.416667,0.65,0.183333,0.363636,0.4,0.333333,0.463801,0.429864,0.452632,0.257919,0.333333,0.312217,0.391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,,,,,134,8041,不在场,,73.81,66.67,73.81,32.14,57.14,60.71,70.24,47.62,29.76,89.29,26.19,48.81,79.76,16.67
CBDL,CBDL,1003321308,中国U17,0.508197,0.349727,0.609375,0.224044,0.365854,0.42623,0.333333,0.460784,0.333333,0.627451,0.254902,0.410256,0.411765,0.238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,,,,,106,6359,在场,,61.9,21.43,57.14,52.38,59.52,65.48,70.24,50,80.95,41.67,26.19,27.38,35.71,67.86
CBDL,CBDL,1003321308,中国U17,-0.131367,-0.04929,-0.192821,0.008489,-0.142356,0.0408,-0.037878,0.158851,0.0508,0.273172,-0.059471,0.05774,0.008669,0.046088,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82404,杨子默,,,15,,,,,,240,,差值,,4,25.33,3.33,58.67,8.67,75.33,34,1.33,20.67,0,86,29.33,44.67,31.33
