_group,_leagueName,teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,lineups,上场时间(秒),上场时间(分钟),每回合得分百分位排名,打法占比百分位排名,球队eFG%百分位,球队篮下出手占比百分位排名,球队中距离出手占比百分位排名,球队三分出手占比百分位排名,失误占比百分位排名,造罚球占比百分位排名,对手每回合得分百分位排名,对手打法占比百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手中距离出手占比百分位排名,对手三分出手占比百分位排名,对手失误占比百分位排名,对手造罚球占比百分位排名,onOff
CBDL,CBDL,1003321308,中国U17,38,,Transition,0.1617,0.7755,49,21,,7,5,2,3,11,1,10,0.472973,0.5676,0.1351,0.2973,8,0.1633,4,0.0816,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,33546,,,4,16,1,,181,75,,,7822,130.4,16.67,36.9,25,23.81,65.48,72.62,36.9,34.52,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,48,,Transition,0.1829,1.0213,47,23,,6,2,1,1,10,3,7,0.642857,0.6571,0.0571,0.2857,9,0.1915,3,0.0638,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,33546,,,4,16,1,,181,75,,,6578,109.6,41.67,57.14,63.86,42.86,30.95,67.47,25,27.38,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0212,-0.2458,,,,,,,,,,,-0.1699,-0.0895,0.078,0.0116,,-0.0282,,0.0178,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,33546,,,4,16,1,,181,75,,,,,39.01,22.77,35.87,39.01,87.89,64.13,50.67,71.75,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,27,,Transition,0.1613,1.08,25,13,,3,1,0,1,4,2,2,0.722222,0.7222,0.0556,0.2222,4,0.16,3,0.12,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34491,,,5,16,1,,183,70,,,4048,67.5,51.19,36.9,80.95,61.45,30.95,51.81,38.55,54.22,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,56,,Transition,0.1734,0.8116,69,30,,10,6,3,3,17,2,15,0.490566,0.566,0.1132,0.3208,12,0.1739,4,0.058,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34491,,,5,16,1,,183,70,,,10352,172.5,17.86,47.62,25,23.81,59.52,77.38,28.57,26.19,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0121,0.2684,,,,,,,,,,,0.2317,0.1562,-0.0576,-0.0986,,-0.0139,,0.062,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34491,,,5,16,1,,183,70,,,,,90.13,22.77,94.62,89.69,33.63,38.57,46.19,84.75,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,62,,Transition,0.2032,0.9688,64,29,,8,4,2,2,14,4,10,0.617021,0.617,0.0851,0.2979,12,0.1875,5,0.0781,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34577,,,6,16,1,,185,85,,,8041,134,33.33,65.48,57.14,38.1,46.43,72.62,25,34.52,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,24,,Transition,0.1301,0.75,32,15,,5,3,1,2,7,0,7,0.44,0.6,0.12,0.28,5,0.1563,2,0.0625,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34577,,,6,16,1,,185,85,,,6359,106,16.67,13.1,23.81,33.73,60.71,66.67,40.48,26.51,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,0.0731,0.2188,,,,,,,,,,,0.177,0.017,-0.0349,0.0179,,0.0312,,0.0156,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34577,,,6,16,1,,185,85,,,,,81.61,100,91.03,65.02,49.33,66.82,25.56,70.85,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,16,,Transition,0.1548,0.6667,24,13,,7,1,0,1,8,1,7,0.340909,0.5909,0.0455,0.3636,2,0.0833,0,0,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82404,,,7,15,1,,188,80,,,3880,64.7,10.84,29.76,14.29,33.33,29.76,84.34,75.9,0,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,67,,Transition,0.175,0.9571,70,30,,6,6,3,3,13,3,10,0.642857,0.6122,0.1224,0.2653,14,0.2,7,0.1,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82404,,,7,15,1,,188,80,,,10520,175.3,33.33,48.19,63.86,36.9,60.71,64.29,22.89,44.58,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0202,-0.2904,,,,,,,,,,,-0.3019,-0.0213,-0.0769,0.0983,,-0.1167,,-0.1,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82404,,,7,15,1,,188,80,,,,,34.98,22.77,28.25,52.91,28.7,85.65,81.17,27.8,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,8,,Transition,0.1507,0.7273,11,4,,1,1,1,0,2,0,2,0.571429,0.5714,0.1429,0.2857,2,0.1818,2,0.1818,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34506,,,8,16,1,,195,85,,,1998,33.3,16.67,26.19,45.78,24.1,66.27,67.47,25.3,73.49,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,75,,Transition,0.1729,0.9036,83,39,,12,6,2,4,19,4,15,0.546875,0.6094,0.0938,0.2969,14,0.1687,5,0.0602,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34506,,,8,16,1,,195,85,,,12402,206.7,29.76,47.62,36.9,36.9,48.81,72.62,29.76,26.19,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0222,-0.1763,,,,,,,,,,,0.0246,-0.038,0.0491,-0.0112,,0.0131,,0.1216,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34506,,,8,16,1,,195,85,,,,,46.19,22.77,64.13,48.43,80.72,59.64,33.18,94.17,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,2,,Transition,0.125,0.6667,3,2,,1,0,0,0,1,0,1,0.333333,0.6667,0,0.3333,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34297,,,9,15,1,,195,83,,,549,9.2,10.84,13.1,12.05,45.78,0,80.72,100,0,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,81,,Transition,0.172,0.8901,91,41,,12,7,3,4,20,4,16,0.558824,0.6029,0.1029,0.2941,16,0.1758,7,0.0769,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34297,,,9,15,1,,195,83,,,13851,230.9,29.76,45.78,43.37,36.9,54.76,72.62,28.57,33.73,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.047,-0.2234,,,,,,,,,,,-0.2255,0.0638,-0.1029,0.0392,,-0.1758,,-0.0769,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34297,,,9,15,1,,195,83,,,,,41.26,22.77,30.49,78.48,22.87,72.65,96.86,33.63,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,27,,Transition,0.1577,0.7714,35,16,,5,2,1,1,8,0,8,0.461538,0.6154,0.0769,0.3077,7,0.2,2,0.0571,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82168,,,10,16,1,,195,83,,,5726,95.4,16.67,30.95,23.81,37.35,43.37,76.19,22.89,26.19,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,59,,Transition,0.1834,0.9516,62,28,,8,5,2,3,13,4,9,0.608696,0.6087,0.1087,0.2826,10,0.1613,6,0.0968,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82168,,,10,16,1,,195,83,,,8674,144.6,33.33,57.14,54.76,36.9,54.76,66.67,36.9,44.05,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0257,-0.1802,,,,,,,,,,,-0.1472,0.0067,-0.0318,0.0251,,0.0387,,-0.0397,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82168,,,10,16,1,,195,83,,,,,44.84,22.77,39.46,61.43,49.78,70.4,24.22,44.39,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,52,,Transition,0.2186,1.1064,47,21,,5,4,3,1,10,4,6,0.714286,0.6,0.1143,0.2857,7,0.1489,5,0.1064,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82212,,,11,16,1,,194,85,,,5488,91.5,55.95,76.19,80.95,33.73,59.52,67.47,40.48,50,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,34,,Transition,0.1437,0.6939,49,23,,8,3,0,3,11,0,11,0.405405,0.6216,0.0811,0.2973,10,0.2041,2,0.0408,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82212,,,11,16,1,,194,85,,,8912,148.5,13.1,25,20.24,38.1,44.05,72.62,19.05,17.86,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,0.0749,0.4125,,,,,,,,,,,0.3089,-0.0216,0.0332,-0.0116,,-0.0552,,0.0656,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82212,,,11,16,1,,194,85,,,,,95.96,100,98.65,52.47,76.23,58.74,58.3,86.1,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,15,,Transition,0.1429,1,15,7,,1,1,0,1,3,0,3,0.545455,0.6364,0.0909,0.2727,4,0.2667,0,0,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34995,,,12,15,1,,202,87,,,2727,45.5,36.14,24.1,36.9,39.76,46.99,66.27,4.82,0,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,71,,Transition,0.1782,0.8875,80,37,,12,6,3,3,18,4,14,0.557377,0.6066,0.0984,0.2951,12,0.15,7,0.0875,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34995,,,12,15,1,,202,87,,,11673,194.6,28.57,53.57,42.86,36.9,48.81,72.62,40.48,41.67,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0353,0.1125,,,,,,,,,,,-0.0119,0.0298,-0.0075,-0.0224,,0.1167,,-0.0875,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34995,,,12,15,1,,202,87,,,,,73.09,22.77,58.74,69.06,60.09,57.4,5.38,30.49,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,65,,Transition,0.1898,0.9155,71,33,,11,7,3,4,13,4,9,0.584906,0.6226,0.1321,0.2453,13,0.1831,5,0.0704,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,36317,,,13,15,1,,203,99,,,9658,161,32.14,61.9,50,38.1,65.48,58.33,25,28.57,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,18,,Transition,0.1374,0.72,25,10,,2,0,0,0,8,0,8,0.444444,0.5556,0,0.4444,5,0.2,2,0.08,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,36317,,,13,15,1,,203,99,,,4742,79,15.66,21.43,23.81,22.89,0,94.05,22.89,34.52,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,0.0524,0.1955,,,,,,,,,,,0.1405,0.067,0.1321,-0.1991,,-0.0169,,-0.0096,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,36317,,,13,15,1,,203,99,,,,,78.92,100,83.86,78.92,95.96,19.73,46.64,57.85,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,9,,Transition,0.1196,0.8182,11,5,,1,0,0,0,2,0,2,0.571429,0.7143,0,0.2857,3,0.2727,1,0.0909,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34608,,,14,15,1,,200,90,,,2440,40.7,19.28,12.05,45.78,57.83,0,67.47,4.76,42.17,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,77,,Transition,0.1814,0.9167,84,39,,12,7,3,4,19,4,15,0.553846,0.6,0.1077,0.2923,13,0.1548,6,0.0714,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34608,,,14,15,1,,200,90,,,11960,199.3,32.14,54.76,38.1,33.73,54.76,72.62,40.48,30.12,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0618,-0.0985,,,,,,,,,,,0.0176,0.1143,-0.1077,-0.0066,,0.1179,,0.0195,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34608,,,14,15,1,,200,90,,,,,52.02,22.77,63.23,87.44,18.39,60.99,4.93,74.89,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,13,,Transition,0.1379,1.0833,12,6,,0,2,0,2,2,0,2,0.6,0.6,0.2,0.2,1,0.0833,1,0.0833,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34538,,,15,15,1,,200,92,,,2229,37.2,51.81,21.69,51.81,33.73,80.72,45.78,75.9,36.14,,,,,,,,,不在场
CBDL,CBDL,1003321308,中国U17,70,,Transition,0.1763,0.8537,82,37,,13,5,3,2,19,4,15,0.540984,0.6066,0.082,0.3115,15,0.1829,6,0.0732,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34538,,,15,15,1,,200,92,,,12171,202.9,25,50,35.71,36.9,44.05,76.19,25,33.33,,,,,,,,,在场
CBDL,CBDL,1003321308,中国U17,,,Transition,-0.0384,0.2296,,,,,,,,,,,0.059,-0.0066,0.118,-0.1115,,-0.0996,,0.0101,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34538,,,15,15,1,,200,92,,,,,85.65,22.77,71.3,55.16,94.62,35.43,72.65,67.26,,,,,,,,,差值
CBDL,CBDL,1003321308,中国U17,7,,Transition,0.1504,0.4118,17,5,,2,0,0,0,6,0,6,0.272727,0.4545,0,0.5455,5,0.2941,1,0.0588,,,,,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34644,,,16,15,1,,204,95,,,3004,50.1,1.19,26.19,4.82,9.64,0,97.62,2.38,26.19,,,,,,,,,不在场
