_group,_seasonYear,_season,_stageName,得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,上场时间(分钟),上场时间(秒),_playerName
CBDL,2025,2025-26,全部,5,3,3,6,7,0,0,2,3,2,5,0.4,1,2,0.5,0,1,0,1,2,0.5,0,0,0,33546,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,18.5,1112,姚盛彬
CBDL,2025,2025-26,全部,8,1,1,2,11,0,0,3,3,1,3,0.3333,0,0,0,0,2,0,1,1,1,5,5,1,33546,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,26.9,1614,姚盛彬
CBDL,2025,2025-26,全部,8,0,0,0,3,0,0,2,4,1,2,0.5,0,0,0,0,0,0,1,2,0.5,5,5,1,33546,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,24.1,1446,姚盛彬
CBDL,2025,2025-26,全部,6,0,3,3,7,1,0,1,2,1,4,0.25,0,2,0,1,1,1,0,1,0,4,4,1,33546,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,27.8,1667,姚盛彬
CBDL,2025,2025-26,全部,0,0,2,2,3,2,0,3,2,0,4,0,0,1,0,0,2,0,0,1,0,0,0,0,33546,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,19.2,1151,姚盛彬
CBDL,2025,2025-26,全部,2,2,2,4,5,0,0,1,4,1,2,0.5,1,1,1,0,1,0,0,0,0,0,0,0,33546,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,13.9,832,姚盛彬
CBDL,2025,2025-26,全部,8,2,2,4,1,0,0,0,3,3,11,0.2727,1,2,0.5,0,4,0,2,5,0.4,0,0,0,34491,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,24.4,1462,石洺豪
CBDL,2025,2025-26,全部,3,0,0,0,0,0,0,1,0,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,34491,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,6.6,397,石洺豪
CBDL,2025,2025-26,全部,16,0,2,2,3,0,0,1,2,5,8,0.625,1,1,1,0,1,0,4,6,0.6667,2,2,1,34491,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,20.8,1245,石洺豪
CBDL,2025,2025-26,全部,14,1,1,2,1,0,0,2,2,6,7,0.8571,0,0,0,4,4,1,2,3,0.6667,0,0,0,34491,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,15.7,944,石洺豪
CBDL,2025,2025-26,全部,10,1,5,6,8,1,0,2,2,3,8,0.375,1,2,0.5,0,1,0,2,5,0.4,2,4,0.5,34577,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,21.5,1288,陈昱休
CBDL,2025,2025-26,全部,15,0,1,1,5,1,0,0,4,6,9,0.6667,3,3,1,0,1,0,3,5,0.6,0,0,0,34577,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,21.7,1301,陈昱休
CBDL,2025,2025-26,全部,11,1,2,3,10,3,0,2,3,4,11,0.3636,2,3,0.6667,0,2,0,2,6,0.3333,1,1,1,34577,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,30.7,1840,陈昱休
CBDL,2025,2025-26,全部,8,0,2,2,1,1,0,3,4,3,7,0.4286,0,2,0,2,2,1,1,3,0.3333,1,3,0.3333,34577,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,16.9,1012,陈昱休
CBDL,2025,2025-26,全部,3,2,2,4,7,2,0,2,2,1,4,0.25,0,0,0,0,2,0,1,2,0.5,0,0,0,34577,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,20.8,1249,陈昱休
CBDL,2025,2025-26,全部,13,0,3,3,8,1,0,0,2,5,8,0.625,2,2,1,0,1,0,3,5,0.6,0,0,0,34577,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,22.5,1351,陈昱休
CBDL,2025,2025-26,全部,3,2,1,3,0,0,1,1,0,1,7,0.1429,0,0,0,0,1,0,1,6,0.1667,0,0,0,82404,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,16.7,1003,杨子默
CBDL,2025,2025-26,全部,5,0,0,0,0,0,0,0,0,2,5,0.4,0,1,0,1,1,1,1,3,0.3333,0,0,0,82404,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,7.1,423,杨子默
CBDL,2025,2025-26,全部,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,82404,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,11,657,杨子默
CBDL,2025,2025-26,全部,8,1,0,1,0,0,0,0,3,3,6,0.5,0,0,0,1,2,0.5,2,4,0.5,0,0,0,82404,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,20.5,1232,杨子默
CBDL,2025,2025-26,全部,6,0,0,0,0,0,0,0,2,2,6,0.3333,0,0,0,0,0,0,2,6,0.3333,0,0,0,82404,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,9.4,565,杨子默
CBDL,2025,2025-26,全部,3,0,0,0,0,3,0,1,3,1,8,0.125,0,1,0,0,3,0,1,4,0.25,0,0,0,34506,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,15,897,齐鹏帆
CBDL,2025,2025-26,全部,9,0,3,3,2,2,0,1,1,4,6,0.6667,2,2,1,1,1,1,1,3,0.3333,0,0,0,34506,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,18.4,1101,齐鹏帆
CBDL,2025,2025-26,全部,5,0,1,1,0,0,0,0,1,1,5,0.2,0,0,0,0,2,0,1,3,0.3333,2,2,1,34297,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,9.2,549,李雨泽
CBDL,2025,2025-26,全部,3,0,0,0,4,0,0,3,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,82168,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,15.5,927,涂瀚之
CBDL,2025,2025-26,全部,2,0,2,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,82168,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,12.4,744,涂瀚之
CBDL,2025,2025-26,全部,4,2,1,3,1,1,0,1,2,2,4,0.5,1,1,1,1,1,1,0,2,0,0,0,0,82168,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,20.1,1207,涂瀚之
