_group,_seasonYear,_season,playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率
CBDL,2025,2025-26,33546,姚盛彬,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Yao Shengbin,4,PG,1112,18.5,200390010267,0,2026-01-19,1,0,46.73,2.48,13.79,0.152306,62.07,0.5,100,0.583333,10.34,0.285714,0,0,0,0,0.15,96.55,0.176471,93.1,0,0,0,
CBDL,2025,2025-26,33546,姚盛彬,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Yao Shengbin,4,PG,1614,26.9,200390010270,0,2026-01-18,1,0,65.89,4.78,13.79,0.136032,100,0.769231,100,0.578947,3.45,0.365854,0,0,0,0,0.04,58.62,0.041667,6.9,2,1,1,0.5
CBDL,2025,2025-26,33546,姚盛彬,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Yao Shengbin,4,PG,1446,24.1,200390010274,0,2026-01-17,1,0,41.8,2.06,0,0.11372,100,0.952381,6.9,0.136364,6.9,0.322581,0,0,0,0,0,0,0,0,2,0,2,1
CBDL,2025,2025-26,33546,姚盛彬,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Yao Shengbin,4,PG,1667,27.8,200390010279,0,2026-01-15,1,0,67.49,4.88,0,0.10974,65.52,0.520833,93.1,0.368421,75.86,0.147929,0.019937,24.14,0,0,0,0,0.142857,86.21,0,0,0,
CBDL,2025,2025-26,33546,姚盛彬,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Yao Shengbin,4,PG,1151,19.2,200390010283,0,2026-01-14,1,0,10.74,-1.22,13.79,0.151123,0,0,48.28,0.272727,0,0.428571,0.054334,96.55,0,0,0,0,0.095238,48.28,5,2,3,0.6
CBDL,2025,2025-26,33546,姚盛彬,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Yao Shengbin,4,PG,832,13.9,200390010286,0,2026-01-13,1,0,30.77,1.01,0,0.098684,62.07,0.5,100,0.625,6.9,0.333333,0,0,0,0,0.153846,96.55,0.166667,93.1,1,0,1,1
CBDL,2025,2025-26,34491,石洺豪,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Shi Minghao,5,PG,1462,24.4,200390010270,1,2026-01-18,1,0,26.27,0.49,41.38,0.19573,13.79,0.363636,0,0.045455,100,0,0,0,0,0,0.083333,93.1,0.117647,72.41,3,2,1,0.333333
CBDL,2025,2025-26,34491,石洺豪,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Shi Minghao,5,PG,397,6.6,200390010279,1,2026-01-15,1,0,,0.38,,0.167785,,0.75,,0,,0.333333,0,,0,,0,,0,,0,0,0,
CBDL,2025,2025-26,34491,石洺豪,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Shi Minghao,5,PG,1245,20.8,200390010283,1,2026-01-14,1,0,87.23,7.99,58.62,0.217047,100,0.900901,34.48,0.25,89.66,0.101215,0,0,0,0,0,0,0.066667,31.03,1,0,1,1
CBDL,2025,2025-26,34491,石洺豪,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Shi Minghao,5,PG,944,15.7,200390010286,1,2026-01-13,1,0,67.34,4.86,82.76,0.25,100,1,3.45,0.090909,48.28,0.222222,0,0,0,0,0.076923,86.21,0.076923,41.38,0,0,0,
CBDL,2025,2025-26,34577,陈昱休,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Chen Yuxiu,6,SG,1288,21.5,200390010267,1,2026-01-19,1,0,77.07,6.15,96.88,0.256545,65.63,0.512295,100,0.533333,31.25,0.170068,0.024385,59.38,0,0,0.055556,84.38,0.2,93.75,2,2,0,0
CBDL,2025,2025-26,34577,陈昱休,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Chen Yuxiu,6,SG,1301,21.7,200390010270,1,2026-01-18,1,0,90.57,8.91,31.25,0.173879,100,0.833333,96.88,0.454545,100,0,0.025376,62.5,0,0,0,0,0.045455,6.25,2,1,1,0.5
CBDL,2025,2025-26,34577,陈昱休,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Chen Yuxiu,6,SG,1840,30.7,200390010274,1,2026-01-17,1,0,87.81,8.24,31.25,0.179296,59.38,0.480769,96.88,0.434783,46.88,0.14881,0.046272,90.63,0,0,0.03125,43.75,0.064516,15.63,2,1,1,0.5
CBDL,2025,2025-26,34577,陈昱休,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Chen Yuxiu,6,SG,1012,16.9,200390010279,1,2026-01-15,1,0,16.11,-0.5,96.88,0.25892,59.38,0.480769,28.13,0.111111,9.38,0.265018,0.028541,68.75,0,0,0,0,0.2,93.75,1,0,1,1
