_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CBDL,CBDL,33546,姚盛彬,Yao Shengbin,4,16,,1003321308,中国U17,总和,181,75,,20039,CBDL,200809,2025-26,2025,6,7822,130.4,true,21.43,0.375,35.71,6,7.14,0.333333,46.43,7,28.57,0.142857,14.29,7,96.43,0.428571,75,14,100,1,0,0,0,0,28.57,7,89.29,0.428571,14.29,2,0,0,71.43,5,57.14,0.2
CBDL,CBDL,33546,姚盛彬,Yao Shengbin,4,16,,1003321308,中国U17,PG,181,75,控球后卫,20039,CBDL,200809,2025-26,2025,6,7822,1,false,20.69,0.375,34.48,6,6.9,0.333333,48.28,7,27.59,0.142857,13.79,7,93.1,0.428571,72.41,14,100,1,0,0,0,0,27.59,7,86.21,0.428571,20.69,2,0,0,72.41,5,55.17,0.2
CBDL,CBDL,34491,石洺豪,,,16,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,8,4048,67.5,true,100,0.696429,14.29,3,71.43,0.666667,57.14,9,78.57,0.444444,60.71,16,100,0.5625,21.43,2,100,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,34491,石洺豪,Shi Minghao,5,16,,1003321308,中国U17,PG,183,70,控球后卫,20039,CBDL,200809,2025-26,2025,4,2873,0.71,false,100,0.815789,13.79,3,72.41,0.666667,20.69,5,93.1,0.6,37.93,11,100,0.636364,0,0,0,0,79.31,6,89.66,0.833333,13.79,5,82.76,0.4,34.48,3,86.21,0.666667,48.28,2,86.21,0.5
CBDL,CBDL,34491,石洺豪,Shi Minghao,5,16,,1003321308,中国U17,SG,183,70,得分后卫,20039,CBDL,200809,2025-26,2025,4,1175,0.29,false,50,0.444444,0,0,0,0,21.88,4,34.38,0.25,6.25,5,71.88,0.4,21.88,2,100,1,21.88,2,71.88,0.5,6.25,3,59.38,0.333333,34.38,3,40.63,0.333333,21.88,1,0,0
CBDL,CBDL,34577,陈昱休,,,16,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,11,8041,134,true,87.1,0.595745,54.84,12,74.19,0.666667,64.52,9,32.26,0.222222,80.65,26,83.87,0.461538,58.06,8,35.48,0.5,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,34577,陈昱休,Chen Yuxiu,6,16,,1003321308,中国U17,SG,185,85,得分后卫,20039,CBDL,200809,2025-26,2025,5,4426,0.55,false,90.63,0.681818,21.88,6,90.63,0.833333,12.5,3,46.88,0.333333,50,13,81.25,0.461538,28.13,3,25,0.333333,0,0,0,0,62.5,13,87.5,0.461538,21.88,2,71.88,0.5,21.88,1,0,0
CBDL,CBDL,34577,陈昱休,Chen Yuxiu,6,16,,1003321308,中国U17,PG,185,85,控球后卫,20039,CBDL,200809,2025-26,2025,6,3615,0.45,false,79.31,0.52,34.48,6,34.48,0.5,37.93,6,34.48,0.166667,48.28,13,96.55,0.461538,37.93,5,24.14,0.6,41.38,2,82.76,0.5,58.62,11,93.1,0.454545,20.69,2,0,0,65.52,4,62.07,0.25
CBDL,CBDL,82404,杨子默,Yang Zimo,7,15,,1003321308,中国U17,总和,188,80,,20039,CBDL,200809,2025-26,2025,5,3880,64.7,true,48.39,0.44,3.23,1,0,0,22.58,4,87.1,0.5,61.29,20,61.29,0.3,0,0,0,0,87.1,6,0,0,64.52,14,80.65,0.428571,22.58,2,74.19,0.5,48.39,2,93.55,0.5
CBDL,CBDL,82404,杨子默,Yang Zimo,7,15,,1003321308,中国U17,SG,188,80,得分后卫,20039,CBDL,200809,2025-26,2025,5,3880,1,false,46.88,0.44,3.13,1,0,0,21.88,4,84.38,0.5,59.38,20,59.38,0.3,0,0,0,0,84.38,6,0,0,62.5,14,78.13,0.428571,21.88,2,71.88,0.5,46.88,2,90.63,0.5
