_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CBDL,CBDL,33546,姚盛彬,Yao Shengbin,4,16,,1003321308,中国U17,PG,181,75,控球后卫,20039,CBDL,200809,2025-26,2025,6,7822,130.4,false,21.43,0.375,35.71,6,7.14,0.333333,46.43,7,28.57,0.142857,14.29,7,96.43,0.428571,75,14,100,1,0,0,0,0,28.57,7,89.29,0.428571,14.29,2,0,0,71.43,5,57.14,0.2
CBDL,CBDL,34491,石洺豪,Shi Minghao,5,16,,1003321308,中国U17,PG,183,70,控球后卫,20039,CBDL,200809,2025-26,2025,4,4048,67.5,false,100,0.696429,14.29,3,71.43,0.666667,57.14,9,78.57,0.444444,60.71,16,100,0.5625,21.43,2,100,1,96.43,8,89.29,0.75,39.29,8,78.57,0.375,57.14,6,71.43,0.5,57.14,3,67.86,0.333333
CBDL,CBDL,34577,陈昱休,Chen Yuxiu,6,16,,1003321308,中国U17,SG,185,85,得分后卫,20039,CBDL,200809,2025-26,2025,6,8041,134,false,87.1,0.595745,54.84,12,74.19,0.666667,64.52,9,32.26,0.222222,80.65,26,83.87,0.461538,58.06,8,35.48,0.5,22.58,2,74.19,0.5,87.1,24,87.1,0.458333,41.94,4,35.48,0.25,74.19,5,67.74,0.2
CBDL,CBDL,82404,杨子默,Yang Zimo,7,15,,1003321308,中国U17,SG,188,80,得分后卫,20039,CBDL,200809,2025-26,2025,5,3880,64.7,false,48.39,0.44,3.23,1,0,0,22.58,4,87.1,0.5,61.29,20,61.29,0.3,0,0,0,0,87.1,6,0,0,64.52,14,80.65,0.428571,22.58,2,74.19,0.5,48.39,2,93.55,0.5
CBDL,CBDL,34506,齐鹏帆,Qi Pengfan,8,16,,1003321308,中国U17,SG,195,85,得分后卫,20039,CBDL,200809,2025-26,2025,2,1998,33.3,false,41.94,0.428571,16.13,3,74.19,0.666667,22.58,4,35.48,0.25,9.68,7,58.06,0.285714,0,0,0,0,22.58,2,74.19,0.5,9.68,5,22.58,0.2,0,1,0,0,61.29,3,77.42,0.333333
CBDL,CBDL,34297,李雨泽,Li Yuze,9,15,,1003321308,中国U17,SG,195,83,得分后卫,20039,CBDL,200809,2025-26,2025,1,549,9.2,false,,0.3,,0,,0,,2,,0,,3,,0.333333,,2,,1,,1,,0,,2,,0.5,,1,,0,,1,,0
CBDL,CBDL,82168,涂瀚之,Tu Hanzhi,10,16,,1003321308,中国U17,SF,195,83,小前锋,20039,CBDL,200809,2025-26,2025,6,5726,95.4,false,54.84,0.466667,9.68,3,61.29,0.666667,22.58,3,93.55,0.666667,29.03,9,32.26,0.222222,51.61,6,100,1,80.65,6,41.94,0.166667,9.68,3,54.84,0.333333,41.94,3,93.55,0.666667,0,0,0,0
CBDL,CBDL,82212,张淳智,Zhang Chunzhi,11,16,,1003321308,中国U17,SF,194,85,小前锋,20039,CBDL,200809,2025-26,2025,4,5488,91.5,false,80.65,0.580645,58.06,11,87.1,0.727273,22.58,3,51.61,0.333333,58.06,17,70.97,0.352941,41.94,5,100,1,90.32,9,96.77,0.555556,48.39,8,9.68,0.125,22.58,1,0,0,48.39,2,74.19,0.5
CBDL,CBDL,34995,吕飞燕,Lv Feiyan,12,15,,1003321308,中国U17,SF,202,87,小前锋,20039,CBDL,200809,2025-26,2025,3,2727,45.5,false,9.68,0.346154,22.58,5,48.39,0.6,22.58,3,0,0,3.23,5,25.81,0.2,41.94,5,58.06,0.8,22.58,2,0,0,9.68,3,54.84,0.333333,22.58,1,0,0,48.39,2,0,0
CBDL,CBDL,36317,张懿赵杰,Zhang Yizhaojie,13,15,,1003321308,中国U17,PF,203,99,大前锋,20039,CBDL,200809,2025-26,2025,6,9658,161,false,55.17,0.481707,93.1,34,65.52,0.676471,89.66,15,65.52,0.4,93.1,33,48.28,0.212121,51.72,9,31.03,0.555556,93.1,9,86.21,0.444444,89.66,24,37.93,0.125,82.76,10,58.62,0.4,93.1,5,75.86,0.4
CBDL,CBDL,34608,孙陈鹏,Sun Chenpeng,14,15,,1003321308,中国U17,SF,200,90,小前锋,20039,CBDL,200809,2025-26,2025,3,2440,40.7,false,25.81,0.375,0,1,0,0,6.45,1,0,0,9.68,6,61.29,0.333333,0,0,0,0,48.39,4,0,0,0,2,100,1,0,0,0,0,22.58,1,0,0
