_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率
CBDL,CBDL,33546,姚盛彬,Yao Shengbin,4,16,,1003321308,中国U17,PG,181,75,控球后卫,20039,CBDL,200809,2025-26,2025,6,7822,130.4,false,71.43,0.044776,46.43,0.094828,14.29,0.01261,0,0,7.14,0.075659,0,10,10,3,7,40,0.7
CBDL,CBDL,34491,石洺豪,Shi Minghao,5,16,,1003321308,中国U17,PG,183,70,控球后卫,20039,CBDL,200809,2025-26,2025,4,4048,67.5,false,78.57,0.050847,42.86,0.079365,0,0,0,0,14.29,0.058351,,4,4,2,2,,0.5
CBDL,CBDL,34577,陈昱休,Chen Yuxiu,6,16,,1003321308,中国U17,SG,185,85,得分后卫,20039,CBDL,200809,2025-26,2025,6,8041,134,false,41.94,0.030303,51.61,0.10274,74.19,0.034355,0,0,22.58,0.061076,,9,9,5,4,,0.444444
CBDL,CBDL,82404,杨子默,Yang Zimo,7,15,,1003321308,中国U17,SG,188,80,得分后卫,20039,CBDL,200809,2025-26,2025,5,3880,64.7,false,58.06,0.042254,0,0.019608,0,0,93.55,0.015152,67.74,0.038606,,8,8,2,6,,0.75
CBDL,CBDL,34506,齐鹏帆,Qi Pengfan,8,16,,1003321308,中国U17,SG,195,85,得分后卫,20039,CBDL,200809,2025-26,2025,2,1998,33.3,false,0,0,16.13,0.069767,100,0.075918,0,0,25.81,0.060734,,0,0,0,0,,
CBDL,CBDL,34297,李雨泽,Li Yuze,9,15,,1003321308,中国U17,SG,195,83,得分后卫,20039,CBDL,200809,2025-26,2025,1,549,9.2,false,,0,,0.2,,0,,0,,0.050505,,0,0,0,0,,
CBDL,CBDL,82168,涂瀚之,Tu Hanzhi,10,16,,1003321308,中国U17,SF,195,83,小前锋,20039,CBDL,200809,2025-26,2025,6,5726,95.4,false,48.39,0.034091,9.68,0.068966,87.1,0.031699,0,0,22.58,0.047548,,7,7,3,4,,0.571429
CBDL,CBDL,82212,张淳智,Zhang Chunzhi,11,16,,1003321308,中国U17,SF,194,85,小前锋,20039,CBDL,200809,2025-26,2025,4,5488,91.5,false,93.55,0.113402,96.77,0.186047,0,0,93.55,0.033708,9.68,0.070319,71.43,21,21,13,8,92.86,0.380952
CBDL,CBDL,34995,吕飞燕,Lv Feiyan,12,15,,1003321308,中国U17,SF,202,87,小前锋,20039,CBDL,200809,2025-26,2025,3,2727,45.5,false,19.35,0.02381,0,0.017857,51.61,0.022813,80.65,0.019231,0,0.091252,,5,5,3,2,,0.4
CBDL,CBDL,36317,张懿赵杰,Zhang Yizhaojie,13,15,,1003321308,中国U17,PF,203,99,大前锋,20039,CBDL,200809,2025-26,2025,6,9658,161,false,65.52,0.074534,51.72,0.14,89.66,0.039913,75.86,0.025478,55.17,0.029934,45.45,16,16,9,7,77.27,0.4375
CBDL,CBDL,34608,孙陈鹏,Sun Chenpeng,14,15,,1003321308,中国U17,SF,200,90,小前锋,20039,CBDL,200809,2025-26,2025,3,2440,40.7,false,0,0,100,0.194444,96.77,0.056746,0,0,6.45,0.070932,,7,7,1,6,,0.857143
CBDL,CBDL,34538,刘玄昱,Liu Xuanyu,15,15,,1003321308,中国U17,PF,200,92,大前锋,20039,CBDL,200809,2025-26,2025,5,2229,37.2,false,10.34,0.025,6.9,0.083333,72.41,0.028548,79.31,0.027778,89.66,0.014274,,9,9,5,4,,0.444444
CBDL,CBDL,34644,谢方煜,Xie Fangyu,16,15,,1003321308,中国U17,PF,204,95,大前锋,20039,CBDL,200809,2025-26,2025,5,3004,50.1,false,48.28,0.065217,34.48,0.113208,24.14,0.010354,65.52,0.018519,44.83,0.031061,4.55,11,11,3,8,4.55,0.727273
CBDL,CBDL,34991,张子一,Zhang Ziyi,17,15,,1003321308,中国U17,C,208,100,中锋,20039,CBDL,200809,2025-26,2025,6,4841,80.7,false,100,0.22619,55.56,0.166667,48.15,0.013167,29.63,0.021053,29.63,0.052667,26.92,22,22,11,11,42.31,0.5
CBDL,CBDL,34691,姚嘉泽,Yao Jiayi,18,15,,1003321308,中国U17,C,210,93,中锋,20039,CBDL,200809,2025-26,2025,3,1497,25,false,,0.173913,,0.266667,,0,,0.043478,,0.087013,,7,7,5,2,,0.285714
CBDL,CBDL,34962,赵博新,Zhao Boxin,19,15,,1003321308,中国U17,C,214,100,中锋,20039,CBDL,200809,2025-26,2025,6,8052,134.2,false,77.78,0.129771,96.3,0.262712,18.52,0.007792,96.3,0.104839,25.93,0.054545,73.08,35,35,27,8,100,0.228571
