_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率
CBDL,CBDL,33546,姚盛彬,Yao Shengbin,4,16,,1003321308,中国U17,总和,181,75,,20039,CBDL,200809,2025-26,2025,6,7822,130.4,true,71.43,0.044776,46.43,0.094828,14.29,0.01261,0,0,7.14,0.075659,0,10,10,3,7,40,0.7
CBDL,CBDL,33546,姚盛彬,Yao Shengbin,4,16,,1003321308,中国U17,PG,181,75,控球后卫,20039,CBDL,200809,2025-26,2025,6,7822,1,false,68.97,0.044776,44.83,0.094828,13.79,0.01261,0,0,10.34,0.075659,0,10,10,3,7,45.45,0.7
CBDL,CBDL,34491,石洺豪,,,16,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,8,4048,67.5,true,78.57,0.050847,42.86,0.079365,0,0,0,0,17.24,0.058322,,4,4,2,2,,0.5
CBDL,CBDL,34491,石洺豪,Shi Minghao,5,16,,1003321308,中国U17,PG,183,70,控球后卫,20039,CBDL,200809,2025-26,2025,4,2873,0.71,false,27.59,0.02381,6.9,0.04,0,0,0,0,13.79,0.068311,,1,1,0,1,,1
CBDL,CBDL,34491,石洺豪,Shi Minghao,5,16,,1003321308,中国U17,SG,183,70,得分后卫,20039,CBDL,200809,2025-26,2025,4,1175,0.29,false,100,0.117647,96.88,0.230769,0,0,0,0,81.25,0.031066,,3,3,2,1,,0.333333
CBDL,CBDL,34577,陈昱休,,,16,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,11,8041,134,true,41.94,0.030303,51.61,0.10274,75,0.03436,0,0,21.88,0.061084,,9,9,5,4,,0.444444
CBDL,CBDL,34577,陈昱休,Chen Yuxiu,6,16,,1003321308,中国U17,SG,185,85,得分后卫,20039,CBDL,200809,2025-26,2025,5,4426,0.55,false,31.25,0.028169,6.25,0.04878,75,0.036783,0,0,9.38,0.066209,,4,4,3,1,,0.25
CBDL,CBDL,34577,陈昱休,Chen Yuxiu,6,16,,1003321308,中国U17,PG,185,85,控球后卫,20039,CBDL,200809,2025-26,2025,6,3615,0.45,false,37.93,0.032787,93.1,0.171875,62.07,0.031746,0,0,20.69,0.055556,,5,5,2,3,,0.6
CBDL,CBDL,82404,杨子默,Yang Zimo,7,15,,1003321308,中国U17,总和,188,80,,20039,CBDL,200809,2025-26,2025,5,3880,64.7,true,58.06,0.042254,0,0.019608,0,0,93.55,0.015152,67.74,0.038606,,8,8,2,6,,0.75
CBDL,CBDL,82404,杨子默,Yang Zimo,7,15,,1003321308,中国U17,SG,188,80,得分后卫,20039,CBDL,200809,2025-26,2025,5,3880,1,false,56.25,0.042254,0,0.019608,0,0,90.63,0.015152,68.75,0.038606,,8,8,2,6,,0.75
CBDL,CBDL,34506,齐鹏帆,,,16,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,4,1998,33.3,true,0,0,16.13,0.069767,96.88,0.075804,0,0,28.13,0.060643,,0,0,0,0,,
CBDL,CBDL,34506,齐鹏帆,Qi Pengfan,8,16,,1003321308,中国U17,SG,195,85,得分后卫,20039,CBDL,200809,2025-26,2025,2,1653,0.827,false,0,0,34.38,0.083333,93.75,0.054122,0,0,75,0.036082,,0,0,0,0,,
CBDL,CBDL,34506,齐鹏帆,Qi Pengfan,8,16,,1003321308,中国U17,SF,195,85,小前锋,20039,CBDL,200809,2025-26,2025,1,255,0.128,false,0,0,0,0,100,0.132802,0,0,0,0.265604,,0,0,0,0,,
CBDL,CBDL,34506,齐鹏帆,Qi Pengfan,8,16,,1003321308,中国U17,PG,195,85,控球后卫,20039,CBDL,200809,2025-26,2025,1,90,0.045,false,0,0,0,0,100,0.333333,0,0,100,0,,0,0,0,0,,
CBDL,CBDL,34297,李雨泽,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,2,549,9.2,true,0,0,93.75,0.2,0,0,0,0,40.63,0.050505,,0,0,0,0,,
CBDL,CBDL,34297,李雨泽,Li Yuze,9,15,,1003321308,中国U17,SG,195,83,得分后卫,20039,CBDL,200809,2025-26,2025,1,494,0.9,false,0,0,0,0,0,0,0,0,31.25,0.059524,,0,0,0,0,,
CBDL,CBDL,34297,李雨泽,Li Yuze,9,15,,1003321308,中国U17,SF,195,83,小前锋,20039,CBDL,200809,2025-26,2025,1,55,0.1,false,0,0,100,1,0,0,0,0,100,0,,0,0,0,0,,
