_group,_leagueName,_seasonYear,底角三分命中率,有效投篮命中率,leagueEvent,leagueEventId,season,seasonId,year,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手eFG%百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队eFG%百分位,teamId,球队中距离命中率百分位排名,teamName,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CBDL 2025,CBDL,2025,0,0.524823,CBDL,20039,2025-26,200809,2025,0,0.364706,241.4,0,0,0.462567,48.81,0,0.364583,40.48,0,0,0,0.256684,26.19,0,0.390374,52.38,0,0.352941,60.71,0.513699,78.57,0,0.318182,32.14,0,0,0.200946,0,0.387707,0,0.411348,0.634146,,0,66.67,1003321308,59.52,中国U17,39.29,46.43,64.29,64.29,70.24,0.333333
CBDL 2025,CBDL,2025,0,0.571429,CBDL,20039,2025-26,200809,2025,0,0,3.4,0,0,0.142857,,0,0,,0,0,0,0.428571,,0,0.428571,,0,0.142857,,0.333333,,0,0,,0,0,0.142857,0,0.714286,0,0.142857,0.8,205,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.642857,CBDL,20039,2025-26,200809,2025,0,0,8.6,0,0,0.866667,,0,0.666667,,0,0,0,0.2,,0,0.533333,,0,0.266667,,0.625,,0,1,,0,0,0.142857,0,0.642857,0,0.214286,0.666667,518,0,,1003321308,,中国U17,,,,,,0.666667
CBDL 2025,CBDL,2025,0,0.75,CBDL,20039,2025-26,200809,2025,0,0,1,0,0,0.5,,0,0,,0,0,0,0,,0,1,,0,0,,0.5,,0,0,,0,0,0,0,0,0,1,0,57,0,,1003321308,,中国U17,,,,,,0.5
CBDL 2025,CBDL,2025,0,1,CBDL,20039,2025-26,200809,2025,0,1,2.2,0,0,0.2,,0,0,,0,0,0,0.4,,0,0.4,,0,0.2,,0.5,,0,0,,0,0,1,0,0,0,0,0,133,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.5625,CBDL,20039,2025-26,200809,2025,0,0.666667,3.6,0,0,0.833333,,0,0,,0,0,0,0,,0,0.333333,,0,0.666667,,1,,0,0.5,,0,0,0.375,0,0.5,0,0.125,0.25,214,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,0.4,CBDL,20039,2025-26,200809,2025,0,0,6.1,0,0,0.625,,0,0,,0,0,0,0.25,,0,0.625,,0,0.125,,1,,0,0,,0,0,0.2,0,0.2,0,0.6,0.5,367,0,,1003321308,,中国U17,,,,,,0.333333
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,0.5,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,1,0,0,0,0,0,28,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.833333,CBDL,20039,2025-26,200809,2025,0,0,1.8,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0.666667,0,0.333333,0.5,109,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,1.166667,CBDL,20039,2025-26,200809,2025,0,0,1.7,0,0,0,,0,0,,0,0,0,0.25,,0,0.75,,0,0,,0,,0,0,,0,0,0,0,0.666667,0,0.333333,1,100,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,0.25,CBDL,20039,2025-26,200809,2025,0,0.5,2.9,0,0,0.416667,,0,0,,0,0,0,0,,0,0.5,,0,0.5,,0.333333,,0,0.333333,,0,0,0.5,0,0,0,0.5,0,171,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,0.3,0,0,0,,0,0,,0,0,0,0,,0,1,,0,0,,0,,0,0,,0,0,0,0,0,0,1,0,20,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.318182,CBDL,20039,2025-26,200809,2025,0,0,4,0,0,0.25,,0,1,,0,0,0,0.25,,0,0.25,,0,0.5,,0,,0,0,,0,0,0.090909,0,0.181818,0,0.727273,1,241,0,,1003321308,,中国U17,,,,,,0.125
CBDL 2025,CBDL,2025,0,0.545455,CBDL,20039,2025-26,200809,2025,0,0.5,7.8,0,0,0.5,,0,0.666667,,0,0,0,0.272727,,0,0.454545,,0,0.272727,,0.4,,0,0.333333,,0,0,0.363636,0,0.181818,0,0.454545,0.5,467,0,,1003321308,,中国U17,,,,,,0.4
CBDL 2025,CBDL,2025,0,0.5,CBDL,20039,2025-26,200809,2025,0,0,0.5,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0.5,0,0.5,1,28,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,1,CBDL,20039,2025-26,200809,2025,0,1,0.6,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,1,0,0,0,0,0,35,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.833333,CBDL,20039,2025-26,200809,2025,0,0,1.8,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0.333333,0,0.333333,0,0.333333,1,109,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,0.3,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,17,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,0.8,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0,0,0,0,1,0,47,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,1.5,CBDL,20039,2025-26,200809,2025,0,0,2.5,0,0,0.5,,0,0,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0.5,,0,0,0,0,0,0,1,0,150,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,0.142857,CBDL,20039,2025-26,200809,2025,0,0,4.3,0,0,0.166667,,0,1,,0,0,0,0.166667,,0,0,,0,0.833333,,0,,0,0,,0,0,0.285714,0,0.428571,0,0.285714,0.333333,255,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.636364,CBDL,20039,2025-26,200809,2025,0,0,4.6,0,0,0.666667,,0,0.666667,,0,0,0,0.333333,,0,0.555556,,0,0.111111,,0.8,,0,0,,0,0,0,0,0.727273,0,0.272727,0.5,273,0,,1003321308,,中国U17,,,,,,0.666667
CBDL 2025,CBDL,2025,0,1.5,CBDL,20039,2025-26,200809,2025,0,0,1.1,0,0,0.5,,0,0,,0,0,0,0,,0,0.333333,,0,0.666667,,0,,0,0.5,,0,0,0,0,0,0,1,0,63,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,0.375,CBDL,20039,2025-26,200809,2025,0,0.333333,5,0,0,0.6,,0,1,,0,0,0,0.1,,0,0.7,,0,0.2,,0.714286,,0,0,,0,0,0.375,0,0.375,0,0.25,0.666667,298,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,0.1,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,8,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,1.25,CBDL,20039,2025-26,200809,2025,0,0,1.5,0,0,0.5,,0,0,,0,0,0,0.5,,0,0.5,,0,0,,1,,0,0,,0,0,0,0,0.5,0,0.5,1,88,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,0.333333,CBDL,20039,2025-26,200809,2025,0,0,3.6,0,0,1,,0,1,,0,0,0,0.25,,0,0,,0,0.75,,0,,0,0.666667,,0,0,0.222222,0,0.666667,0,0.111111,0.5,214,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,0.2,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,9,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,1,CBDL,20039,2025-26,200809,2025,0,0,2.2,0,0,0.5,,0,0,,0,0,0,0.2,,0,0.2,,0,0.6,,1,,0,0.333333,,0,0,0,0,1,0,0,1,129,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,1,CBDL,20039,2025-26,200809,2025,0,1,0.9,0,0,0.5,,0,0,,0,0,0,0,,0,0.333333,,0,0.666667,,0,,0,0.5,,0,0,1,0,0,0,0,0,51,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.642857,CBDL,20039,2025-26,200809,2025,0,0,4.7,0,0,0.6,,0,0,,0,0,0,0.2,,0,0.4,,0,0.4,,0,,0,1,,0,0,0,0,0.571429,0,0.428571,0.75,281,0,,1003321308,,中国U17,,,,,,0.333333
CBDL 2025,CBDL,2025,0,0.333333,CBDL,20039,2025-26,200809,2025,0,0,1.3,0,0,0,,0,0,,0,0,0,0,,0,1,,0,0,,0,,0,0,,0,0,0,0,0.666667,0,0.333333,0.5,76,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.333333,CBDL,20039,2025-26,200809,2025,0,0.5,1.5,0,0,0.5,,0,1,,0,0,0,0.5,,0,0.5,,0,0,,0,,0,0,,0,0,0.666667,0,0.333333,0,0,0,88,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.25,CBDL,20039,2025-26,200809,2025,0,0,1.8,0,0,1,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0.666667,,0,0,0.25,0,0.25,0,0.5,1,105,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,1.2,0,0,0,,0,0,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,0,,0,0,0,0,0.666667,0,0.333333,0,72,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.583333,CBDL,20039,2025-26,200809,2025,0,0,2.6,0,0,0.75,,0,0.5,,0,0,0,0.5,,0,0.5,,0,0,,1,,0,0,,0,0,0.166667,0,0.5,0,0.333333,0.666667,155,0,,1003321308,,中国U17,,,,,,0.5
CBDL 2025,CBDL,2025,0,1,CBDL,20039,2025-26,200809,2025,0,0,2.2,0,0,0.333333,,0,0,,0,0,0,0,,0,0.666667,,0,0.333333,,0.5,,0,0,,0,0,0,0,0,0,1,0,131,0,,1003321308,,中国U17,,,,,,0.666667
CBDL 2025,CBDL,2025,0,0.5,CBDL,20039,2025-26,200809,2025,0,0,0.7,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0.5,0,0.5,0,0,1,42,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,1,CBDL,20039,2025-26,200809,2025,0,0,2.4,0,0,0.4,,0,0.5,,0,0,0,0.4,,0,0.4,,0,0.2,,0.5,,0,0,,0,0,0,0,1,0,0,1,145,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.25,CBDL,20039,2025-26,200809,2025,0,0,0.9,0,0,0,,0,0,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,0,,0,0,0,0,0.25,0,0.75,1,55,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.6,CBDL,20039,2025-26,200809,2025,0,0,3.1,0,0,0.611111,,0,0.5,,0,0,0,0.222222,,0,0.555556,,0,0.222222,,0.6,,0,0.5,,0,0,0,0,0.2,0,0.8,0,184,0,,1003321308,,中国U17,,,,,,0.5
CBDL 2025,CBDL,2025,0,0.5,CBDL,20039,2025-26,200809,2025,0,0,1.3,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0.25,0,0.75,0,0,0.666667,76,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.875,CBDL,20039,2025-26,200809,2025,0,1,2.5,0,0,1,,0,1,,0,0,0,0.666667,,0,0.333333,,0,0,,1,,0,0,,0,0,0.25,0,0.25,0,0.5,1,151,0,,1003321308,,中国U17,,,,,,0.5
CBDL 2025,CBDL,2025,0,0.833333,CBDL,20039,2025-26,200809,2025,0,0,2.5,0,0,0.75,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0.5,,0,0,0.333333,0,0.333333,0,0.333333,1,151,0,,1003321308,,中国U17,,,,,,1
CBDL 2025,CBDL,2025,0,0.333333,CBDL,20039,2025-26,200809,2025,0,0,1.9,0,0,0.833333,,0,0,,0,0,0,0,,0,0.666667,,0,0.333333,,0.5,,0,1,,0,0,0,0,0.5,0,0.5,0.666667,116,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0,CBDL,20039,2025-26,200809,2025,0,0,0.6,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,1,0,0,0,34,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.666667,CBDL,20039,2025-26,200809,2025,0,1,1.8,0,0,0.25,,0,0,,0,0,0,0.5,,0,0.25,,0,0.25,,1,,0,0,,0,0,0.333333,0,0.333333,0,0.333333,1,106,0,,1003321308,,中国U17,,,,,,0
CBDL 2025,CBDL,2025,0,0.448276,CBDL,20039,2025-26,200809,2025,0,0.333333,14.2,0,0,0.452381,,0,0.666667,,0,0,0,0.142857,,0,0.47619,,0,0.380952,,0.3,,0,0.375,,0,0,0.103448,0,0.482759,0,0.413793,0.642857,849,0,,1003321308,,中国U17,,,,,,0.166667
CBDL 2025,CBDL,2025,0,0.625,CBDL,20039,2025-26,200809,2025,0,0,2,0,0,0.333333,,0,0,,0,0,0,0,,0,0.666667,,0,0.333333,,0.5,,0,0,,0,0,0,0,0.5,0,0.5,0.5,117,0,,1003321308,,中国U17,,,,,,0.5
