得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,defensiveFouls,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,防守投篮被命中数,防守投篮未命中数,防守投篮出手数,防守投篮命中率,底角三分出手数,cornerThfgM,非底角三分出手数,nonCornerThfgM,短中距离出手数,smfgM,长中距离出手数,lmfgM,scheduleTime,date,主客场,胜负,scheduleId,teamId,teamName,teamLogo,上场时间(分钟),wins,losses,teamTotalNum,leagueEventId,leagueEvent,season,seasonId,year,出场次数,gamesPlayedComputed,teamTurnovers,teamFouls,teamRebounds,teamOffensiveRebounds,teamDefensiveRebounds,opponentId,对手,对手得分,oppOffensiveRebounds,oppDefensiveRebounds,oppRebounds,oppAssists,oppSteals,oppBlocks,对手失误,oppPersonalFouls,oppFgM,oppFga,oppFgPct,对手篮下命中数,对手篮下出手数,对手篮下命中率,对手中距离命中数,对手中距离出手数,对手中距离命中率,对手三分命中数,对手三分出手数,对手三分命中率,oppFtM,oppFta,oppFtPct,oppCornerThfga,oppCornerThfgM,oppNonCornerThfga,oppNonCornerThfgM,oppSmfga,oppSmfgM,oppLmfga,oppLmfgM,teamPossessions,oppPossessions,回合数,_period
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-30,1,2,200050010926,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320433,南京邮电大学,41,10,17,27,3,4,0,15,9,16,73,0.2192,5,17,0.2941,7,24,0.2917,4,32,0.125,5,7,0.7143,,,,,,,,,0,0,0,CUBAL一级联赛 2024
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31,0,2,200050010936,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010422408,郑州大学,49,8,10,18,9,6,1,20,11,19,53,0.3585,8,15,0.5333,6,20,0.3,5,18,0.2778,6,17,0.3529,,,,,,,,,0,0,0,CUBAL一级联赛 2024
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-19,1,2,200050010675,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010421729,北京体育大学,57,11,22,33,22,9,2,20,14,19,69,0.2754,8,14,0.5714,4,27,0.1481,7,28,0.25,12,15,0.8,,,,,,,,,0,0,0,CUBAL一级联赛 2024
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-20,0,2,200050010677,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320454,中国人民大学,60,7,19,26,23,10,2,26,14,18,62,0.2903,7,19,0.3684,3,17,0.1765,8,26,0.3077,16,21,0.7619,,,,,,,,,0,0,0,CUBAL一级联赛 2024
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-23,1,2,200050010681,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320452,北京师范大学,88,13,20,33,18,7,3,15,31,34,78,0.4359,15,17,0.8824,9,22,0.4091,10,39,0.2564,10,12,0.8333,,,,,,,,,0,0,0,CUBAL一级联赛 2024
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-27,1,2,200050010688,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010421733,北京工业大学,37,10,21,31,14,3,1,21,9,11,51,0.2157,4,10,0.4,1,12,0.0833,6,29,0.2069,9,18,0.5,,,,,,,,,0,0,0,CUBAL一级联赛 2024
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30,0,2,200050010690,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320451,北京科技大学,60,9,23,32,18,18,3,17,13,22,74,0.2973,11,20,0.55,3,24,0.125,8,30,0.2667,8,15,0.5333,,,,,,,,,0,0,0,CUBAL一级联赛 2024
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-02,1,1,200050010693,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320453,清华大学,75,14,25,39,16,6,1,20,21,28,66,0.4242,10,11,0.9091,10,35,0.2857,8,20,0.4,11,18,0.6111,,,,,,,,,0,0,0,CUBAL一级联赛 2024
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-11,1,2,200050010783,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010422340,哈尔滨体育学院,42,17,17,34,15,5,0,21,8,13,68,0.1912,4,14,0.2857,2,22,0.0909,7,32,0.2188,9,15,0.6,,,,,,,,,0,0,0,CUBAL一级联赛 2024
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-13,0,2,200050010789,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320821,中国民航大学,55,6,22,28,19,5,0,22,10,18,53,0.3396,5,14,0.3571,5,20,0.25,8,19,0.4211,11,17,0.6471,,,,,,,,,0,0,0,CUBAL一级联赛 2024
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-14,1,2,200050010796,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320658,华北电力大学,52,9,15,24,20,5,3,15,6,19,67,0.2836,3,12,0.25,6,21,0.2857,10,34,0.2941,4,4,1,,,,,,,,,0,0,0,CUBAL一级联赛 2024
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-16,0,2,200050010808,1003320449,北京大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320661,天津财经大学,52,6,19,25,22,4,3,19,14,19,55,0.3455,1,5,0.2,11,26,0.4231,7,24,0.2917,7,13,0.5385,,,,,,,,,0,0,0,CUBAL一级联赛 2024
