助攻,盖帽,防守篮板,投篮命中数,投篮命中率,投篮出手数,罚球命中数,罚球命中率,罚球出手数,出场次数,首发次数,leagueEvent,leagueEventId,season,seasonId,year,中距离命中数,中距离命中率,中距离出手数,上场时间(分钟),进攻篮板,个人犯规,age,height,number,playerEnName,playerId,playerName,position,positionCn,sex,teamId,teamName,得分,篮板(总),篮下命中数,篮下命中率,篮下出手数,上场时间(秒),抢断,三分命中数,三分命中率,三分出手数,失误,_period
3.7222,0.0556,2.1667,2.6667,0.4898,5.4444,0.1111,0.4,0.2778,18,7,CUBAL一级联赛,20005,2024-25,200406,2024,0.3333,0.4286,0.7778,18.07,0.7222,1.0556,18,165,3,Qian Yuanyuan,30097,钱媛媛,PG,控球后卫,2,1003320449,北京大学,6.6111,2.8889,1.1667,0.7778,1.5,1084,1.2778,1.1667,0.3684,3.1667,1.1111,CUBAL一级联赛 2024
0.4615,0.1538,1.5385,1.9231,0.5814,3.3077,0.5385,0.6364,0.8462,13,1,CUBAL一级联赛,20005,2024-25,200406,2024,0.3846,0.3125,1.2308,11,1.5385,0.7692,19,190,6,An Hengyao,30230,安恒瑶,C,中锋,2,1003320449,北京大学,4.3846,3.0769,1.5385,0.7407,2.0769,660,0.0769,0,0,0,0.6154,CUBAL一级联赛 2024
0.8333,0.5,2.1111,2.6111,0.5529,4.7222,1,0.72,1.3889,18,11,CUBAL一级联赛,20005,2024-25,200406,2024,0.6111,0.4583,1.3333,11.93,1.5556,1.1111,20,192,4,Jia Jinwen,31999,贾晋文,C,中锋,2,1003320449,北京大学,6.2222,3.6667,2,0.6,3.3333,716,0.3333,0,0,0.0556,0.6667,CUBAL一级联赛 2024
3.5,0.1429,1.6429,1.5714,0.4583,3.4286,0.2143,0.75,0.2857,14,5,CUBAL一级联赛,20005,2024-25,200406,2024,0.4286,0.4286,1,14.8,0.2857,0.4286,20,178,9,Wang Qiaorui,32001,王乔睿,SG,得分后卫,2,1003320449,北京大学,3.7143,1.9286,0.7857,0.7333,1.0714,888,0.5,0.3571,0.2632,1.3571,1.9286,CUBAL一级联赛 2024
3.2,0.65,5.35,6.55,0.5527,11.85,1.5,0.566,2.65,20,18,CUBAL一级联赛,20005,2024-25,200406,2024,1.6,0.4638,3.45,23.27,2.4,2.25,22,183,11,Wang Jiahui,32005,王家绘,SF,小前锋,2,1003320449,北京大学,15.35,7.75,4.2,0.6829,6.15,1396,2.75,0.75,0.3333,2.25,2.75,CUBAL一级联赛 2024
1.5,0.2,3.8,3.15,0.5431,5.8,2.45,0.7206,3.4,20,8,CUBAL一级联赛,20005,2024-25,200406,2024,1.1,0.5116,2.15,17.63,1.85,1.85,22,186,13,Li Meitong,32006,李美潼,PF,大前锋,2,1003320449,北京大学,8.8,5.65,2,0.5882,3.4,1058,1.35,0.05,0.2,0.25,0.8,CUBAL一级联赛 2024
2.5,0.55,2.15,5.05,0.457,11.05,0.8,0.9412,0.85,20,15,CUBAL一级联赛,20005,2024-25,200406,2024,0.3,0.4,0.75,24.73,0.75,2,21,186,31,Li Ruoying,32012,李若莹,SG,得分后卫,2,1003320449,北京大学,13.25,2.9,2.4,0.7619,3.15,1484,1.65,2.35,0.3287,7.15,1.55,CUBAL一级联赛 2024
1.3684,0.1579,2.2105,3.4211,0.619,5.5263,1.5789,0.6522,2.4211,19,12,CUBAL一级联赛,20005,2024-25,200406,2024,0.8947,0.4857,1.8421,16.13,1.7895,0.9474,20,183,16,Wang Yutong,32013,王雨桐,C,中锋,2,1003320449,北京大学,8.4211,4,2.5263,0.7059,3.5789,968,0.6316,0,0,0.1053,1.0526,CUBAL一级联赛 2024
1.45,0.1,3.25,2.65,0.6625,4,1.2,0.8571,1.4,20,6,CUBAL一级联赛,20005,2024-25,200406,2024,0.55,0.5,1.1,14.92,1.2,0.95,18,185,1,Zhao Jinghan,76061,赵婧涵,PF,大前锋,2,1003320449,北京大学,6.9,4.45,1.7,0.8947,1.9,895,0.4,0.4,0.4,1,0.9,CUBAL一级联赛 2024
1.125,0.125,2.0625,2.3125,0.5211,4.4375,1,0.8,1.25,16,2,CUBAL一级联赛,20005,2024-25,200406,2024,0.875,0.4516,1.9375,15.1,1.125,1.625,21,187,21,Chen Yijing,80546,陈怡静,PF,大前锋,2,1003320449,北京大学,5.875,3.1875,1.1875,0.5758,2.0625,906,0.75,0.25,0.5714,0.4375,1,CUBAL一级联赛 2024
