_group,_leagueName,球队ID,球队名称,有效命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),上场时间(分钟),上场时间(秒),在场/不在场,球队比赛场次,球队有效命中率百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.05693,0.021326,0.034046,-0.072318,0.137538,0.050991,0.003794,-0.044586,-0.051035,-0.247992,-0.001035,-0.050311,0.05207,0.052374,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,,,,,725,,差值,,81.38,60.6,63.18,12.89,93.55,74.79,51.72,74.93,77.65,99.28,52.87,70.06,18.34,25.79
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.516129,0.414747,0.636111,0.293779,0.388235,0.291475,0.316206,0.394062,0.260459,0.585492,0.338731,0.282869,0.40081,0.242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,,,,,477.2,28631,在场,,80.79,58.44,74.5,59.77,74.5,31.29,73.18,58.44,81.46,36.59,25.99,56.95,26.16,54.14
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.573059,0.436073,0.670157,0.221461,0.525773,0.342466,0.32,0.349476,0.209424,0.3375,0.337696,0.232558,0.45288,0.294798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,,,,,247.8,14869,不在场,,92.05,63.58,82.28,34.11,94.7,48.34,73.51,75.66,88.58,91.89,27.15,71.19,11.75,33.28
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.028672,-0.036708,-0.014155,-0.032959,0.042411,0.069666,0.05852,-0.053233,0.045023,-0.112137,-0.039492,-0.084617,-0.005532,-0.012292,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,,18,,,,,,725,,差值,,68.48,29.23,41.69,32.23,66.19,82.38,77.94,79.08,22.06,86.68,77.08,81.09,54.87,57.74
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.52396,0.436318,0.653179,0.282472,0.410714,0.281211,0.29148,0.399563,0.225619,0.56129,0.353712,0.296296,0.42067,0.266436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,,18,,,,,,447.3,26836,在场,,82.62,63.58,79.3,56.13,80.3,29.14,64.9,55.79,86.42,43.71,22.85,50,19.7,45.7
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.552632,0.39961,0.639024,0.249513,0.453125,0.350877,0.35,0.34633,0.270642,0.449153,0.31422,0.211679,0.415138,0.254144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,,18,,,,,,277.7,16664,不在场,,89.4,53.48,76.16,43.54,87.09,52.98,80.3,76.82,79.8,72.35,34.27,77.98,21.85,49.5
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.02477,0.040021,-0.055407,-0.054818,0.0486,0.014797,0.058611,0.019466,0.004953,-0.026869,-0.039995,-0.056316,0.035044,0.058928,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,,20,,,,,,725.1,,差值,,65.47,71.06,27.22,20.2,68.77,59.46,78.22,37.25,45.99,62.32,78.08,72.06,26.79,21.92
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.553221,0.45098,0.608696,0.229692,0.463415,0.319328,0.359649,0.393092,0.246711,0.493333,0.309211,0.223404,0.444079,0.303704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,,20,,,,,,188.4,11301,不在场,,89.57,68.54,68.87,37.91,89.07,40.89,82.28,58.44,83.61,62.58,35.6,73.84,12.75,30.79
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.528451,0.410959,0.664103,0.28451,0.414815,0.304531,0.301038,0.373626,0.241758,0.520202,0.349206,0.27972,0.409035,0.244776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,,20,,,,,,536.7,32199,在场,,83.94,57.28,79.64,56.95,80.96,35.6,69.21,65.4,84.6,54.14,23.84,57.45,23.68,53.81
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.047007,-0.007778,0.059371,-0.009281,-0.002301,0.017059,0.055621,-0.070047,-0.031288,-0.079116,0.004503,-0.081626,0.026785,-0.027093,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,,,,,1440,,差值,,73.61,44.34,71.81,43.99,46.86,61.94,73.97,85.46,71.45,78.99,50.09,83.48,29.8,66.97
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.493885,0.412982,0.628702,0.306679,0.377301,0.280339,0.281879,0.382843,0.244558,0.52356,0.384123,0.313333,0.371319,0.241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,,,,,1140,68400,在场,,78.09,78.09,65.92,40.64,75.84,28.46,65.17,58.8,70.79,63.3,33.71,46.63,36.89,51.12
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.540892,0.405204,0.688073,0.297398,0.375,0.297398,0.3375,0.312796,0.21327,0.444444,0.388626,0.231707,0.398104,0.214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,,,,,300,18000,不在场,,88.95,76.22,79.96,37.64,74.91,35.58,82.02,84.27,80.9,78.46,32.4,72.28,27.15,61.99
