_group,_leagueName,球队ID,球队名称,有效命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),上场时间(分钟),上场时间(秒),在场/不在场,球队比赛场次,球队有效命中率百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置)
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.573059,0.436073,0.670157,0.221461,0.525773,0.342466,0.32,0.349476,0.209424,0.3375,0.337696,0.232558,1,0.133508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,总和,,,,247.8,14869,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.58277,0.442568,0.709924,0.202703,0.5,0.35473,0.314286,0.334661,0.219124,0.381818,0.346614,0.206897,0.434263,0.275229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,PF,,,大前锋,0.658,9785,,,93.38,65.56,87.58,26.99,93.71,54.8,72.52,79.47,87.09,86.09,24.5,79.3,15.73,40.89,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.545802,0.412214,0.574074,0.282443,0.567568,0.305344,0.325,0.397541,0.180328,0.227273,0.336066,0.292683,0.483607,0.355932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,SF,,,小前锋,0.317,4719,,,86.92,57.62,60.1,56.13,97.35,36.09,74.67,56.29,92.88,99.17,27.48,51.32,8.61,18.87,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.5,0.428571,0.666667,0,0,0.571429,0.25,0.2,0.4,0.5,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,C,,,中锋,0.012,183,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.875,0.75,0.666667,0,0,0.25,1,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,SG,,,得分后卫,0.012,182,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.552632,0.39961,0.639024,0.249513,0.453125,0.350877,0.35,0.34633,0.270642,0.449153,0.31422,0.211679,0.415138,0.254144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,,18,,PG,,,控球后卫,1,16664,,,89.4,53.48,76.16,43.54,87.09,52.98,80.3,76.82,79.8,72.35,34.27,77.98,21.85,49.5,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.552632,0.39961,0.639024,0.249513,0.453125,0.350877,0.35,0.34633,0.270642,0.449153,0.31422,0.211679,0.415138,0.254144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,,18,,总和,,,,277.7,16664,,,89.4,53.48,76.16,43.54,87.09,52.98,80.3,76.82,79.8,72.35,34.27,77.98,21.85,49.5,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.553221,0.45098,0.608696,0.229692,0.463415,0.319328,0.359649,0.393092,0.246711,0.493333,0.309211,0.223404,0.444079,0.303704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,,20,,C,,,中锋,1,11301,,,89.57,68.54,68.87,37.91,89.07,40.89,82.28,58.44,83.61,62.58,35.6,73.84,12.75,30.79,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.553221,0.45098,0.608696,0.229692,0.463415,0.319328,0.359649,0.393092,0.246711,0.493333,0.309211,0.223404,0.444079,0.303704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,,20,,总和,,,,188.4,11301,,,89.57,68.54,68.87,37.91,89.07,40.89,82.28,58.44,83.61,62.58,35.6,73.84,12.75,30.79,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.540892,0.405204,0.688073,0.297398,0.375,0.297398,0.3375,0.312796,0.21327,0.444444,0.388626,0.231707,1,0.085308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,总和,,,,300,18000,,,,,,,,,,,,,,,,,true
