_group,_leagueName,球队ID,球队名称,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),lineups,上场时间(秒),上场时间(分钟),每回合得分百分位排名,打法占比百分位排名,球队有效命中率百分位,球队篮下出手占比百分位排名,球队中距离出手占比百分位排名,球队三分出手占比百分位排名,失误占比百分位排名,造罚球占比百分位排名,对手每回合得分百分位排名,对手打法占比百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手中距离出手占比百分位排名,对手三分出手占比百分位排名,对手失误占比百分位排名,对手造罚球占比百分位排名,在场/不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,159,,Transition,0.2879,0.9408,169,67,,17,24,15,9,28,9,19,0.659664,0.563,0.2017,0.2353,35,0.2071,15,0.0888,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,76061,,,1,18,2,,185,73,,,14869,247.8,61.13,80.21,79.33,47,57.95,56.11,38.69,55.48,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,271,,Transition,0.262,0.8856,306,133,,43,44,18,26,55,17,38,0.575431,0.5733,0.1897,0.2371,45,0.1471,29,0.0948,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,76061,,,1,18,2,,185,73,,,28631,477.2,54.95,71.91,65.02,48.94,53,56.89,57.7,58.48,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.0259,0.0552,,,,,,,,,,,0.0842,-0.0103,0.012,-0.0018,,0.06,,-0.006,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,76061,,,1,18,2,,185,73,,,,,69.94,99.9,78.91,58.4,63.65,62.6,18.23,59.64,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,189,,Transition,0.2917,0.9643,196,78,,20,33,15,18,39,14,25,0.626667,0.52,0.22,0.26,27,0.1378,19,0.0969,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30097,,,3,18,2,,165,60,,,16664,277.7,64.66,81.63,75.27,37.35,61.66,62.72,61.13,60.6,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,241,,Transition,0.2555,0.87,277,122,,40,35,18,17,44,12,32,0.587065,0.607,0.1741,0.2189,53,0.1913,23,0.083,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30097,,,3,18,2,,165,60,,,26836,447.3,53.18,69.61,68.2,55.65,46.82,52.83,42.76,52.12,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.0362,0.0943,,,,,,,,,,,0.0396,-0.087,0.0459,0.0411,,-0.0535,,0.0139,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30097,,,3,18,2,,165,60,,,,,74.33,99.9,70.42,43.13,73.85,72.33,56.68,69.37,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,128,,Transition,0.2706,1,128,58,,17,15,10,5,22,8,14,0.663158,0.6105,0.1579,0.2316,22,0.1719,11,0.0859,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,31999,,,4,20,2,,192,93,,,11301,188.4,68.5,74.91,79.33,56.18,42.65,55.83,49.29,54.24,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,305,,Transition,0.2709,0.879,347,143,,43,53,23,30,61,18,43,0.583658,0.5564,0.2062,0.2374,58,0.1671,32,0.0922,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,31999,,,4,20,2,,192,93,,,32199,536.7,54.77,75.09,67.84,46.11,57.95,56.89,49.29,57.95,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0003,0.121,,,,,,,,,,,0.0795,0.0541,-0.0483,-0.0058,,0.0048,,-0.0063,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,31999,,,4,20,2,,192,93,,,,,76.72,21.07,77.77,73.38,47.71,61.35,34.83,59.54,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0,,Transition,0.1364,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,1,0.3333,2,0.6667,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,31999,,,4,18,2,,192,93,,,543,9.1,0,2.78,0,0,0,0,11.11,100,,,,,,,,,不在场
