_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,有效命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Transition,33,1.4348,23,10,8,2,2,1,1,6,3,3,2,0.75,0.5556,0.1111,0.3333,0.087,3,0.1304,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,4.8837,3.3414,26.73,29.72,98.39,93.55,46.54,33.87,71.66,80.18,74.88
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,P&R-Ball-Handler,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.4247,0.2906,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Post-Up,15,1.25,12,6,5,1,2,2,0,0,0,0,4,0.875,0.75,0.25,0,0.3333,0,0,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.548,1.7433,22.22,22.22,85.19,100,51.85,46.3,0,7.41,0
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Spot-Up,14,0.8235,17,0,0,0,3,1,2,13,4,9,1,0.4375,0,0.1875,0.8125,0.0588,0,0,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,3.6097,2.4697,2.6,3.68,77.06,74.03,0,46.54,77.92,83.77,0
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Off-Screen,4,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.4247,0.2906,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Hand-Off,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.2123,0.1453,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Cut,31,1.55,20,10,9,1,7,4,3,0,0,0,1,0.764706,0.5882,0.4118,0,0.05,2,0.1,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,4.2467,2.9056,27.62,33.05,99.16,97.49,64.44,35.56,0,78.66,68.62
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Put-Backs,14,1.2727,11,3,3,0,4,2,2,0,0,0,1,0.714286,0.4286,0.5714,0,0.0909,3,0.2727,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.3357,1.5981,14.07,14.81,82.96,90.37,7.41,94.81,0,28.89,87.41
CUBAL一级联赛,CUBAL一级联赛,14869,247.8,18,Miscellaneous,2,0.5,4,1,1,0,0,0,0,0,0,0,3,1,1,0,0,0.75,0,0,76061,赵婧涵,Zhao Jinghan,1,,,1003320449,北京大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.8493,0.5811,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,16664,277.7,16,Transition,35,1,35,16,12,4,2,1,1,10,3,7,7,0.625,0.5714,0.0714,0.3571,0.2,0,0,30097,钱媛媛,Qian Yuanyuan,3,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6.4884,4.5373,55.76,57.83,68.43,74.88,49.77,21.43,74.88,37.79,0
