_group,_seasonYear,_season,_stageName,得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,球员ID,date,主客场,胜负,opponentId,对手,赛事ID,scheduleId,上场时间(分钟),上场时间(秒),_playerName
CUBAL一级联赛,2024,2024-25,全部,10,4,6,10,4,1,0,3,1,3,6,0.5,2,2,1,1,4,0.25,0,0,0,4,5,0.8,76061,2025-05-30,0,1,1003320433,南京邮电大学,20005,200050010926,30,1800,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,12,0,1,1,1,1,1,1,1,4,4,1,4,4,1,0,0,0,0,0,0,4,4,1,76061,2025-05-31,1,1,2010422408,郑州大学,20005,200050010936,20.6,1238,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,1,2,2,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,2,0.5,76061,2024-10-19,0,1,2010421729,北京体育大学,20005,200050010675,12.7,763,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,16,0,6,6,4,1,0,1,0,7,9,0.7778,4,4,1,2,3,0.6667,1,2,0.5,1,1,1,76061,2024-10-20,1,1,1003320454,中国人民大学,20005,200050010677,31.2,1873,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76061,2024-10-23,0,1,1003320452,北京师范大学,20005,200050010681,3.9,235,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,16,2,4,6,2,0,1,0,1,7,9,0.7778,5,6,0.8333,2,3,0.6667,0,0,0,2,2,1,76061,2024-10-27,0,1,2010421733,北京工业大学,20005,200050010688,23.9,1432,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,4,1,6,7,2,1,0,1,2,2,3,0.6667,1,1,1,1,2,0.5,0,0,0,0,0,0,76061,2024-10-30,1,1,1003320451,北京科技大学,20005,200050010690,16.5,987,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,76061,2024-11-02,0,2,1003320453,清华大学,20005,200050010693,4,240,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,14,2,10,12,4,2,0,2,3,7,11,0.6364,6,8,0.75,1,3,0.3333,0,0,0,0,0,0,76061,2025-03-11,0,1,2010422340,哈尔滨体育学院,20005,200050010783,27.3,1639,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,5,3,5,8,0,1,0,2,0,1,2,0.5,0,0,0,0,0,0,1,2,0.5,2,2,1,76061,2025-03-13,1,1,1003320821,中国民航大学,20005,200050010789,12.6,754,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,9,4,6,10,2,0,0,0,1,4,9,0.4444,1,1,1,2,3,0.6667,1,5,0.2,0,0,0,76061,2025-03-14,0,1,1003320658,华北电力大学,20005,200050010796,24.2,1449,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,6,1,3,4,1,1,0,2,3,2,3,0.6667,1,1,1,1,1,1,0,1,0,2,3,0.6667,76061,2025-03-16,1,1,1003320661,天津财经大学,20005,200050010808,12.9,776,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76061,2025-03-17,0,2,1003320452,北京师范大学,20005,200050010815,1.9,115,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,3,0,2,2,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,76061,2025-03-18,1,1,2010422337,山东理工大学,20005,200050010820,10,600,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,6,1,2,3,4,0,0,1,0,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,76061,2025-06-01,1,1,2010422541,广西师范大学,20005,200050010947,13.7,820,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,15,1,3,4,2,0,0,1,0,6,6,1,4,4,1,1,1,1,1,1,1,2,2,1,76061,2025-06-02,1,1,2010422538,武汉科技大学,20005,200050010958,17.9,1074,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,12,1,6,7,0,0,0,2,2,4,6,0.6667,2,2,1,0,1,0,2,3,0.6667,2,2,1,76061,2025-06-03,1,1,2010422416,山西财经大学,20005,200050010966,22.1,1326,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,76061,2025-06-04,0,1,2010422544,华中科技大学,20005,200050010970,7.4,445,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76061,2025-06-05,1,1,1003320452,北京师范大学,20005,200050010974,2.2,134,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,6,1,0,1,1,0,0,0,2,2,3,0.6667,1,1,1,0,1,0,1,1,1,1,1,1,76061,2025-06-06,1,1,1003320453,清华大学,20005,200050010977,3.5,207,赵婧涵
CUBAL一级联赛,2024,2024-25,全部,22,0,5,5,1,1,0,0,3,9,12,0.75,5,5,1,1,1,1,3,6,0.5,1,1,1,30097,2025-05-30,0,1,1003320433,南京邮电大学,20005,200050010926,23.3,1396,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,8,0,2,2,7,2,0,2,0,3,5,0.6,0,0,0,1,3,0.3333,2,2,1,0,0,0,30097,2025-05-31,1,1,2010422408,郑州大学,20005,200050010936,24.2,1451,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,8,0,5,5,6,1,0,3,1,3,8,0.375,0,0,0,1,2,0.5,2,6,0.3333,0,0,0,30097,2024-10-19,0,1,2010421729,北京体育大学,20005,200050010675,22.7,1363,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,23,1,2,3,4,2,0,2,0,9,13,0.6923,4,5,0.8,0,1,0,5,7,0.7143,0,0,0,30097,2024-10-20,1,1,1003320454,中国人民大学,20005,200050010677,21.4,1282,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,30097,2024-10-23,0,1,1003320452,北京师范大学,20005,200050010681,5.3,317,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,9,1,3,4,2,0,0,1,3,4,7,0.5714,3,3,1,0,1,0,1,3,0.3333,0,0,0,30097,2024-10-27,0,1,2010421733,北京工业大学,20005,200050010688,17.9,1075,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,0,1,2,3,4,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,30097,2024-10-30,1,1,1003320451,北京科技大学,20005,200050010690,13.5,808,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,30097,2024-11-02,0,2,1003320453,清华大学,20005,200050010693,5.3,320,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,12,3,4,7,12,4,0,0,1,5,9,0.5556,2,2,1,1,1,1,2,6,0.3333,0,0,0,30097,2025-03-11,0,1,2010422340,哈尔滨体育学院,20005,200050010783,34.5,2072,钱媛媛
CUBAL一级联赛,2024,2024-25,全部,2,1,2,3,6,1,0,1,4,1,7,0.1429,1,4,0.25,0,0,0,0,3,0,0,0,0,30097,2025-03-13,1,1,1003320821,中国民航大学,20005,200050010789,24.7,1480,钱媛媛
