_group,_seasonYear,_season,球员ID,球员姓名,球队ID,赛事ID,赛季ID,stageType,gameMode,opponentId,对手,胜负,球员英文名,球衣号,位置,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,回合占有率百分位排名,回合占有率,真实命中率百分位排名,真实命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,护框尝试频率,护框成功频率,护框失败频率,护框时对手命中率
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010421729,北京体育大学,1,Zhao Jinghan,1,PF,763,12.7,200050010675,0,2024-10-19,1,0,29.65,0.07,8.78,0.100982,5.41,0.173611,0,0,100,0,0,0,0,0,0.125,89.86,0.142857,63.51,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320454,中国人民大学,1,Zhao Jinghan,1,PF,1873,31.2,200050010677,0,2024-10-20,1,0,92.93,10.09,22.97,0.132824,100,0.847458,66.22,0.153846,94.59,0.095785,0.014541,27.7,0,0,0,0,0.181818,90.54,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320452,北京师范大学,1,Zhao Jinghan,1,PF,235,3.9,200050010681,0,2024-10-23,1,0,,0.09,,0,,0,,0.333333,,0,0,,0,,0,,0,,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010421733,北京工业大学,1,Zhao Jinghan,1,PF,1432,23.9,200050010688,0,2024-10-27,1,0,88.78,8.44,66.89,0.198553,100,0.809717,54.05,0.133333,100,0,0,0,0.090909,100,0.095238,74.32,0.148148,68.24,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320451,北京科技大学,1,Zhao Jinghan,1,PF,987,16.5,200050010690,0,2024-10-30,1,0,61.3,3.49,4.73,0.091659,97.3,0.666667,70.95,0.166667,26.35,0.25,0.029262,69.59,0,0,0.05,21.62,0.230769,96.62,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320453,清华大学,2,Zhao Jinghan,1,PF,240,4,200050010693,0,2024-11-02,1,0,,0.86,,0.319444,,0.852273,,0,,0.362319,0,,0,,0.333333,,0.142857,,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010422340,哈尔滨体育学院,1,Zhao Jinghan,1,PF,1639,27.3,200050010783,0,2025-03-11,1,0,87.88,8.2,76.35,0.213957,96.62,0.636364,81.76,0.190476,68.24,0.153846,0.037581,84.46,0,0,0.105263,83.11,0.25,98.65,3,1,2,0.666667
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320821,中国民航大学,1,Zhao Jinghan,1,PF,754,12.6,200050010789,0,2025-03-13,1,0,63.07,3.71,31.76,0.14951,100,0.868056,0,0,0.68,0.409836,0.040695,91.22,0,0,0.176471,98.65,0.416667,100,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320658,华北电力大学,1,Zhao Jinghan,1,PF,1449,24.2,200050010796,0,2025-03-14,1,0,68.56,4.47,42.57,0.166052,76.35,0.5,30.41,0.095238,100,0,0,0,0,0,0.210526,100,0.214286,95.95,2,2,0,0
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320661,天津财经大学,1,Zhao Jinghan,1,PF,776,12.9,200050010808,0,2025-03-16,1,0,47.37,1.79,70.95,0.201788,97.97,0.694444,34.46,0.1,12.16,0.316456,0.044131,93.92,0,0,0.066667,42.57,0.214286,95.95,1,1,0,0
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320452,北京师范大学,2,Zhao Jinghan,1,PF,115,1.9,200050010815,0,2025-03-17,1,0,,0.43,,0,,0,,0,,0,0,,0,,0,,0,,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010422337,山东理工大学,1,Zhao Jinghan,1,PF,600,10,200050010820,0,2025-03-18,1,0,36.89,0.79,8.78,0.1,100,1.5,0,0,0.68,0.5,0,0,0,0,0,0,0.166667,81.76,1,1,0,0
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010422541,广西师范大学,1,Zhao Jinghan,1,PF,820,13.7,200050010947,1,2025-06-01,1,0,65.28,4,17.57,0.125945,100,1,96.62,0.333333,26.35,0.25,0,0,0,0,0.111111,85.81,0.153846,73.65,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010422538,武汉科技大学,1,Zhao Jinghan,1,PF,1074,17.9,200050010958,1,2025-06-02,1,0,87.33,8.05,42.57,0.166245,100,1.090116,45.27,0.117647,82.43,0.126904,0,0,0,0,0.076923,55.41,0.125,49.32,0,0,0,
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010422416,山西财经大学,1,Zhao Jinghan,1,PF,1326,22.1,200050010966,1,2025-06-03,1,0,69.58,4.63,50.68,0.176892,100,0.872093,0,0,33.11,0.225225,0,0,0,0,0.055556,27.7,0.285714,100,3,2,1,0.333333
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,2010422544,华中科技大学,1,Zhao Jinghan,1,PF,445,7.4,200050010970,1,2025-06-04,1,0,,-1.11,,0.158228,,0,,0,,0,0,,0,,0,,0.166667,,1,1,0,0
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320452,北京师范大学,1,Zhao Jinghan,1,PF,134,2.2,200050010974,0,2025-06-05,1,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,2,2,0,0
CUBAL一级联赛,2024,2024-25,76061,赵婧涵,1003320449,20005,200406,,2,1003320453,清华大学,1,Zhao Jinghan,1,PF,207,3.5,200050010977,0,2025-06-06,1,0,,2.63,,0.387387,,0.872093,,0.333333,,0,0,,0,,0.25,,0,,2,0,2,1
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010421729,北京体育大学,1,Qian Yuanyuan,3,PG,1363,22.7,200050010675,0,2024-10-19,1,0,64.81,3.93,48.8,0.202653,82.4,0.5,81.6,0.4,35.2,0.272727,0.022598,32,0,0,0,0,0.172414,97.6,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320454,中国人民大学,1,Qian Yuanyuan,3,PG,1282,21.4,200050010677,0,2024-10-20,1,0,97.51,13.77,93.6,0.280269,100,0.884615,46.4,0.285714,90.4,0.133333,0.041901,73.6,0,0,0.055556,78.4,0.105263,68,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320452,北京师范大学,1,Qian Yuanyuan,3,PG,317,5.3,200050010681,0,2024-10-23,1,0,,0.79,,0.067385,,0,,0,,0,0.098926,,0,,0,,0,,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010421733,北京工业大学,1,Qian Yuanyuan,3,PG,1075,17.9,200050010688,1,2024-10-27,1,0,54.74,2.62,53.6,0.205761,98.4,0.642857,10.4,0.153846,92.8,0.125,0,0,0,0,0.058824,80.8,0.157895,93.6,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320451,北京科技大学,1,Qian Yuanyuan,3,PG,808,13.5,200050010690,0,2024-10-30,1,0,52.4,2.33,0,0.064103,0,0,56,0.307692,100,0,0.038214,68.8,0,0,0.090909,96,0.111111,72,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320453,清华大学,2,Qian Yuanyuan,3,PG,320,5.3,200050010693,0,2024-11-02,1,0,,-1.27,,0.153846,,0,,0,,0,0,,0,,0.125,,0,,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010422340,哈尔滨体育学院,1,Qian Yuanyuan,3,PG,2072,34.5,200050010783,0,2025-03-11,1,0,98.83,15.85,4.8,0.11194,99.2,0.666667,64.8,0.352941,100,0,0.059004,96,0,0,0.12,98.4,0.08,40,2,2,0,0
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320821,中国民航大学,1,Qian Yuanyuan,3,PG,1480,24.7,200050010789,0,2025-03-13,1,0,27.58,-0.14,7.2,0.128452,1.6,0.142857,64.8,0.352941,92.8,0.125,0.022152,29.6,0,0,0.030303,44,0.083333,45.6,2,1,1,0.5
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320658,华北电力大学,1,Qian Yuanyuan,3,PG,1544,25.7,200050010796,0,2025-03-14,1,0,52.69,2.35,7.2,0.12837,28.8,0.357143,8.8,0.148148,92.8,0.125,0.020665,26.4,0,0,0,0,0.035714,4,3,2,1,0.333333
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010422337,山东理工大学,1,Qian Yuanyuan,3,PG,823,13.7,200050010820,0,2025-03-18,1,0,78.3,6.06,33.6,0.175809,100,0.8,71.2,0.375,100,0,0.037,65.6,0,0,0,0,0.076923,36.8,2,1,1,0.5
