_group,_leagueName,助攻,盖帽,防守篮板,投篮命中数,投篮命中率,投篮出手数,罚球命中数,罚球命中率,罚球出手数,出场次数,首发次数,赛事名称,赛事ID,赛季,赛季ID,年份,中距离命中数,中距离命中率,中距离出手数,上场时间(分钟),进攻篮板,个人犯规,年龄,身高,球衣号,球员英文名,球员ID,球员姓名,位置,sex,球队ID,球队名称,得分,篮板(总),篮下命中数,篮下命中率,篮下出手数,上场时间(秒),抢断,三分命中数,三分命中率,三分出手数,失误
CUBAL一级联赛,CUBAL一级联赛,1.45,0.1,3.25,2.65,0.6625,4,1.2,0.8571,1.4,20,6,CUBAL一级联赛,20005,2024-25,200406,2024,0.55,0.5,1.1,14.92,1.2,0.95,18,185,1,Zhao Jinghan,76061,赵婧涵,PF,2,1003320449,北京大学,6.9,4.45,1.7,0.8947,1.9,895,0.4,0.4,0.4,1,0.9
CUBAL一级联赛,CUBAL一级联赛,3.7222,0.0556,2.1667,2.6667,0.4898,5.4444,0.1111,0.4,0.2778,18,7,CUBAL一级联赛,20005,2024-25,200406,2024,0.3333,0.4286,0.7778,18.07,0.7222,1.0556,18,165,3,Qian Yuanyuan,30097,钱媛媛,PG,2,1003320449,北京大学,6.6111,2.8889,1.1667,0.7778,1.5,1084,1.2778,1.1667,0.3684,3.1667,1.1111
CUBAL一级联赛,CUBAL一级联赛,0.2,0,1.2,0.4,0.6667,0.6,0.4,0.3333,1.2,5,6,CUBAL一级联赛,20005,2022-23,200069,2022,0,0,0,6.52,0.2,0.8,18,192,4,Jia Jinwen,31999,贾晋文,C,2,1003320449,北京大学,1.2,1.4,0,0,0,391,0.2,0,0,0,0.6
CUBAL一级联赛,CUBAL一级联赛,0.5,0.0833,2.1667,2.0833,0.5556,3.75,0.5,0.5,1,12,0,CUBAL一级联赛,20005,2023-24,200267,2023,0.5833,0.3043,1.9167,12.5,1.0833,0.5833,19,192,4,Jia Jinwen,31999,贾晋文,C,2,1003320449,北京大学,4.6667,3.25,1.5,0.8182,1.8333,750,0.75,0,0,0,0.9167
CUBAL一级联赛,CUBAL一级联赛,0.8333,0.5,2.1111,2.6111,0.5529,4.7222,1,0.72,1.3889,18,11,CUBAL一级联赛,20005,2024-25,200406,2024,0.6111,0.4583,1.3333,11.93,1.5556,1.1111,20,192,4,Jia Jinwen,31999,贾晋文,C,2,1003320449,北京大学,6.2222,3.6667,2,0.6,3.3333,716,0.3333,0,0,0.0556,0.6667
CUBAL一级联赛,CUBAL一级联赛,1,0,1,1,0.5,2,0,0,2,1,0,CUBAL一级联赛,20005,2023-24,200267,2023,1,1,1,9.75,0,0,19,167,15,Cai Yuxin,92972,蔡雨昕,PG,2,1003320449,北京大学,2,1,0,0,0,585,0,0,0,1,1
CUBAL一级联赛,CUBAL一级联赛,1.7778,0,1.4444,2.5556,0.434,5.8889,0.1111,0.5,0.2222,9,0,CUBAL一级联赛,20005,2024-25,200406,2024,0.3333,0.375,0.8889,15.52,0.2222,2.2222,20,168,5,Cai Yuxin,92972,蔡雨昕,SG,2,1003320449,北京大学,6.8889,1.6667,0.5556,0.8333,0.6667,931,0.5556,1.6667,0.3846,4.3333,1.4444
CUBAL一级联赛,CUBAL一级联赛,1,0.1667,1.2778,1.6111,0.617,2.6111,0.3333,0.8571,0.3889,18,1,CUBAL一级联赛,20005,2023-24,200267,2023,0.6111,0.6111,1,9.37,0.5556,0.6667,18,193,6,An Hengyao,30230,安恒瑶,C,2,1003320449,北京大学,3.5556,1.8333,1,0.6207,1.6111,562,0.1667,0,0,0,0.5556
CUBAL一级联赛,CUBAL一级联赛,0.4615,0.1538,1.5385,1.9231,0.5814,3.3077,0.5385,0.6364,0.8462,13,1,CUBAL一级联赛,20005,2024-25,200406,2024,0.3846,0.3125,1.2308,11,1.5385,0.7692,19,190,6,An Hengyao,30230,安恒瑶,C,2,1003320449,北京大学,4.3846,3.0769,1.5385,0.7407,2.0769,660,0.0769,0,0,0,0.6154
CUBAL一级联赛,CUBAL一级联赛,4.5882,0.0588,2.6471,5.0588,0.5584,9.0588,1.8235,0.775,2.3529,17,12,CUBAL一级联赛,20005,2023-24,200267,2023,1.4706,0.463,3.1765,22.43,1.9412,1.4118,20,172,7,Luo Qiaomei,80548,罗巧梅,SG,2,1003320449,北京大学,12.3529,4.5882,3.1765,0.6923,4.5882,1346,2.9412,0.4118,0.3182,1.2941,2.3529
CUBAL一级联赛,CUBAL一级联赛,5.5,0,1.125,1.25,0.3125,4,0.25,1,0.25,8,1,CUBAL一级联赛,20005,2024-25,200406,2024,0.25,0.1667,1.5,19.62,0.375,1.5,21,173,7,Luo Qiaomei,80548,罗巧梅,PG,2,1003320449,北京大学,3.375,1.5,0.375,1,0.375,1177,1.375,0.625,0.3125,2,1
CUBAL一级联赛,CUBAL一级联赛,3.0769,0.0769,1.4615,2.4615,0.4923,5,0.3846,0.8333,0.4615,13,0,CUBAL一级联赛,20005,2023-24,200267,2023,0.6154,0.3077,2,13.77,0.3846,0.6154,21,168,8,Wang Siyao,80549,王斯瑶,PG,2,1003320449,北京大学,5.7692,1.8462,1.3846,0.6207,2.2308,826,0.3077,0.4615,0.6,0.7692,1.3077
