_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),有效命中率百分位排名,有效命中率,篮下频率百分位排名,篮下出手数,篮下命中率百分位排名,篮下命中率,中距离频率百分位排名,中距离出手数,中距离命中率百分位排名,中距离命中率,三分频率百分位排名,三分出手数,三分命中率百分位排名,三分命中率,罚球频率百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,,,18,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,28,14869,247.8,true,98.64,0.714286,76.19,32,97.96,0.875,65.99,18,96.6,0.555556,77.55,20,91.16,0.4,74.83,19,89.12,0.842105,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,PF,185,73,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,15,9785,0.658,false,97.97,0.682692,67.57,28,97.3,0.857143,61.49,15,88.51,0.466667,56.76,9,87.16,0.333333,58.11,12,93.24,0.916667,0,0,0,0,61.49,9,83.78,0.333333,72.3,14,87.16,0.5,24.32,1,0,0
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,SF,185,73,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,4719,0.317,false,100,0.794118,11.56,3,100,1,17.69,3,100,1,36.73,11,96.6,0.454545,46.26,7,72.79,0.714286,24.49,1,100,1,41.5,10,89.8,0.4,24.49,3,100,1,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,C,185,73,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,183,0.012,false,100,1,0.69,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,SG,185,73,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1,182,0.012,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,30097,钱媛媛,Qian Yuanyuan,3,18,,1003320449,北京大学,总和,165,60,,20005,CUBAL一级联赛,200406,2024-25,2024,16,16664,277.7,true,91.94,0.54321,64.52,22,91.13,0.727273,42.74,10,79.03,0.4,84.68,49,82.26,0.326531,24.19,4,14.52,0.25,77.42,6,87.1,0.5,83.87,43,74.19,0.302326,44.35,8,74.19,0.375,49.19,2,87.1,0.5
CUBAL一级联赛,CUBAL一级联赛,30097,钱媛媛,Qian Yuanyuan,3,18,,1003320449,北京大学,PG,165,60,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,16,16664,1,false,91.2,0.54321,64.8,22,90.4,0.727273,43.2,10,77.6,0.4,84,49,81.6,0.326531,24,4,14.4,0.25,77.6,6,87.2,0.5,83.2,43,73.6,0.302326,43.2,8,74.4,0.375,49.6,2,87.2,0.5
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,20,,1003320449,北京大学,总和,192,93,,20005,CUBAL一级联赛,200406,2024-25,2024,16,11301,188.4,true,76.92,0.507042,86.71,48,52.45,0.541667,76.22,22,88.11,0.454545,49.65,1,0,0,81.12,21,66.43,0.666667,0,0,0,0,49.65,1,0,0,83.92,20,81.12,0.45,24.48,2,87.41,0.5
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,20,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,16,11301,1,false,76.39,0.507042,86.11,48,52.08,0.541667,77.08,22,87.5,0.454545,49.31,1,0,0,80.56,21,65.97,0.666667,0,0,0,0,49.31,1,0,0,83.33,20,80.56,0.45,24.31,2,86.81,0.5
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,,,19,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,19,18000,300,true,88.79,0.555556,80.17,44,96.55,0.818182,83.62,46,49.14,0.304348,0,0,0,0,76.72,24,36.21,0.5,0,,0,0,0,,0,0,0,,0,0,0,,0,0
