_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),有效命中率百分位排名,有效命中率,篮下频率百分位排名,篮下出手数,篮下命中率百分位排名,篮下命中率,中距离频率百分位排名,中距离出手数,中距离命中率百分位排名,中距离命中率,三分频率百分位排名,三分出手数,三分命中率百分位排名,三分命中率,罚球频率百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,PF,185,73,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,14869,247.8,false,98.64,0.714286,76.19,32,97.96,0.875,65.99,18,96.6,0.555556,77.55,20,91.16,0.4,74.83,19,89.12,0.842105,49.66,1,100,1,79.59,19,87.76,0.368421,77.55,17,92.52,0.588235,24.49,1,0,0
CUBAL一级联赛,CUBAL一级联赛,30097,钱媛媛,Qian Yuanyuan,3,18,,1003320449,北京大学,PG,165,60,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,16,16664,277.7,false,91.94,0.54321,64.52,22,91.13,0.727273,42.74,10,79.03,0.4,84.68,49,82.26,0.326531,24.19,4,14.52,0.25,77.42,6,87.1,0.5,83.87,43,74.19,0.302326,44.35,8,74.19,0.375,49.19,2,87.1,0.5
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,20,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,16,11301,188.4,false,76.92,0.507042,86.71,48,52.45,0.541667,76.22,22,88.11,0.454545,49.65,1,0,0,81.12,21,66.43,0.666667,0,0,0,0,49.65,1,0,0,83.92,20,81.12,0.45,24.48,2,87.41,0.5
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,19,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,12,18000,300,false,88.79,0.555556,80.17,44,96.55,0.818182,83.62,46,49.14,0.304348,0,0,0,0,76.72,24,36.21,0.5,0,0,0,0,0,0,0,0,88.79,38,49.14,0.315789,67.24,8,49.14,0.25
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,18,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200069,2022-23,2022,2,543,9.1,false,,0,,0,,0,,0,,0,,0,,0,,2,,0.5,,0,,0,,0,,0,,0,,0,,0,,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,5,20,,1003320449,北京大学,SG,168,66,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,9,8378,139.6,false,97.83,0.575472,18.84,6,99.28,0.833333,32.61,8,65.22,0.375,73.91,39,94.2,0.384615,17.39,2,29.71,0.5,86.96,9,74.64,0.333333,71.01,30,93.48,0.4,26.81,5,71.01,0.4,61.59,3,68.12,0.333333
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,15,19,,1003320449,北京大学,PG,167,60,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1,1170,19.5,false,,0.5,,0,,0,,2,,1,,2,,0,,4,,0,,2,,0,,0,,0,,2,,1,,0,,0
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,19,,1003320449,北京大学,C,190,115,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,7346,122.4,false,85.31,0.555556,55.94,22,81.12,0.681818,49.65,14,70.63,0.357143,0,0,0,0,63.64,11,60.84,0.636364,0,0,0,0,0,0,0,0,62.24,11,82.52,0.454545,49.65,3,0,0
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,18,,1003320449,北京大学,C,193,90,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,20222,337,false,98.28,0.617021,87.07,58,62.93,0.62069,75.86,36,97.41,0.611111,0,0,0,0,55.17,14,92.24,0.857143,0,0,0,0,0,0,0,0,70.69,22,94.83,0.545455,87.07,14,93.97,0.714286
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,21,,1003320449,北京大学,PG,173,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6,7396,123.3,false,43.55,0.37037,8.06,2,100,1,45.97,11,32.26,0.181818,39.52,14,70.16,0.285714,11.29,2,100,1,0,0,0,0,49.19,14,69.35,0.285714,49.19,9,26.61,0.111111,49.19,2,87.1,0.5
