_group,_leagueName,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),出场次数,上场时间(分钟),VORP百分位排名,替补球员价值,BPM百分位排名,基础正负值,进攻正负值百分位排名,进攻正负值,防守正负值百分位排名,防守正负值,修正BPM百分位排名,修正BPM,原始BPM百分位排名,原始BPM,原始OBPM百分位排名,原始OBPM,原始DBPM百分位排名,原始DBPM,排序值,VORP排名,球员总数,得分,篮板(总),助攻,VORP排序值,是否超过VORP基准线,球队总上场时间
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,1,18,,1003320449,北京大学,PF,,,大前锋,20,298.45,97,7.394872,,,,,,,99,13.744573,98,11.754184,98,8.735553,87,3.018631,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,3,18,,1003320449,北京大学,PG,,,控球后卫,18,325.1833,97,8.238472,,,,,,,98,14.193167,96,12.202778,97,7.430584,92,4.772194,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,4,20,,1003320449,北京大学,C,,,中锋,18,214.8667,91,4.384936,,,,,,,93,10.226844,90,8.236455,92,6.329134,79,1.907321,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,4,19,,1003320449,北京大学,C,,,中锋,12,150,77,2.813998,,,,,,,88,7.589657,85,6.211177,83,3.209769,88,3.001408,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,5,20,,1003320449,北京大学,SG,,,得分后卫,9,139.6333,68,2.186153,,,,,,,81,6.402063,75,4.411675,73,2.916085,65,1.495589,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,15,19,,1003320449,北京大学,PG,,,控球后卫,1,9.75,,0.066464,,,,,,,,-1.487174,,-2.865653,,-2.793749,,-0.071904,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,6,19,,1003320449,北京大学,C,,,中锋,13,142.9333,80,2.287805,,,,,,,89,6.683583,83,4.693194,88,4.874584,54,-0.18139,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200267,2023-24,2023,30230,安恒瑶,,6,18,,1003320449,北京大学,C,,,中锋,18,168.5167,86,3.633015,,,,,,,91,9.716743,91,8.338263,87,4.890698,90,3.447566,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,7,21,,1003320449,北京大学,PG,,,控球后卫,8,156.9833,84,3.138395,,,,,,,90,9.892128,87,7.90174,81,3.792946,87,4.108794,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200267,2023-24,2023,80548,罗巧梅,,7,20,,1003320449,北京大学,SG,,,得分后卫,17,381.4667,99,13.11446,,,,,,,100,19.460139,99,18.08166,95,9.901392,100,8.180268,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,8,22,,1003320449,北京大学,SG,,,得分后卫,12,200.1167,89,4.47816,,,,,,,92,11.81271,88,9.822321,87,5.464051,90,4.358271,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200267,2023-24,2023,80549,王斯瑶,,8,21,,1003320449,北京大学,PG,,,控球后卫,13,178.9333,81,3.795705,,,,,,,94,9.453915,92,8.075436,95,5.823076,78,2.25236,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,9,20,,1003320449,北京大学,SG,,,得分后卫,14,207.2,81,3.420912,,,,,,,82,7.089372,78,5.098983,76,3.093616,69,2.005367,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,9,19,,1003320449,北京大学,SG,,,得分后卫,7,96.9,52,1.103753,,,,,,,70,1.98895,59,0.610471,52,-1.113514,76,1.723984,,,,,,,,,
