_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,护框尝试频率百分位排名,护框尝试频率,护框出手总数,护框成功频率,护框失败频率,护框时对手命中率百分位排名,护框时对手命中率
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,PF,185,73,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,14869,247.8,false,68.71,0.090498,94.56,0.195946,21.09,0.012604,33.33,0.004785,54.42,0.033611,14.62,15,15,10,5,85.38,0.333333
CUBAL一级联赛,CUBAL一级联赛,30097,钱媛媛,Qian Yuanyuan,3,18,,1003320449,北京大学,PG,165,60,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,16,16664,277.7,false,68.55,0.047619,62.1,0.1,65.32,0.036805,66.94,0.003922,49.19,0.029444,36.26,18,18,11,7,89.01,0.388889
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,20,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,16,11301,188.4,false,88.11,0.141304,60.14,0.151659,31.47,0.013405,88.81,0.047337,32.87,0.042898,53.73,38,38,26,12,85.82,0.315789
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,19,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,12,18000,300,false,62.93,0.092199,62.07,0.165605,86.21,0.030538,26.72,0.007874,91.38,0.020359,64.35,48,48,26,22,41.74,0.458333
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,18,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200069,2022-23,2022,2,543,9.1,false,,0,,0.285714,,0.053863,,0,,0.053863,,2,2,0,2,,1
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,5,20,,1003320449,北京大学,SG,168,66,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,9,8378,139.6,false,10.14,0.01626,36.23,0.077381,30.43,0.018846,0,0,1.45,0.075382,,3,3,3,0,,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,15,19,,1003320449,北京大学,PG,167,60,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1,1170,19.5,false,,0,,0.125,,0,,0,,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,19,,1003320449,北京大学,C,190,115,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,7346,122.4,false,89.51,0.142857,36.36,0.118519,8.39,0.004222,32.17,0.009434,51.05,0.033774,6.72,12,12,9,3,99.25,0.25
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,18,,1003320449,北京大学,C,193,90,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,20222,337,false,36.21,0.061728,53.45,0.150327,16.38,0.009366,55.17,0.022727,64.66,0.034342,73.04,56,56,34,22,60.87,0.392857
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,21,,1003320449,北京大学,PG,173,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6,7396,123.3,false,29.84,0.023438,25,0.066116,58.87,0.03355,0,0,12.9,0.046131,,3,3,0,3,,1
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,20,,1003320449,北京大学,SG,172,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,45776,762.9,false,88.7,0.087302,80,0.130814,99.13,0.065099,52.17,0.003049,53.91,0.027342,87.5,34,34,24,10,94.32,0.294118
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,SG,170,64,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,12,12007,200.1,false,56.52,0.045455,96.38,0.172131,60.14,0.033426,76.81,0.011905,88.41,0.012856,,3,3,3,0,,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,21,,1003320449,北京大学,PG,168,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,13,21472,357.9,false,50.5,0.034722,72.28,0.105556,6.93,0.011339,75.25,0.00641,65.35,0.022679,41.67,18,18,8,10,43.06,0.555556
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,SG,178,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,12,10910,181.8,false,26.09,0.024691,66.67,0.111111,31.88,0.018938,77.54,0.012121,94.2,0.008116,,8,8,4,4,,0.5
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,7,11628,193.8,false,14.78,0.018349,64.35,0.102041,19.13,0.01588,0,0,22.61,0.042346,0,10,10,8,2,98.86,0.2
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,6,18,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,2,2432,40.5,false,61.11,0.051282,55.56,0.1,61.11,0.025356,0,0,44.44,0.025356,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,15,19941,332.4,false,77.42,0.054755,51.61,0.090909,79.84,0.045377,0,0,44.35,0.031295,4.4,11,11,6,5,78.02,0.454545
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,21,,1003320449,北京大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,32766,546.1,false,57.39,0.045902,41.74,0.081181,93.04,0.046533,0,0,64.35,0.021327,42.05,18,18,8,10,42.05,0.555556
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,22,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,25786,429.8,false,95.21,0.114833,98.63,0.220721,97.95,0.061236,92.47,0.031008,16.44,0.047105,99.1,62,62,30,32,46.85,0.516129
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,21,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,49794,829.9,false,95.04,0.10846,100,0.230769,100,0.077098,99.17,0.041056,23.97,0.046504,100,108,108,66,42,82.65,0.388889
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,20,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,5764,96.1,false,61.11,0.04878,100,0.241667,77.78,0.048051,94.44,0.04386,55.56,0.028831,75,11,11,8,3,100,0.272727
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,19,,1003320449,北京大学,C,190,91,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,8,6771,112.9,false,86.01,0.137255,53.15,0.138462,34.97,0.014254,0,0,4.9,0.06652,11.19,14,14,10,4,95.52,0.285714
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,18,,1003320449,北京大学,PF,190,91,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1,2462,41,false,,0.055556,,0.190476,,0,,0,,0.029855,,6,6,4,2,,0.333333
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,22,,1003320449,北京大学,PF,186,78,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,19683,328.1,false,85.03,0.107784,96.6,0.220238,82.99,0.037292,61.22,0.013072,19.05,0.051277,86.15,54,54,25,29,25.38,0.537037
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,21,,1003320449,北京大学,PF,186,74,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,47822,797,false,44.86,0.057831,75.7,0.165289,90.65,0.039427,47.66,0.009036,30.84,0.040699,98.98,108,108,74,34,92.86,0.314815
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,20,,1003320449,北京大学,PF,186,74,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,4914,81.9,false,15,0.020408,15,0.1,60,0.028269,0,0,40,0.039576,18.18,11,11,6,5,27.27,0.454545
CUBAL一级联赛,CUBAL一级联赛,32013,王雨桐,Wang Yutong,16,20,,1003320449,北京大学,C,183,130,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,17592,293.2,false,75.52,0.113139,33.57,0.115385,54.55,0.01893,35.66,0.010753,80.42,0.022372,59.7,41,41,24,17,57.46,0.414634
CUBAL一级联赛,CUBAL一级联赛,32013,王雨桐,Wang Yutong,16,19,,1003320449,北京大学,C,183,130,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,40106,668.4,false,75,0.107042,67.24,0.169697,60.34,0.021513,43.97,0.01634,88.79,0.023049,87.83,78,78,58,20,94.78,0.25641
CUBAL一级联赛,CUBAL一级联赛,32013,王雨桐,Wang Yutong,16,18,,1003320449,北京大学,PF,183,130,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,2676,44.6,false,80,0.086207,70,0.152174,35,0.021305,0,0,50,0.031957,,2,2,1,1,,0.5
CUBAL一级联赛,CUBAL一级联赛,80546,陈怡静,Chen Yijing,21,21,,1003320449,北京大学,PF,187,76,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,14,12211,203.5,false,67.35,0.089005,43.54,0.117647,57.82,0.025597,56.46,0.010753,14.97,0.053754,60.77,34,34,18,16,52.31,0.470588
CUBAL一级联赛,CUBAL一级联赛,80546,陈怡静,Chen Yijing,21,20,,1003320449,北京大学,PF,186,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,3,2082,34.7,false,,0.066667,,0,,0.030248,,0,,0.060496,,4,4,2,2,,0.5
CUBAL一级联赛,CUBAL一级联赛,32012,李若莹,Li Ruoying,31,21,,1003320449,北京大学,SG,186,70,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,18,26645,444.1,false,44.93,0.034483,32.61,0.075157,67.39,0.035571,94.93,0.024331,21.01,0.042456,80.36,34,34,22,12,90.18,0.352941
CUBAL一级联赛,CUBAL一级联赛,32012,李若莹,Li Ruoying,31,20,,1003320449,北京大学,SF,186,70,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,15,32066,534.4,false,70.25,0.064407,40.5,0.095406,86.78,0.041078,84.3,0.016667,7.44,0.058683,86.73,48,48,28,20,78.57,0.416667
CUBAL一级联赛,CUBAL一级联赛,32012,李若莹,Li Ruoying,31,19,,1003320449,北京大学,SF,186,70,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,3656,60.9,false,38.89,0.027027,66.67,0.09589,27.78,0.023185,88.89,0.030769,33.33,0.04637,,5,5,3,2,,0.4
