_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,护框尝试频率百分位排名,护框尝试频率,护框出手总数,护框成功频率,护框失败频率,护框时对手命中率百分位排名,护框时对手命中率
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,,,18,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,28,14869,247.8,true,68.71,0.090498,94.56,0.195946,20.95,0.0126,33.33,0.004785,54.73,0.0336,14.62,15,15,10,5,85.38,0.333333
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,PF,185,73,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,15,9785,0.658,false,74.32,0.094595,93.24,0.191919,14.19,0.009345,40.54,0.007042,69.59,0.028034,0,10,10,5,5,38.17,0.5
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,SF,185,73,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,4719,0.317,false,76.19,0.073529,95.92,0.188889,34.69,0.020802,0,0,26.53,0.041603,,5,5,5,0,,0
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,C,185,73,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,183,0.012,false,100,0.25,100,0.5,0,0,0,0,0,0.168634,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,76061,赵婧涵,Zhao Jinghan,1,18,,1003320449,北京大学,SG,185,73,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1,182,0.012,false,0,0,100,0.25,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,30097,钱媛媛,Qian Yuanyuan,3,18,,1003320449,北京大学,总和,165,60,,20005,CUBAL一级联赛,200406,2024-25,2024,16,16664,277.7,true,68.55,0.047619,62.1,0.1,65.32,0.036805,66.94,0.003922,49.19,0.029444,36.26,18,18,11,7,89.01,0.388889
CUBAL一级联赛,CUBAL一级联赛,30097,钱媛媛,Qian Yuanyuan,3,18,,1003320449,北京大学,PG,165,60,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,16,16664,1,false,68,0.047619,61.6,0.1,64.8,0.036805,66.4,0.003922,49.6,0.029444,35.87,18,18,11,7,89.13,0.388889
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,20,,1003320449,北京大学,总和,192,93,,20005,CUBAL一级联赛,200406,2024-25,2024,16,11301,188.4,true,88.11,0.141304,60.14,0.151659,31.47,0.013405,88.81,0.047337,32.87,0.042898,53.73,38,38,26,12,85.82,0.315789
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,20,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,16,11301,1,false,87.5,0.141304,59.72,0.151659,31.25,0.013405,88.19,0.047337,33.33,0.042898,54.07,38,38,26,12,85.19,0.315789
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,,,19,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,19,18000,300,true,62.93,0.092199,62.07,0.165605,86.32,0.030552,26.72,0.007874,90.6,0.020368,64.35,48,48,26,22,41.74,0.458333
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,19,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,12,12678,0.704,false,82.91,0.116505,29.91,0.117117,95.73,0.04313,31.62,0.01087,93.16,0.019169,47.41,38,38,20,18,37.07,0.473684
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,19,,1003320449,北京大学,PF,192,93,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,7,5322,0.296,false,17.59,0.026316,100,0.282609,0,0,0,0,80.56,0.023281,0,10,10,6,4,63.64,0.4
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,,,18,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,3,543,9.1,true,0,0,100,0.285714,94.74,0.054765,0,0,36.84,0.054765,,2,2,0,2,,1
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,18,,1003320449,北京大学,C,192,93,中锋,20005,CUBAL一级联赛,200069,2022-23,2022,2,431,0.794,false,0,0,100,0.333333,0,0,0,0,26.32,0.07215,,2,2,0,2,,1
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,18,,1003320449,北京大学,PF,192,93,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,112,0.206,false,0,0,0,0,100,0.227273,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,,,20,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,14,8378,139.6,true,10.14,0.01626,36.23,0.077381,30.22,0.018831,0,0,2.16,0.075326,,3,3,3,0,,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,5,20,,1003320449,北京大学,SG,168,66,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6,5784,0.69,false,23.02,0.02381,16.55,0.057851,34.53,0.021488,0,0,0,0.080581,,1,1,1,0,,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,5,20,,1003320449,北京大学,PG,168,66,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,8,2594,0.31,false,0,0,85.6,0.12766,15.2,0.0126,0,0,3.2,0.063001,,2,2,2,0,,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,15,19,,1003320449,北京大学,总和,167,60,,20005,CUBAL一级联赛,200267,2023-24,2023,1,1170,19.5,true,0,0,87.25,0.125,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,15,19,,1003320449,北京大学,PG,167,60,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1,1170,1,false,0,0,87.25,0.125,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,,,19,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,12,7346,122.4,true,89.51,0.142857,36.36,0.118519,8.33,0.004221,32.17,0.009434,51.39,0.03377,6.72,12,12,9,3,99.25,0.25
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,19,,1003320449,北京大学,C,190,115,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,7258,0.988,false,89.58,0.143885,37.5,0.121212,9.03,0.004294,34.03,0.009709,49.31,0.03435,8.15,12,12,9,3,99.26,0.25
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,19,,1003320449,北京大学,PF,190,115,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,88,0.012,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,18,,1003320449,北京大学,总和,193,90,,20005,CUBAL一级联赛,200267,2023-24,2023,18,20222,337,true,36.21,0.061728,53.45,0.150327,16.38,0.009366,55.17,0.022727,64.66,0.034342,73.04,56,56,34,22,60.87,0.392857
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,18,,1003320449,北京大学,C,193,90,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,20222,1,false,36.75,0.061728,52.99,0.150327,16.24,0.009366,54.7,0.022727,64.96,0.034342,74.14,56,56,34,22,61.21,0.392857
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,11,7396,123.3,true,29.84,0.023438,25,0.066116,58.4,0.033549,0,0,13.6,0.04613,,3,3,0,3,,1
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,21,,1003320449,北京大学,PG,173,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6,6062,0.82,false,36.8,0.026786,24,0.0625,53.6,0.030961,0,0,8,0.051602,,3,3,0,3,,1
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,21,,1003320449,北京大学,SG,173,68,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,5,1334,0.18,false,0,0,39.57,0.08,81.29,0.044779,0,0,69.06,0.022389,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,,,20,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,33,45776,762.9,true,88.7,0.087302,80,0.130814,99.14,0.0651,52.17,0.003049,53.91,0.027342,87.5,34,34,24,10,94.32,0.294118
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,20,,1003320449,北京大学,SG,172,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,31838,0.696,false,87.07,0.078431,90.52,0.144681,100,0.070601,57.76,0.004444,52.59,0.029727,42.7,18,18,16,2,100,0.111111
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,20,,1003320449,北京大学,PG,172,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,16,13938,0.304,false,97.06,0.105691,65.69,0.100917,93.14,0.052216,0,0,72.55,0.021756,38.36,16,16,8,8,64.38,0.5
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,,,22,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,24,12007,200.1,true,56.52,0.045455,96.38,0.172131,59.71,0.033405,76.81,0.011905,88.49,0.012848,,3,3,3,0,,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,SG,170,64,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,10,4491,0.374,false,63.31,0.050633,86.33,0.134146,87.77,0.050453,85.61,0.014925,100,0,,1,1,1,0,,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,SF,170,64,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5,3990,0.332,false,55.78,0.051724,97.28,0.206897,43.54,0.023219,0,0,96.6,0.00774,,2,2,2,0,,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,PG,170,64,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,9,3526,0.294,false,45.6,0.032787,98.4,0.173333,37.6,0.024749,96.8,0.022222,39.2,0.032999,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,14,21472,357.9,true,50.5,0.034722,72.28,0.105556,6.93,0.011339,75.25,0.00641,65.35,0.022679,41.67,18,18,8,10,43.06,0.555556
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,21,,1003320449,北京大学,PG,168,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,13,20302,0.946,false,55.88,0.037037,78.43,0.110465,7.84,0.011876,75.49,0.006623,63.73,0.023751,42.47,18,18,8,10,42.47,0.555556
