_group,_leagueName,_seasonYear,底角三分命中率,有效命中率,赛事名称,赛事ID,赛季,赛季ID,年份,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手有效命中率百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队有效命中率百分位,球队ID,球队中距离命中率百分位排名,球队名称,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.535222,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.426136,726.5,0,0,0.378896,64.24,0,0.265789,62.09,0,0,0,0.338379,26.66,0,0.243099,84.11,0,0.418522,20.53,0.512821,57.28,0,0.261702,47.02,0,0,0.269525,0,0.421899,0,0.308576,0.647913,,0,84.93,1003320449,82.78,北京大学,50.83,59.93,37.25,78.48,73.18,0.317618
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.411765,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.384615,16.2,0,0,0.481481,,0,0.333333,,0,0,0,0.222222,,0,0.296296,,0,0.481481,,0.625,,0,0.307692,,0,0,0.382353,0,0.5,0,0.117647,0.529412,972,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.568182,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.625,12.2,0,0,0.5,,0,0.285714,,0,0,0,0.466667,,0,0.133333,,0,0.4,,0.5,,0,0.5,,0,0,0.363636,0,0.363636,0,0.272727,0.75,732,0,,1003320449,,北京大学,,,,,,0.166667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.428571,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,2.3,0,0,0.25,,0,0,,0,0,0,0.25,,0,0.25,,0,0.5,,1,,0,0,,0,0,0.285714,0,0.571429,0,0.142857,0.5,138,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1.25,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.5,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0.5,0,0.5,1,30,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.375,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.333333,7.9,0,0,0.291667,,0,0.166667,,0,0,0,0.5,,0,0.166667,,0,0.333333,,0.5,,0,0.25,,0,0,0.25,0,0.25,0,0.5,0.666667,472,0,,1003320449,,北京大学,,,,,,0.166667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.6,0,0,1,,0,1,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0,0,1,0,0,1,37,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.75,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,3,0,0,0.214286,,0,0,,0,0,0,0.285714,,0,0,,0,0.714286,,0,,0,0.2,,0,0,0.333333,0,0.333333,0,0.333333,0.5,179,0,,1003320449,,北京大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.727273,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.666667,6.4,0,0,0.291667,,0,0.2,,0,0,0,0.416667,,0,0.25,,0,0.333333,,0.333333,,0,0.25,,0,0,0.272727,0,0.454545,0,0.272727,0.6,381,0,,1003320449,,北京大学,,,,,,0.666667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.9375,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,5,0,0,0.5,,0,0,,0,0,0,0.625,,0,0.125,,0,0.25,,1,,0,1,,0,0,0.125,0,0.75,0,0.125,0.833333,299,0,,1003320449,,北京大学,,,,,,1
