得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
14,2,3,5,3,1,0,3,5,4,8,0.5,3,3,1,1,1,1,0,4,0,6,7,0.8571,28161,李青阳,Li Qingyang,1,2527,-2,1,200406,1003320452,全场,homeTeamDataCount
13,0,9,9,4,0,2,4,1,6,10,0.6,2,3,0.6667,4,7,0.5714,0,0,0,1,5,0.2,32090,张笑,,8,2401,-1,1,200406,1003320452,全场,homeTeamDataCount
9,1,2,3,2,0,0,5,4,3,12,0.25,3,6,0.5,0,4,0,0,2,0,3,4,0.75,22700,曹博怡,Cao Boyi,14,2325,4,1,200406,1003320452,全场,homeTeamDataCount
20,5,7,12,2,2,0,2,2,5,15,0.3333,2,5,0.4,3,7,0.4286,0,3,0,10,13,0.7692,80524,张梓涵,Zhang Zihan,7,2194,1,1,200406,1003320452,全场,homeTeamDataCount
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32054,王翰轶,,10,327,-2,1,200406,1003320452,全场,homeTeamDataCount
4,0,3,3,0,0,0,3,2,1,3,0.3333,0,0,0,0,0,0,1,3,0.3333,1,2,0.5,35590,张书璇,Zhang Shuxuan,5,1579,1,0,200406,1003320452,全场,homeTeamDataCount
1,0,4,4,2,0,0,2,2,0,4,0,0,1,0,0,1,0,0,2,0,1,2,0.5,88490,李星诺,Li Xingnuo,11,1017,-1,0,200406,1003320452,全场,homeTeamDataCount
3,1,3,4,0,0,0,0,1,1,3,0.3333,0,0,0,0,0,0,1,3,0.3333,0,0,0,104527,毛婉如,,12,698,-4,0,200406,1003320452,全场,homeTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80520,李妍熹,Li Yanxi,9,325,-6,0,200406,1003320452,全场,homeTeamDataCount
0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80522,刘馨悦,Liu Xinyue,16,107,0,0,200406,1003320452,全场,homeTeamDataCount
,1,4,5,,,,3,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320452,全场,homeTeamDataCount
64,10,36,46,13,3,2,24,20,20,55,0.3636,10,18,0.5556,8,20,0.4,2,17,0.1176,22,33,0.6667,,总和,,,,-2,,200406,1003320452,全场,homeTeamDataCount
20,0,7,7,1,3,0,4,2,9,21,0.4286,5,6,0.8333,4,11,0.3636,0,4,0,2,5,0.4,32005,王家绘,Wang Jiahui,11,2305,5,1,200406,1003320449,全场,awayTeamDataCount
19,3,3,6,2,1,0,0,2,6,19,0.3158,1,3,0.3333,3,7,0.4286,2,9,0.2222,5,7,0.7143,80550,伍湘琳,Wu Xianglin,10,2245,3,1,200406,1003320449,全场,awayTeamDataCount
6,2,2,4,0,1,0,1,3,2,8,0.25,2,4,0.5,0,3,0,0,1,0,2,2,1,32013,王雨桐,Wang Yutong,16,1635,7,1,200406,1003320449,全场,awayTeamDataCount
3,0,3,3,3,2,0,3,2,1,4,0.25,0,0,0,1,1,1,0,3,0,1,4,0.25,30097,钱媛媛,Qian Yuanyuan,3,1278,3,1,200406,1003320449,全场,awayTeamDataCount
6,3,4,7,0,0,0,0,5,1,2,0.5,0,0,0,1,1,1,0,1,0,4,6,0.6667,32006,李美潼,Li Meitong,13,1036,7,1,200406,1003320449,全场,awayTeamDataCount
6,0,2,2,2,1,0,0,3,2,7,0.2857,0,0,0,0,2,0,2,5,0.4,0,0,0,32012,李若莹,Li Ruoying,31,1481,-3,0,200406,1003320449,全场,awayTeamDataCount
0,0,1,1,3,1,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,1123,1,0,200406,1003320449,全场,awayTeamDataCount
2,0,2,2,0,1,0,1,1,1,4,0.25,1,1,1,0,3,0,0,0,0,0,0,0,80546,陈怡静,Chen Yijing,21,1069,-4,0,200406,1003320449,全场,awayTeamDataCount
4,3,1,4,1,0,0,0,5,1,1,1,1,1,1,0,0,0,0,0,0,2,2,1,30230,安恒瑶,An Hengyao,6,870,-6,0,200406,1003320449,全场,awayTeamDataCount
0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,32001,王乔睿,Wang Qiaorui,9,324,-2,0,200406,1003320449,全场,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76061,赵婧涵,Zhao Jinghan,1,134,-1,0,200406,1003320449,全场,awayTeamDataCount
,1,3,4,,,,2,2,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,全场,awayTeamDataCount
66,12,28,40,13,10,0,11,27,23,70,0.3286,10,15,0.6667,9,30,0.3,4,25,0.16,16,26,0.6154,,总和,,,,2,,200406,1003320449,全场,awayTeamDataCount
4,0,0,0,2,1,0,0,1,1,2,0.5,1,1,1,0,0,0,0,1,0,2,2,1,28161,李青阳,Li Qingyang,1,600,1,1,200406,1003320452,Q1,homeTeamDataCount
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32090,张笑,,8,600,1,1,200406,1003320452,Q1,homeTeamDataCount
12,0,4,4,0,1,0,0,1,5,6,0.8333,2,2,1,3,4,0.75,0,0,0,2,3,0.6667,80524,张梓涵,Zhang Zihan,7,600,1,1,200406,1003320452,Q1,homeTeamDataCount
0,1,0,1,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,22700,曹博怡,Cao Boyi,14,446,1,1,200406,1003320452,Q1,homeTeamDataCount
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32054,王翰轶,,10,327,-2,1,200406,1003320452,Q1,homeTeamDataCount
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0.5,88490,李星诺,Li Xingnuo,11,273,3,0,200406,1003320452,Q1,homeTeamDataCount
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35590,张书璇,Zhang Shuxuan,5,154,0,0,200406,1003320452,Q1,homeTeamDataCount
,0,0,0,,,,1,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320452,Q1,homeTeamDataCount
