得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
9,3,4,7,6,3,0,7,3,3,10,0.3,3,6,0.5,0,4,0,0,0,0,3,5,0.6,32071,张涛,Zhang Tao,11,2153,-10,1,200406,1003320453,全场,homeTeamDataCount
6,1,5,6,5,0,0,5,3,2,9,0.2222,1,3,0.3333,0,0,0,1,6,0.1667,1,2,0.5,32064,王小青,Wang Xiaoqing,5,1947,-11,1,200406,1003320453,全场,homeTeamDataCount
10,1,10,11,2,2,3,2,3,5,11,0.4545,5,5,1,0,4,0,0,2,0,0,1,0,32067,高梓悦,Gao Ziyue,16,1849,-14,1,200406,1003320453,全场,homeTeamDataCount
7,4,1,5,1,0,0,2,1,2,5,0.4,0,1,0,1,3,0.3333,1,1,1,2,5,0.4,32072,吴语桐,Wu Yutong,4,1202,-12,1,200406,1003320453,全场,homeTeamDataCount
2,1,0,1,1,0,0,1,2,1,4,0.25,1,1,1,0,0,0,0,3,0,0,0,0,93035,李瑜婧,Li Yujing,21,908,-7,1,200406,1003320453,全场,homeTeamDataCount
13,2,3,5,0,1,0,1,2,4,9,0.4444,2,2,1,0,2,0,2,5,0.4,3,4,0.75,80514,王镘淋,Wang Manlin,9,1489,-3,0,200406,1003320453,全场,homeTeamDataCount
8,2,1,3,1,0,0,0,3,3,12,0.25,1,4,0.25,1,2,0.5,1,6,0.1667,1,1,1,40730,李嘉琳,Li Jialin,2,1275,-1,0,200406,1003320453,全场,homeTeamDataCount
11,0,2,2,1,0,1,0,2,3,7,0.4286,0,0,0,1,1,1,2,6,0.3333,3,4,0.75,92064,刘琦,Liu Qi,6,1008,-5,0,200406,1003320453,全场,homeTeamDataCount
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,88706,孙楷文,Sun Kaiwen,15,169,-2,0,200406,1003320453,全场,homeTeamDataCount
,3,4,7,,,,1,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320453,全场,homeTeamDataCount
