得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,defensiveFouls,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,防守投篮被命中数,防守投篮未命中数,防守投篮出手数,防守投篮命中率,底角三分出手数,cornerThfgM,非底角三分出手数,nonCornerThfgM,短中距离出手数,smfgM,长中距离出手数,lmfgM,scheduleTime,date,主客场,胜负,scheduleId,teamId,teamName,teamLogo,上场时间(分钟),wins,losses,teamTotalNum,leagueEventId,leagueEvent,season,seasonId,year,出场次数,gamesPlayedComputed,teamTurnovers,teamFouls,teamRebounds,teamOffensiveRebounds,teamDefensiveRebounds,opponentId,对手,对手得分,oppOffensiveRebounds,oppDefensiveRebounds,oppRebounds,oppAssists,oppSteals,oppBlocks,对手失误,oppPersonalFouls,oppFgM,oppFga,oppFgPct,对手篮下命中数,对手篮下出手数,对手篮下命中率,对手中距离命中数,对手中距离出手数,对手中距离命中率,对手三分命中数,对手三分出手数,对手三分命中率,oppFtM,oppFta,oppFtPct,oppCornerThfga,oppCornerThfgM,oppNonCornerThfga,oppNonCornerThfgM,oppSmfga,oppSmfgM,oppLmfga,oppLmfgM,teamPossessions,oppPossessions,回合数,_period
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-23,1,2,200050010679,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010421733,北京工业大学,42,7,22,29,6,4,0,34,9,13,41,0.3171,4,6,0.6667,5,18,0.2778,4,17,0.2353,12,22,0.5455,,,,,,,,,0,0,0,CUBAL一级联赛 2024
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-01,1,2,200050010954,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320435,中国矿业大学,62,9,20,29,16,8,0,15,22,24,59,0.4068,15,33,0.4545,3,8,0.375,6,18,0.3333,8,13,0.6154,,,,,,,,,0,0,0,CUBAL一级联赛 2024
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-02,1,2,200050010962,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010422416,山西财经大学,23,4,17,21,3,3,0,18,8,8,53,0.1509,4,13,0.3077,2,17,0.1176,2,23,0.087,5,8,0.625,,,,,,,,,0,0,0,CUBAL一级联赛 2024
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-20,0,2,200050010676,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010421729,北京体育大学,47,10,27,37,18,8,0,17,12,16,65,0.2462,9,25,0.36,3,25,0.12,4,15,0.2667,11,22,0.5,,,,,,,,,0,0,0,CUBAL一级联赛 2024
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-26,0,2,200050010683,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320454,中国人民大学,66,11,21,32,16,7,1,26,15,23,56,0.4107,6,14,0.4286,10,22,0.4545,7,20,0.35,13,22,0.5909,,,,,,,,,0,0,0,CUBAL一级联赛 2024
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-27,1,2,200050010686,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320451,北京科技大学,52,12,17,29,15,4,2,11,14,17,68,0.25,7,12,0.5833,3,27,0.1111,7,29,0.2414,11,18,0.6111,,,,,,,,,0,0,0,CUBAL一级联赛 2024
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30,0,1,200050010689,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320452,北京师范大学,71,13,23,36,20,13,1,18,30,25,61,0.4098,13,23,0.5652,6,17,0.3529,6,21,0.2857,15,17,0.8824,,,,,,,,,0,0,0,CUBAL一级联赛 2024
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-02,0,2,200050010693,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320449,北京大学,75,16,28,44,13,14,2,19,19,29,66,0.4394,5,7,0.7143,23,48,0.4792,1,11,0.0909,16,26,0.6154,,,,,,,,,0,0,0,CUBAL一级联赛 2024
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-12,0,2,200050010787,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320817,大连理工大学,46,7,14,21,18,8,0,16,7,16,68,0.2353,9,18,0.5,5,22,0.2273,2,28,0.0714,12,12,1,,,,,,,,,0,0,0,CUBAL一级联赛 2024
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-13,1,2,200050010792,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320661,天津财经大学,55,11,23,34,23,5,0,22,20,22,68,0.3235,9,17,0.5294,8,22,0.3636,5,29,0.1724,6,11,0.5455,,,,,,,,,0,0,0,CUBAL一级联赛 2024
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-15,0,2,200050010798,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010422340,哈尔滨体育学院,43,5,20,25,6,4,0,20,5,18,53,0.3396,10,24,0.4167,3,7,0.4286,5,22,0.2273,2,2,1,,,,,,,,,0,0,0,CUBAL一级联赛 2024
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-16,1,2,200050010806,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320545,中国海洋大学,44,10,14,24,14,19,0,27,6,17,58,0.2931,7,11,0.6364,5,16,0.3125,5,31,0.1613,5,11,0.4545,,,,,,,,,0,0,0,CUBAL一级联赛 2024
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,1,2,200050010813,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010422337,山东理工大学,48,10,23,33,14,7,3,21,12,21,67,0.3134,13,19,0.6842,8,31,0.2581,0,17,0,6,10,0.6,,,,,,,,,0,0,0,CUBAL一级联赛 2024
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-18,0,1,200050010821,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320452,北京师范大学,76,19,33,52,25,7,6,23,27,24,67,0.3582,7,13,0.5385,11,28,0.3929,6,26,0.2308,22,33,0.6667,,,,,,,,,0,0,0,CUBAL一级联赛 2024
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-30,0,2,200050010932,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010422544,华中科技大学,53,18,23,41,16,7,4,23,19,19,63,0.3016,3,10,0.3,12,30,0.4,4,23,0.1739,11,17,0.6471,,,,,,,,,0,0,0,CUBAL一级联赛 2024
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31,1,2,200050010945,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,2010422410,西安交通大学,58,16,27,43,18,8,0,21,21,21,70,0.3,9,19,0.4737,8,24,0.3333,4,27,0.1481,12,15,0.8,,,,,,,,,0,0,0,CUBAL一级联赛 2024
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-04,1,2,200050010973,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1000120193,中南大学,66,7,19,26,20,4,1,17,12,23,53,0.434,7,10,0.7,7,19,0.3684,9,24,0.375,11,13,0.8462,,,,,,,,,0,0,0,CUBAL一级联赛 2024
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-05,0,2,200050010975,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320780,上海交通大学,69,17,24,41,17,3,3,18,10,24,67,0.3582,11,17,0.6471,7,27,0.2593,6,23,0.2609,15,18,0.8333,,,,,,,,,0,0,0,CUBAL一级联赛 2024
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-06,1,1,200050010977,1003320453,清华大学,,,,,,20005,CUBAL一级联赛,,200406,,,,,,,,,1003320449,北京大学,79,19,31,50,18,14,3,12,22,29,78,0.3718,11,23,0.4783,10,27,0.3704,8,28,0.2857,13,17,0.7647,,,,,,,,,0,0,0,CUBAL一级联赛 2024
