助攻,盖帽,防守篮板,投篮命中数,投篮命中率,投篮出手数,罚球命中数,罚球命中率,罚球出手数,出场次数,首发次数,leagueEvent,leagueEventId,season,seasonId,year,中距离命中数,中距离命中率,中距离出手数,上场时间(分钟),进攻篮板,个人犯规,age,height,number,playerEnName,playerId,playerName,position,positionCn,sex,teamId,teamName,得分,篮板(总),篮下命中数,篮下命中率,篮下出手数,上场时间(秒),抢断,三分命中数,三分命中率,三分出手数,失误,_period
5.5789,0.0526,2.5789,3.2105,0.4236,7.5789,0.8947,0.6296,1.4211,19,19,CUBAL一级联赛,20005,2024-25,200406,2024,0.2632,0.2941,0.8947,25.82,0.5789,1.6316,22,170,5,Wang Xiaoqing,32064,王小青,PG,控球后卫,2,1003320453,清华大学,8.8947,3.1579,1.3684,0.5909,2.3158,1549,1.3158,1.5789,0.3614,4.3684,1.8421,CUBAL一级联赛 2024
3.5,0.0833,2.75,4.1667,0.5682,7.3333,2.6667,0.6154,4.3333,12,11,CUBAL一级联赛,20005,2024-25,200406,2024,0.3333,0.3077,1.0833,18.45,2.5,2.0833,21,181,7,Yuan Xinyue,32066,袁欣悦,SF,小前锋,2,1003320453,清华大学,11.5,5.25,3.3333,0.7018,4.75,1107,2.25,0.5,0.3333,1.5,1.6667,CUBAL一级联赛 2024
1.2222,0.6111,4.4444,6.3333,0.5938,10.6667,1.5,0.6923,2.1667,18,17,CUBAL一级联赛,20005,2024-25,200406,2024,1.8889,0.4857,3.8889,21.92,2.4444,1.2778,21,199,16,Gao Ziyue,32067,高梓悦,C,中锋,2,1003320453,清华大学,14.4444,6.8889,4.1667,0.7653,5.4444,1315,1.3889,0.2778,0.2083,1.3333,1.2778,CUBAL一级联赛 2024
3.8333,0.0833,6.4167,4.75,0.5,9.5,2.8333,0.6182,4.5833,12,12,CUBAL一级联赛,20005,2024-25,200406,2024,0.75,0.3462,2.1667,24.22,4.0833,2.75,21,184,11,Zhang Tao,32071,张涛,PF,大前锋,2,1003320453,清华大学,12.5,10.5,3.8333,0.5542,6.9167,1453,2.6667,0.1667,0.4,0.4167,2.3333,CUBAL一级联赛 2024
2.7647,0,1.4118,4.5882,0.4671,9.8235,1.2353,0.5526,2.2353,17,12,CUBAL一级联赛,20005,2024-25,200406,2024,0.8824,0.3947,2.2353,22.12,1.5882,1.0588,20,173,4,Wu Yutong,32072,吴语桐,SG,得分后卫,2,1003320453,清华大学,11.2353,3,2.8824,0.6622,4.3529,1327,1.1176,0.8235,0.2545,3.2353,1.7647,CUBAL一级联赛 2024
1.0909,0,0.7273,1.4545,0.3556,4.0909,0.3636,1,0.3636,11,1,CUBAL一级联赛,20005,2024-25,200406,2024,0.1818,0.25,0.7273,9.93,0.7273,0.2727,23,175,13,Wang Siwen,32074,王思文,SF,小前锋,2,1003320453,清华大学,4.0909,1.4545,0.4545,0.7143,0.6364,596,0.9091,0.8182,0.3,2.7273,0.7273,CUBAL一级联赛 2024
3.6316,0.2105,1.5789,3.1053,0.362,8.5789,0.2105,0.8,0.2632,19,4,CUBAL一级联赛,20005,2024-25,200406,2024,0.4737,0.3333,1.4211,20.38,1,1.2632,19,178,2,Li Jialin,40730,李嘉琳,SF,小前锋,2,1003320453,清华大学,8.4211,2.5789,0.6316,0.6316,1,1223,1.0526,2,0.3248,6.1579,1.2632,CUBAL一级联赛 2024
3.1579,0.0526,2.0526,3.2632,0.3899,8.3684,1.0526,0.6667,1.5789,19,3,CUBAL一级联赛,20005,2024-25,200406,2024,0.4737,0.2571,1.8421,20.9,1.6316,1.3158,21,175,9,Wang Manlin,80514,王镘淋,PG,控球后卫,2,1003320453,清华大学,8.7895,3.6842,1.5789,0.6977,2.2632,1254,1.2105,1.2105,0.284,4.2632,1.9474,CUBAL一级联赛 2024
0.6316,0.5263,2.7895,3.7368,0.5772,6.4737,1.6316,0.6739,2.4211,19,0,CUBAL一级联赛,20005,2024-25,200406,2024,0.8947,0.3864,2.3158,15.48,1.3158,2.1579,18,197,15,Sun Kaiwen,88706,孙楷文,C,中锋,2,1003320453,清华大学,9.2632,4.1053,2.6316,0.7246,3.6316,929,0.3158,0.1579,0.3333,0.4737,0.7368,CUBAL一级联赛 2024
0.8333,0.3333,2.1667,1.4167,0.5484,2.5833,0.25,0.75,0.3333,12,1,CUBAL一级联赛,20005,2024-25,200406,2024,0.3333,0.3077,1.0833,12.37,2.0833,0.9167,18,185,10,Wei Yiran,89060,魏亦冉,PF,大前锋,2,1003320453,清华大学,3.0833,4.25,1.0833,0.7647,1.4167,742,0.25,0,0,0.0833,0.5833,CUBAL一级联赛 2024
