_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.002345,-0.088224,0.018627,-0.002294,-0.003807,0.090517,0.023395,0.000072,0.025811,0.059047,0.024276,-0.065105,-0.050086,0.00881,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,,,,,690,,差值,,47.28,10.74,56.3,49.86,47.71,88.54,62.61,48.42,33.95,26.79,34.1,74.5,80.52,47.13,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.519113,0.437309,0.671329,0.252294,0.375758,0.310398,0.280788,0.372744,0.238267,0.492424,0.371841,0.359223,0.389892,0.208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,,,,,356.1,21365,在场,,81.62,63.91,82.28,44.54,72.35,38.41,60.93,65.56,84.93,62.58,19.04,33.61,31.29,67.55,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.516768,0.349085,0.689956,0.25,0.371951,0.400915,0.304183,0.372816,0.264078,0.551471,0.396117,0.294118,0.339806,0.217143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,,,,,333.9,20035,不在场,,80.96,39.24,85.26,43.54,69.7,73.84,69.21,65.56,81.13,45.7,13.91,50.17,52.48,65.56,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.015181,-0.11897,0.002678,0.028518,0.060108,0.090452,-0.016119,-0.036708,-0.004296,0,-0.021048,-0.006587,0.025345,-0.058593,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,,,,,720,,差值,,36.62,5.21,49.01,66.43,75.4,90.48,37.52,72.17,52.06,47.04,66.61,51.35,30.88,78.99,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.517068,0.454819,0.649007,0.262048,0.329502,0.283133,0.319149,0.365724,0.242638,0.5,0.37338,0.271293,0.383981,0.248466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,,,,,577.2,34630,在场,,84.46,86.52,69.48,27.15,58.99,29.03,77.34,64.61,70.97,69.1,37.08,60.67,31.65,50.37,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.501887,0.335849,0.651685,0.290566,0.38961,0.373585,0.30303,0.329016,0.238342,0.5,0.352332,0.264706,0.409326,0.189873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,,,,,142.8,8570,不在场,,80.34,58.05,70.04,35.21,79.4,64.42,72.28,78.46,72.28,69.1,42.51,62.55,23.41,72.1,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.020295,0.063332,-0.006718,0.019786,-0.005127,-0.083117,-0.056414,-0.054952,-0.009997,-0.152471,0.036526,0.05456,-0.026528,-0.064616,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32072,吴语桐,,,20,,,,,,690,,差值,,36.39,78.65,45.42,61.89,46.85,13.61,21.63,80.23,55.73,94.41,24.93,27.51,70.63,78.94,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.508535,0.422475,0.676768,0.260313,0.371585,0.317212,0.264574,0.347487,0.246101,0.450704,0.400347,0.350649,0.353553,0.181373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32072,吴语桐,,,20,,,,,,376,22560,不在场,,79.8,59.93,82.62,47.35,69.7,40.23,53.81,76.49,83.77,72.02,13.41,36.26,45.7,76.82,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.52883,0.359143,0.683486,0.240527,0.376712,0.400329,0.320988,0.402439,0.256098,0.603175,0.363821,0.296089,0.380081,0.245989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32072,吴语桐,,,20,,,,,,314,18840,在场,,84.27,41.89,83.77,41.56,72.35,73.84,74.01,54.47,81.79,31.95,20.86,50,35.26,53.64,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.013753,-0.005398,0.064858,0.007435,0.02331,-0.002037,-0.0407,0.021332,0.061425,0.055728,-0.052094,0.064512,-0.00933,-0.049944,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32072,吴语桐,,,19,,,,,,720,,差值,,56.01,45.42,74.33,54.22,60.68,50.27,24.96,34.29,14.72,25.31,82.05,21.9,53.32,76.84,
