_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置),_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.516768,0.349085,0.689956,0.25,0.371951,0.400915,0.304183,0.372816,0.264078,0.551471,0.396117,0.294118,1,0.073786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,总和,,,,333.9,20035,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.517241,0.364943,0.645669,0.247126,0.372093,0.387931,0.325926,0.408621,0.262069,0.605263,0.413793,0.291667,0.324138,0.265957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,SF,,,小前锋,0.556,11134,,,80.96,43.05,77.65,43.54,69.7,67.72,75,51.32,81.29,31.79,11.75,51.82,57.45,45.7,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.518219,0.348178,0.744186,0.206478,0.372549,0.445344,0.272727,0.350829,0.259669,0.553191,0.337017,0.295082,0.403315,0.178082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,SG,,,得分后卫,0.349,6996,,,80.96,38.91,91.39,28.48,69.7,87.42,58.28,75.5,81.62,45.36,27.48,50,25.66,77.65,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.508475,0.254237,0.733333,0.440678,0.384615,0.305085,0.333333,0.238095,0.309524,0.230769,0.5,0.333333,0.190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,PF,,,大前锋,0.091,1821,,,79.8,18.21,90.73,90.89,73.18,35.93,77.98,97.19,70.7,99.17,4.97,40.89,93.21,100,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.5,0.5,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,,19,,PG,,,控球后卫,0.004,84,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.501887,0.335849,0.651685,0.290566,0.38961,0.373585,0.30303,0.329016,0.238342,0.5,0.352332,0.264706,1,0.07772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,总和,,,,142.8,8570,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.481061,0.378788,0.6,0.295455,0.282051,0.325758,0.348837,0.294737,0.2,0.421053,0.368421,0.228571,0.431579,0.195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,SG,,,得分后卫,0.477,4085,,,73.6,68.54,59.18,37.08,43.63,44.94,84.27,87.83,83.33,82.58,38.58,72.85,18.35,68.54,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.525,0.27,0.814815,0.26,0.538462,0.47,0.234043,0.373333,0.28,0.619048,0.293333,0.272727,0.426667,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,SF,,,小前锋,0.407,3487,,,86.33,38.01,95.51,26.22,97.94,88.76,45.88,62.17,58.99,37.45,63.67,59.74,19.1,73.03,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.611111,0.388889,0.571429,0.222222,0.25,0.388889,0.571429,0.3,0.2,0.333333,0.6,0.222222,0.2,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,PF,,,大前锋,0.068,584,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.4,0.333333,0.4,0.533333,0.5,0.133333,0,0.375,0.375,0.333333,0.25,1,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,40730,李嘉琳,,,18,,PG,,,控球后卫,0.048,414,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.508535,0.422475,0.676768,0.260313,0.371585,0.317212,0.264574,0.347487,0.246101,0.450704,0.400347,0.350649,1,0.064125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32072,吴语桐,,,20,,总和,,,,376,22560,,,,,,,,,,,,,,,,,true,
