_group,_leagueName,teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,lineups,上场时间(秒),上场时间(分钟),每回合得分百分位排名,打法占比百分位排名,球队eFG%百分位,球队篮下出手占比百分位排名,球队中距离出手占比百分位排名,球队三分出手占比百分位排名,失误占比百分位排名,造罚球占比百分位排名,对手每回合得分百分位排名,对手打法占比百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手中距离出手占比百分位排名,对手三分出手占比百分位排名,对手失误占比百分位排名,对手造罚球占比百分位排名,onOff
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,199,,Transition,0.2431,0.9803,203,90,,24,14,7,7,54,17,37,0.623418,0.5696,0.0886,0.3418,26,0.1281,19,0.0936,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,40730,,,2,19,2,,178,65,,,20035,333.9,65.9,65.02,75.09,47.35,22.08,79.51,64.49,57.95,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,183,,Transition,0.2514,0.8356,219,86,,29,32,13,19,45,13,32,0.552469,0.5276,0.1963,0.2761,38,0.1735,19,0.0868,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,40730,,,2,19,2,,178,65,,,21365,356.1,49.29,68.37,59.01,38.87,54.06,66.25,49.12,54.24,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.0083,0.1447,,,,,,,,,,,0.0709,0.042,-0.1077,0.0657,,-0.0454,,0.0068,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,40730,,,2,19,2,,178,65,,,,,79.29,21.07,76.15,71.18,32.73,77.39,54.2,65.84,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,79,,Transition,0.1994,1.254,63,34,,7,7,5,2,17,5,12,0.681034,0.5862,0.1207,0.2931,2,0.0317,3,0.0476,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,40730,,,2,18,2,,178,65,,,8570,142.8,89.77,47.54,83.9,67.42,18.37,65.15,94.32,34.16,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,190,,Transition,0.1593,0.9406,202,82,,24,27,11,16,42,17,25,0.625828,0.543,0.1788,0.2781,37,0.1832,14,0.0693,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,40730,,,2,18,2,,178,65,,,32230,537.2,60.8,26.33,76.14,60.23,34.66,61.55,43.94,48.67,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,0.0401,0.3134,,,,,,,,,,,0.0552,0.0432,-0.0581,0.015,,-0.1515,,-0.0217,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,40730,,,2,18,2,,178,65,,,,,91.9,99.78,73.85,70.57,47.81,63.89,80.09,50.22,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,213,,Transition,0.2554,0.895,238,101,,29,30,13,17,47,13,34,0.590395,0.5674,0.1685,0.264,40,0.1681,21,0.0882,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32072,,,4,20,2,,173,75,,,22560,376,56.36,69.61,68.9,47.35,46.29,63.43,49.29,55.48,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,169,,Transition,0.2377,0.9185,184,75,,24,16,7,9,52,17,35,0.583916,0.5245,0.1119,0.3636,24,0.1304,17,0.0924,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32072,,,4,20,2,,173,75,,,18840,314,58.48,62.37,67.84,38.16,30.74,84.25,64.25,57.95,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,0.0177,-0.0235,,,,,,,,,,,0.0065,0.0429,0.0566,-0.0996,,0.0377,,-0.0042,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32072,,,4,20,2,,173,75,,,,,58.59,99.9,63.26,71.76,76.62,36.35,24.52,60.78,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,4,,Transition,0.2,0.8,5,2,,0,1,0,1,2,0,2,0.4,0.4,0.2,0.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32072,,,4,18,2,,173,75,,,480,8,61.11,41.67,25,30.56,31.43,88.89,100,0,,,,,,,,,不在场
