_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,球员有效投篮命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Transition,35,0.9211,38,10,6,4,2,1,1,22,7,15,4,0.514706,0.2941,0.0588,0.6471,0.1053,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5.8756,4.097,44.47,45.62,58.99,53,10.83,18.43,95.39,73.96,0,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,P&R-Ball-Handler,15,1,15,1,1,0,6,2,4,6,3,3,2,0.576923,0.0769,0.4615,0.4615,0.1333,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.3193,1.6173,7.69,8.28,93.49,90.53,13.02,76.33,66.27,75.15,0,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Isolation,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.1546,0.1078,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Spot-Up,52,0.7324,71,1,0,1,9,2,7,56,16,40,5,0.393939,0.0152,0.1364,0.8485,0.0704,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10.9782,7.655,76.19,79.22,64.29,61.9,21.21,32.47,84.42,79.22,0,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Off-Screen,12,0.8,15,0,0,0,1,0,1,13,4,9,1,0.428571,0,0.0714,0.9286,0.0667,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.3193,1.6173,32.35,35.29,57.35,55.88,0,20.59,88.24,57.35,0,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Hand-Off,3,0.75,4,0,0,0,0,0,0,3,1,2,1,0.5,0,0,1,0.25,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.6185,0.4313,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Cut,10,1.25,8,2,1,1,5,3,2,0,0,0,0,0.571429,0.2857,0.7143,0,0,1,0.125,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1.237,0.8625,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,P&R-Roll-Man,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.1546,0.1078,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Put-Backs,7,1.1667,6,4,3,1,1,0,1,0,0,0,0,0.6,0.8,0.2,0,0,1,0.1667,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.9277,0.6469,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20035,333.9,17,Miscellaneous,2,0.2,10,0,0,0,1,1,0,2,0,2,7,0.333333,0,0.3333,0.6667,0.7,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1.5462,1.0782,2.36,2.36,43.31,43.31,0,55.91,87.4,50.39,0,
CUBAL一级联赛,CUBAL一级联赛,8570,142.8,11,Transition,9,1.125,8,2,0,2,0,0,0,6,3,3,0,0.5625,0.25,0,0.75,0,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,3.3798,2.0168,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,8570,142.8,11,P&R-Ball-Handler,10,1.4286,7,0,0,0,2,1,1,3,2,1,1,0.8,0,0.4,0.6,0.1429,1,0.1429,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,2.9573,1.7647,,,,,,,,,,
