_group,_seasonYear,_season,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,number,playerId,playerName,playerNameEn,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,gameStart,teamId,teamName,该打法占比,_playerName
2024-25,2024,2024-25,,,,Transition,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Spot-Up,5,0.8333,6,0,0,0,1,1,0,5,1,4,0,0.416667,0,0.1667,0.8333,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Off-Screen,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Put-Backs,2,1,2,2,1,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Transition,8,2,4,1,1,0,0,0,0,3,2,1,0,1,0.25,0,0.75,0,0,0,2,40730,李嘉琳,,2025-06-05,,,1003320780,上海交通大学,20005,200050010975,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Spot-Up,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,2,40730,李嘉琳,,2025-06-05,,,1003320780,上海交通大学,20005,200050010975,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Off-Screen,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0.5,0,0,0,2,40730,李嘉琳,,2025-06-05,,,1003320780,上海交通大学,20005,200050010975,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,40730,李嘉琳,,2025-06-04,,,1000120193,中南大学,20005,200050010973,,1003320453,清华大学,,
2024-25,2024,2024-25,,,,P&R-Ball-Handler,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,2,40730,李嘉琳,,2025-06-04,,,1000120193,中南大学,20005,200050010973,,1003320453,清华大学,,
