_group,_seasonYear,_season,_stageName,得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,上场时间(分钟),上场时间(秒),_playerName
2024-25,2024,2024-25,全部,15,0,0,0,7,1,0,1,2,6,15,0.4,1,1,1,2,7,0.2857,3,7,0.4286,0,0,0,40730,2024-10-23,0,1,2010421733,北京工业大学,20005,200050010679,18.2,1094,李嘉琳
2024-25,2024,2024-25,全部,6,1,2,3,3,1,0,2,1,2,7,0.2857,0,0,0,0,0,0,2,7,0.2857,0,0,0,40730,2025-06-01,0,1,1003320435,中国矿业大学,20005,200050010954,25.8,1548,李嘉琳
2024-25,2024,2024-25,全部,17,0,3,3,4,1,0,2,0,6,9,0.6667,1,1,1,0,1,0,5,7,0.7143,0,0,0,40730,2025-06-02,0,1,2010422416,山西财经大学,20005,200050010962,27.5,1649,李嘉琳
2024-25,2024,2024-25,全部,12,3,3,6,8,3,0,2,1,5,9,0.5556,2,3,0.6667,1,2,0.5,2,4,0.5,0,0,0,40730,2024-10-20,1,1,2010421729,北京体育大学,20005,200050010676,24.9,1492,李嘉琳
2024-25,2024,2024-25,全部,9,1,1,2,5,1,2,1,1,3,10,0.3,0,0,0,2,3,0.6667,1,7,0.1429,2,2,1,40730,2024-10-26,1,1,1003320454,中国人民大学,20005,200050010683,26.1,1567,李嘉琳
2024-25,2024,2024-25,全部,12,2,3,5,7,3,0,2,4,4,9,0.4444,1,1,1,0,1,0,3,7,0.4286,1,2,0.5,40730,2024-10-27,0,1,1003320451,北京科技大学,20005,200050010686,22.7,1359,李嘉琳
2024-25,2024,2024-25,全部,0,2,0,2,1,0,0,2,1,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,40730,2024-10-30,1,2,1003320452,北京师范大学,20005,200050010689,13,778,李嘉琳
2024-25,2024,2024-25,全部,7,1,1,2,2,1,0,1,3,3,5,0.6,1,1,1,1,2,0.5,1,2,0.5,0,0,0,40730,2024-11-02,1,1,1003320449,北京大学,20005,200050010693,19.8,1188,李嘉琳
2024-25,2024,2024-25,全部,8,1,2,3,7,1,0,3,0,3,5,0.6,1,1,1,0,0,0,2,4,0.5,0,0,0,40730,2025-03-12,1,1,1003320817,大连理工大学,20005,200050010787,22.7,1359,李嘉琳
2024-25,2024,2024-25,全部,11,0,4,4,7,1,2,1,1,4,11,0.3636,1,2,0.5,0,1,0,3,8,0.375,0,0,0,40730,2025-03-13,0,1,1003320661,天津财经大学,20005,200050010792,19.5,1170,李嘉琳
2024-25,2024,2024-25,全部,15,0,3,3,3,0,0,0,1,5,11,0.4545,0,0,0,0,0,0,5,11,0.4545,0,0,0,40730,2025-03-15,1,1,2010422340,哈尔滨体育学院,20005,200050010798,17.4,1041,李嘉琳
