_group,_seasonYear,_season,playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率,_playerName
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,2010421729,北京体育大学,1,Li Jialin,2,SF,1492,24.9,200050010676,0,2024-10-20,1,0,94.06,10.62,46.26,0.18556,100,0.666667,99.32,0.470588,53.06,0.181818,0.057041,95.92,0,0,0.115385,95.24,0.096774,54.42,0,0,0,,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,2010421733,北京工业大学,1,Li Jialin,2,SF,1094,18.2,200050010679,0,2024-10-23,1,0,77.32,5.93,99.32,0.338123,78.91,0.5,98.64,0.4375,97.28,0.0625,0.027819,55.78,0,0,0,0,0,0,1,0,1,1,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320454,中国人民大学,1,Li Jialin,2,SF,1567,26.1,200050010683,0,2024-10-26,1,0,70.29,4.71,17.69,0.146812,48.3,0.413603,55.1,0.178571,93.88,0.084175,0.018104,28.57,0.076923,99.32,0.027778,24.49,0.043478,6.12,0,0,0,,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320451,北京科技大学,1,Li Jialin,2,SF,1359,22.7,200050010686,0,2024-10-27,1,0,90.14,8.94,63.95,0.217582,96.6,0.607287,98.64,0.4375,60.54,0.16835,0.068918,100,0,0,0.090909,86.39,0.115385,69.39,0,0,0,,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320452,北京师范大学,2,Li Jialin,2,SF,778,13,200050010689,0,2024-10-30,1,0,5.07,-3.67,48.98,0.19305,0,0,48.3,0.166667,8.16,0.333333,0,0,0,0,0.153846,99.32,0,0,0,0,0,,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320449,北京大学,1,Li Jialin,2,SF,1188,19.8,200050010693,0,2024-11-02,1,0,58.32,3.13,12.24,0.133452,100,0.7,33.33,0.133333,60.54,0.166667,0.025604,49.66,0,0,0.047619,51.02,0.052632,14.29,0,0,0,,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320817,大连理工大学,1,Li Jialin,2,SF,1359,22.7,200050010787,0,2025-03-12,1,0,76.14,5.71,14.97,0.143164,100,0.8,86.39,0.28,4.76,0.375,0.022901,43.54,0,0,0.058824,68.03,0.068966,27.89,2,1,1,0.5,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320661,天津财经大学,1,Li Jialin,2,SF,1170,19.5,200050010792,0,2025-03-13,1,0,87.33,8.05,86.39,0.262927,78.91,0.5,99.32,0.466667,94.56,0.083333,0.024113,46.94,0.1,99.32,0,0,0.181818,95.24,4,2,2,0.5,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,2010422340,哈尔滨体育学院,1,Li Jialin,2,SF,1041,17.4,200050010798,1,2025-03-15,1,0,86.5,7.86,83.67,0.253924,100,0.681818,72.79,0.214286,100,0,0,0,0,0,0,0,0.2,97.28,1,1,0,0,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320545,中国海洋大学,1,Li Jialin,2,SF,1158,19.3,200050010806,1,2025-03-16,1,0,63.68,3.81,66.67,0.223033,55.78,0.444444,59.18,0.1875,53.06,0.181818,0.050774,92.52,0,0,0.0625,69.39,0.047619,6.8,0,0,0,,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,2010422337,山东理工大学,1,Li Jialin,2,SF,1364,22.7,200050010813,1,2025-03-17,1,0,45.67,1.64,59.86,0.20648,5.44,0.230769,39.46,0.15,100,0,0.043754,87.07,0,0,0.030303,27.21,0.115385,69.39,3,1,2,0.666667,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320452,北京师范大学,2,Li Jialin,2,SF,1334,22.2,200050010821,1,2025-03-18,1,0,16.63,-1.4,46.94,0.189394,28.57,0.357143,27.21,0.125,29.93,0.222222,0,0,0,0,0.041667,40.82,0.04,4.76,1,0,1,1,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,2010422544,华中科技大学,1,Li Jialin,2,SF,671,11.2,200050010932,0,2025-05-30,1,0,53.38,2.44,0.68,0.072359,0,0,86.39,0.285714,100,0,0.097174,100,0,0,0,0,0,0,2,1,1,0.5,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,2010422410,西安交通大学,1,Li Jialin,2,SF,1169,19.5,200050010945,0,2025-05-31,1,0,56.81,2.95,42.86,0.181159,55.78,0.444444,89.8,0.307692,100,0,0,0,0,0,0,0,0.041667,5.44,1,1,0,0,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1000120193,中南大学,1,Li Jialin,2,SF,981,16.4,200050010973,0,2025-06-04,1,0,12.16,-2.09,85.03,0.259924,11.56,0.277778,34.69,0.142857,53.06,0.181818,0,0,0,0,0.115385,95.24,0,0,0,0,0,,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320780,上海交通大学,1,Li Jialin,2,SF,1035,17.3,200050010975,0,2025-06-05,1,0,55.44,2.72,46.94,0.190476,93.88,0.571429,0,0,83.67,0.125,0.030959,66.67,0,0,0,0,0.05,9.52,3,1,2,0.666667,
2024-25,2024,2024-25,40730,李嘉琳,1003320453,20005,200406,,2,1003320449,北京大学,2,Li Jialin,2,SF,1275,21.3,200050010977,0,2025-06-06,1,0,21.26,-0.83,90.48,0.27067,19.73,0.321543,15.65,0.1,100,0,0,0,0,0,0.08,79.59,0.05,9.52,3,1,2,0.666667,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,1003320454,中国人民大学,1,Li Jialin,2,SG,1192,19.9,200050010421,0,2024-01-22,1,0,98.31,13.7,97.41,0.333333,100,1,61.21,0.25,100,0,0,0,0,0,0,0,0,0,0,0,0,,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,1003320452,北京师范大学,1,Li Jialin,2,SG,478,8,200050010423,0,2024-01-23,1,0,,-0.5,,0.111111,,0,,0.5,,1,0,,0,,0,,0.5,,0,0,0,,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,2010421733,北京工业大学,1,Li Jialin,2,SG,1831,30.5,200050010428,1,2024-01-24,1,0,64.82,3.6,6.9,0.137665,0,0.166667,51.72,0.222222,93.1,0.1,0.052481,96.55,0,0,0,0,0.085714,46.55,2,2,0,0,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,1003320451,北京科技大学,1,Li Jialin,2,SG,2256,37.6,200050010429,0,2024-01-25,1,0,99.48,18.1,10.34,0.154321,100,1,53.45,0.230769,100,0,0.031726,71.55,0,0,0,0,0,0,0,0,0,,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,1003320449,北京大学,1,Li Jialin,2,SG,330,5.5,200050010432,0,2024-01-26,1,0,,4.96,,0.173611,,1.5,,1,,0,0,,0,,0.333333,,0,,0,0,0,,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,1003320435,中国矿业大学,1,Li Jialin,2,SG,292,4.9,200050010622,0,2024-06-06,1,0,,-0.4,,0.185874,,0,,1,,0,0,,0,,0,,0.166667,,0,0,0,,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,1003320653,山西财经大学,1,Li Jialin,2,SG,1559,26,200050010636,0,2024-06-07,1,0,81.61,6.27,0.86,0.103093,95.69,0.6,34.48,0.181818,72.41,0.166667,0.048542,94.83,0,0,0.037037,43.97,0.117647,75,0,0,0,,
2023-24,2023,2023-24,40730,李嘉琳,1003320453,20005,200267,,2,1003320442,华中科技大学,1,Li Jialin,2,SG,306,5.1,200050010651,0,2024-06-08,1,0,,-1.1,,0.2,,0,,0,,0,0,,0,,0,,0,,0,0,0,,
