_group,_leagueName,助攻,盖帽,防守篮板,投篮命中数,投篮命中率,投篮出手数,罚球命中数,罚球命中率,罚球出手数,出场次数,首发次数,leagueEvent,leagueEventId,season,seasonId,year,中距离命中数,中距离命中率,中距离出手数,上场时间(分钟),进攻篮板,个人犯规,age,height,number,playerEnName,playerId,playerName,position,sex,teamId,teamName,得分,篮板(总),篮下命中数,篮下命中率,篮下出手数,上场时间(秒),抢断,三分命中数,三分命中率,三分出手数,失误,_playerName
CUBAL一级联赛,CUBAL一级联赛,1.6364,0.0909,0.9091,1.9091,0.4468,4.2727,0.1818,1,0.1818,11,1,CUBAL一级联赛,20005,2023-24,200267,2023,0.3636,0.5,0.7273,12.98,0.1818,0.1818,18,178,2,Li Jialin,40730,李嘉琳,SG,2,1003320453,清华大学,5.5455,1.0909,0,0,0.1818,779,0.6364,1.5455,0.4595,3.3636,0.4545,
CUBAL一级联赛,CUBAL一级联赛,3.6316,0.2105,1.5789,3.1053,0.362,8.5789,0.2105,0.8,0.2632,19,4,CUBAL一级联赛,20005,2024-25,200406,2024,0.4737,0.3333,1.4211,20.38,1,1.2632,19,178,2,Li Jialin,40730,李嘉琳,SF,2,1003320453,清华大学,8.4211,2.5789,0.6316,0.6316,1,1223,1.0526,2,0.3248,6.1579,1.2632,
CUBAL一级联赛,CUBAL一级联赛,0.25,0,2.5,3,0.4286,7,0.5,1,0.5,4,6,CUBAL一级联赛,20005,2022-23,200069,2022,0,0,0.5,18.52,1.5,1.25,18,173,4,Wu Yutong,32072,吴语桐,PG,2,1003320453,清华大学,7.5,4,0.5,1,0.5,1111,0.75,1,0.2857,3.5,0.5,
CUBAL一级联赛,CUBAL一级联赛,3.1765,0,0.9412,2.7059,0.4946,5.4706,1.2941,0.5238,2.4706,17,0,CUBAL一级联赛,20005,2023-24,200267,2023,0.4706,0.4211,1.1176,17.25,1.3529,1.5294,19,173,4,Wu Yutong,32072,吴语桐,SG,2,1003320453,清华大学,6.8824,2.2941,2.0588,0.6731,3.0588,1035,1.2353,0.1765,0.1364,1.2941,1.3529,
CUBAL一级联赛,CUBAL一级联赛,2.7647,0,1.4118,4.5882,0.4671,9.8235,1.2353,0.5526,2.2353,17,12,CUBAL一级联赛,20005,2024-25,200406,2024,0.8824,0.3947,2.2353,22.12,1.5882,1.0588,20,173,4,Wu Yutong,32072,吴语桐,SG,2,1003320453,清华大学,11.2353,3,2.8824,0.6622,4.3529,1327,1.1176,0.8235,0.2545,3.2353,1.7647,
CUBAL一级联赛,CUBAL一级联赛,2.8,0,2.4,2.8,0.4,7,0.2,0.5,0.4,5,5,CUBAL一级联赛,20005,2022-23,200069,2022,0.2,0.3333,0.6,24.72,1.2,2.2,20,170,5,Wang Xiaoqing,32064,王小青,PG,2,1003320453,清华大学,7.4,3.6,0.6,0.75,0.8,1483,0.8,1.6,0.381,4.2,2,
CUBAL一级联赛,CUBAL一级联赛,3.0556,0,1.6111,1.8889,0.4146,4.5556,0.3889,0.5385,0.7222,18,18,CUBAL一级联赛,20005,2023-24,200267,2023,0.1111,0.25,0.4444,21.37,0.8333,1.2778,21,170,5,Wang Xiaoqing,32064,王小青,PG,2,1003320453,清华大学,5.3333,2.4444,0.6111,0.5,1.2222,1282,0.8333,1.1667,0.4038,2.8889,1.4444,
CUBAL一级联赛,CUBAL一级联赛,5.5789,0.0526,2.5789,3.2105,0.4236,7.5789,0.8947,0.6296,1.4211,19,19,CUBAL一级联赛,20005,2024-25,200406,2024,0.2632,0.2941,0.8947,25.82,0.5789,1.6316,22,170,5,Wang Xiaoqing,32064,王小青,PG,2,1003320453,清华大学,8.8947,3.1579,1.3684,0.5909,2.3158,1549,1.3158,1.5789,0.3614,4.3684,1.8421,
CUBAL一级联赛,CUBAL一级联赛,1.625,0.4375,2.875,1.625,0.4407,3.6875,0.5625,0.9,0.625,16,2,CUBAL一级联赛,20005,2023-24,200267,2023,0.5,0.5333,0.9375,15.03,2.25,0.5625,19,189,3,Liu Qi,92064,刘琦,PF,2,1003320453,清华大学,4,5.125,0.9375,0.625,1.5,902,0.625,0.1875,0.15,1.25,0.75,
CUBAL一级联赛,CUBAL一级联赛,2.4211,0.4737,4.4737,2.6842,0.3806,7.0526,0.7895,0.6818,1.1579,19,8,CUBAL一级联赛,20005,2024-25,200406,2024,0.4737,0.3214,1.4737,20.57,2.6316,1.2632,20,189,6,Liu Qi,92064,刘琦,PF,2,1003320453,清华大学,7.1053,7.1053,1.2632,0.8,1.5789,1234,1.0526,0.9474,0.2368,4,0.9474,
