_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,39,20035,333.9,true,65.75,0.452381,56.85,18,68.49,0.611111,88.36,26,70.55,0.346154,100,103,70.55,0.300971,36.3,5,86.3,0.8,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,SF,178,65,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,11134,0.556,false,80.27,0.480263,36.73,9,33.33,0.444444,68.03,17,80.95,0.411765,89.12,50,84.35,0.34,24.49,3,61.9,0.666667,87.07,9,85.71,0.444444,87.76,38,69.39,0.289474,55.78,9,82.31,0.444444,68.03,4,64.63,0.25,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,SG,178,65,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,13,6996,0.349,false,51.8,0.394737,20.86,7,88.49,0.714286,11.51,4,39.57,0.25,79.14,46,59.71,0.23913,0,0,0,0,61.87,4,61.87,0.25,79.86,40,58.27,0.25,17.99,3,55.4,0.333333,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,PF,178,65,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,8,1821,0.091,false,92.57,0.576923,5.41,2,100,1,17.57,4,42.57,0.25,52.03,7,92.57,0.428571,11.49,2,100,1,49.32,1,0,0,45.95,4,93.24,0.5,5.41,1,100,1,24.32,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,PG,178,65,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1,84,0.004,false,0,0,0,0,0,0,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,,,18,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,22,8570,142.8,true,99.13,0.62766,0,2,0,0,15.65,8,96.52,0.5,66.96,37,98.26,0.459459,11.3,2,100,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,SG,178,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,7,4085,0.477,false,64.66,0.416667,0,2,0,0,5.17,3,0,0,28.45,13,94.83,0.384615,11.21,2,100,1,49.14,3,94.83,0.666667,24.14,10,72.41,0.3,1.72,2,0,0,17.24,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,SF,178,65,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,9,3487,0.407,false,99.18,0.666667,0,0,0,0,4.92,2,100,1,45.9,19,96.72,0.421053,0,0,0,0,23.77,1,0,0,51.64,18,97.54,0.444444,4.92,1,100,1,23.77,1,100,1,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,PF,178,65,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,3,584,0.068,false,100,1.2,0,0,0,0,0,0,0,0,42.59,5,99.07,0.8,0,0,0,0,49.07,1,100,1,42.59,4,98.15,0.75,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,PG,178,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,3,414,0.048,false,100,0.666667,0,0,0,0,5.88,3,98.04,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,1,100,1,36.27,2,87.25,0.5,
