_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,SF,178,65,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,20035,333.9,false,65.75,0.452381,56.85,18,68.49,0.611111,88.36,26,70.55,0.346154,100,103,70.55,0.300971,36.3,5,86.3,0.8,95.21,14,76.71,0.357143,100,82,66.44,0.280488,71.23,13,83.56,0.461538,80.82,6,59.59,0.166667,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,SG,178,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,11,8570,142.8,false,99.13,0.62766,0,2,0,0,15.65,8,96.52,0.5,66.96,37,98.26,0.459459,11.3,2,100,1,55.65,5,93.04,0.6,69.57,32,97.39,0.4375,11.3,4,93.04,0.5,61.74,4,74.78,0.5,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,20,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,22560,376,false,88.41,0.508982,98.55,74,84.06,0.662162,92.03,38,71.74,0.394737,86.23,55,63.77,0.254545,94.93,38,39.86,0.552632,89.86,11,52.9,0.181818,78.99,38,72.46,0.289474,89.86,27,75.36,0.407407,92.03,9,68.12,0.333333,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,17598,293.3,false,88.7,0.510753,92.17,52,76.52,0.673077,58.26,19,85.22,0.421053,47.83,22,22.61,0.136364,93.04,42,39.13,0.52381,67.83,6,74.78,0.333333,45.22,16,15.65,0.0625,66.09,17,68.7,0.352941,24.35,2,100,1,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,18,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,480,8,false,,0.4,,2,,1,,2,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,0,,2,,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,22,,1003320453,清华大学,PG,170,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,27487,458.1,false,90.32,0.538168,93.55,40,60.48,0.55,67.74,17,54.84,0.294118,97.58,74,90.32,0.391892,83.87,21,67.74,0.666667,90.32,9,83.87,0.444444,96.77,61,90.32,0.393443,58.06,11,38.71,0.181818,49.19,2,100,1,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,21,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,23083,384.7,false,98.02,0.542683,74.26,22,45.54,0.5,16.83,8,36.63,0.25,82.18,52,97.03,0.403846,58.42,13,49.5,0.538462,49.5,3,80.2,0.333333,86.14,49,92.08,0.408163,16.83,6,58.42,0.333333,29.7,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,20,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,2129,35.5,false,94.12,0.538462,29.41,4,82.35,0.75,17.65,3,58.82,0.333333,11.76,6,76.47,0.333333,0,0,0,0,0,0,0,0,29.41,6,82.35,0.333333,41.18,3,58.82,0.333333,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,6,20,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,20257,337.6,false,57.82,0.421053,64.63,27,95.92,0.777778,78.91,26,69.39,0.346154,96.6,61,52.38,0.196721,77.55,20,76.87,0.7,94.56,10,69.39,0.1,96.6,49,64.63,0.22449,83.67,21,47.62,0.285714,49.66,2,87.07,0.5,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,3,19,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,16,14428,240.5,false,70.09,0.466102,68.22,24,68.22,0.625,45.79,15,98.13,0.533333,71.03,20,49.53,0.15,49.53,10,91.59,0.9,74.77,4,0,0,71.96,16,60.75,0.1875,50.47,12,89.72,0.5,42.99,3,93.46,0.666667,
