_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,SF,178,65,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,20035,333.9,false,52.05,0.048,29.45,0.069638,56.16,0.027978,73.29,0.011765,34.93,0.03575,46.85,21,21,9,12,28.83,0.571429,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,SG,178,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,11,8570,142.8,false,6.96,0.013333,31.3,0.071429,60.87,0.029447,73.04,0.008772,96.52,0.008413,,6,6,4,2,,0.333333,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,20,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,22560,376,false,77.54,0.066015,17.39,0.058537,47.1,0.026564,0,0,75.36,0.020971,,5,5,2,3,,0.6,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,17598,293.3,false,84.35,0.076667,13.04,0.055172,80.87,0.038518,0,0,16.52,0.047689,45.45,19,19,6,13,13.64,0.684211,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,18,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,480,8,false,,0,,0,,0.050505,,0,,0.050505,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,22,,1003320453,清华大学,PG,170,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,27487,458.1,false,29.03,0.022917,55.65,0.096311,41.13,0.026485,58.87,0.002222,41.13,0.032243,10.99,13,13,9,4,98.9,0.307692,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,21,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,23083,384.7,false,60.4,0.038363,34.65,0.072319,27.72,0.022338,0,0,36.63,0.032763,50,19,19,10,9,70.83,0.473684,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,20,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,2129,35.5,false,41.18,0.037037,35.29,0.071429,23.53,0.017288,0,0,0,0.086438,,1,1,0,1,,1,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,6,20,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,20257,337.6,false,90.48,0.125654,93.88,0.195767,67.35,0.027974,84.35,0.026163,56.46,0.032637,85.38,53,53,28,25,50.77,0.471698,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,3,19,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,16,14428,240.5,false,99.07,0.153191,87.85,0.185484,53.27,0.022229,87.85,0.031532,97.2,0.013337,56.12,36,36,22,14,70.41,0.388889,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,SF,181,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,12,13288,221.5,false,98.63,0.138249,82.88,0.138075,98.63,0.063677,55.48,0.004808,6.85,0.05896,,1,1,1,0,,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,20,,1003320453,清华大学,SF,181,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,17549,292.5,false,85.12,0.082192,61.98,0.118705,90.91,0.046053,73.55,0.012658,26.45,0.046053,41.84,19,19,6,13,8.16,0.684211,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,PF,181,74,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,1148,19.1,false,,0.09375,,0.055556,,0.055932,,0,,0.055932,,2,2,1,1,,0.5,
CUBAL一级联赛,CUBAL一级联赛,92943,梁悦洁,Liang Yuejie,8,20,,1003320453,清华大学,PF,180,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,35,0.6,false,,0,,0,,0,,0,,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,21196,353.3,false,88.71,0.068063,57.26,0.097625,47.58,0.028355,62.1,0.002809,32.26,0.034325,,8,8,5,3,,0.375,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,20,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,24301,405,false,72.28,0.04703,41.58,0.08,37.62,0.024589,52.48,0.002625,51.49,0.028687,63.89,22,22,11,11,63.89,0.5,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,Wei Yiran,10,18,,1003320453,清华大学,PF,185,79,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,6877,114.6,false,97.28,0.165468,85.03,0.170543,25.17,0.013946,85.03,0.026316,27.21,0.046488,,2,2,0,2,,1,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,21,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,15874,264.6,false,96.6,0.156716,98.64,0.24735,97.96,0.062021,31.97,0.004016,17.69,0.052018,53.08,29,29,21,8,96.15,0.275862,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,20,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,17,25014,416.9,false,96.26,0.138173,100,0.245327,79.44,0.034006,35.51,0.005236,25.23,0.043528,65.31,42,42,26,16,75.51,0.380952,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,19,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,2051,34.2,false,100,0.214286,85,0.16,90,0.051099,85,0.029412,0,0.068132,,5,5,3,2,,0.4,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,23,,1003320453,清华大学,SF,175,68,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,5718,95.3,false,70.55,0.063636,11.64,0.051546,89.04,0.045068,0,0,83.56,0.016901,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,22,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,15,17298,288.3,false,90.43,0.09319,8.7,0.044521,95.65,0.048552,69.57,0.007937,93.04,0.011653,,9,9,5,4,,0.444444,
