_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,39,20035,333.9,true,52.05,0.048,29.45,0.069638,55.78,0.027975,73.29,0.011765,35.37,0.035745,46.85,21,21,9,12,28.83,0.571429,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,SF,178,65,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,11134,0.556,false,54.42,0.049751,6.8,0.046154,49.66,0.025588,0,0,38.78,0.034117,0,10,10,4,6,21.43,0.6,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,SG,178,65,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,13,6996,0.349,false,53.24,0.043478,62.59,0.103175,48.2,0.026753,91.37,0.018519,37.41,0.035671,,9,9,5,4,,0.444444,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,PF,178,65,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,8,1821,0.091,false,28.38,0.057143,16.22,0.085714,94.59,0.046412,86.49,0.029412,27.7,0.046412,,2,2,0,2,,1,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,PG,178,65,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1,84,0.004,false,0,0,0,0,0,0,100,0.5,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,,,18,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,22,8570,142.8,true,6.96,0.013333,31.3,0.071429,60.87,0.029447,73.04,0.008772,96.52,0.008413,,6,6,4,2,,0.333333,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,SG,178,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,7,4085,0.477,false,0,0,43.1,0.083333,53.45,0.026247,0,0,95.69,0.008749,,4,4,3,1,,0.25,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,SF,178,65,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,9,3487,0.407,false,36.07,0.035714,23.77,0.076923,86.89,0.041082,91.8,0.023256,100,0,,1,1,0,1,,1,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,PF,178,65,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,3,584,0.068,false,0,0,0,0,0,0,0,0,1.85,0.063613,,1,1,1,0,,0,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,PG,178,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,3,414,0.048,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,,,20,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,31,22560,376,true,77.54,0.066015,17.39,0.058537,47.48,0.026579,0,0,74.82,0.020983,,5,5,2,3,,0.6,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,20,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,18417,0.816,false,79.86,0.068536,13.67,0.053254,48.92,0.02731,0,0,82.01,0.018776,,4,4,2,2,,0.5,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,20,,1003320453,清华大学,SF,173,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,7,2138,0.095,false,44.22,0.043478,2.04,0.029412,0,0,0,0,83.67,0.016814,,1,1,0,1,,1,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,20,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,7,2005,0.089,false,88.8,0.071429,87.2,0.131579,76.8,0.043155,0,0,16,0.043155,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,23,17598,293.3,true,84.35,0.076667,13.04,0.055172,80.17,0.038498,0,0,17.24,0.047664,45.45,19,19,6,13,13.64,0.684211,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,16169,0.919,false,87.07,0.079422,17.24,0.060606,83.62,0.039784,0,0,12.93,0.04973,42.7,18,18,6,12,16.85,0.666667,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4,1232,0.07,false,77.45,0.052632,0,0,40.2,0.026498,0,0,57.84,0.026498,,1,1,0,1,,1,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,SF,173,75,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,2,197,0.011,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,,,18,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,2,480,8,true,0,0,0,0,100,0.178571,0,0,0,0.178571,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,18,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,251,0.523,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,18,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,229,0.477,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,22,,1003320453,清华大学,总和,170,68,,20005,CUBAL一级联赛,200406,2024-25,2024,17,27487,458.1,true,29.03,0.022917,55.65,0.096311,41.13,0.026485,58.87,0.002222,41.13,0.032243,10.99,13,13,9,4,98.9,0.307692,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,22,,1003320453,清华大学,PG,170,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,27487,1,false,28.8,0.022917,55.2,0.096311,40.8,0.026485,58.4,0.002222,41.6,0.032243,10.87,13,13,9,4,98.91,0.307692,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,21,,1003320453,清华大学,总和,170,67,,20005,CUBAL一级联赛,200267,2023-24,2023,18,23083,384.7,true,60.4,0.038363,34.65,0.072319,27.72,0.022338,0,0,36.63,0.032763,50,19,19,10,9,70.83,0.473684,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,21,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,23083,1,false,59.8,0.038363,34.31,0.072319,27.45,0.022338,0,0,37.25,0.032763,49.32,19,19,10,9,71.23,0.473684,
