_group,_leagueName,_seasonYear,底角三分命中率,有效投篮命中率,leagueEvent,leagueEventId,season,seasonId,year,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手eFG%百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队eFG%百分位,teamId,球队中距离命中率百分位排名,teamName,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.517939,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.37386,690.5,0,0,0.372778,65.56,0,0.326829,43.38,0,0,0,0.383536,15.89,0,0.250702,82.28,0,0.365762,40.73,0.522388,53.48,0,0.212276,66.39,0,0,0.251145,0,0.39313,0,0.355725,0.679612,,0,80.96,1003320453,69.87,清华大学,44.54,51.99,54.8,82.95,65.73,0.293991
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.565934,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.538462,45.2,0,0,0.45082,35.76,0,0.461538,11.09,0,0,0,0.42623,10.93,0,0.163934,95.03,0,0.409836,23.51,0.5,59.6,0,0.28,39.4,0,0,0.285714,0,0.384615,0,0.32967,0.771429,2713,0,91.06,1003320453,96.36,清华大学,57.45,49.34,45.2,93.87,41.89,0.233333
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.444444,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3.8,0,0,0.75,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0.5,,0,0,0.222222,0,0.444444,0,0.333333,1,230,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.285714,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.9,0,0,0.5,,0,0,,0,0,0,0.166667,,0,0.666667,,0,0.166667,,0.75,,0,0,,0,0,0.428571,0,0.428571,0,0.142857,0.666667,176,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.636364,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4.9,0,0,0.25,,0,0,,0,0,0,0.25,,0,0.5,,0,0.25,,0.5,,0,0,,0,0,0.181818,0,0.181818,0,0.636364,0.5,294,0,,1003320453,,清华大学,,,,,,0.571429
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.46,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.357143,12.2,0,0,0.375,,0,0.555556,,0,0,0,0.5625,,0,0.4375,,0,0,,0.142857,,0,0,,0,0,0.56,0,0.28,0,0.16,0.714286,733,0,,1003320453,,清华大学,,,,,,0.25
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.583333,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.538462,8.5,0,0,0.714286,,0,0.333333,,0,0,0,0.428571,,0,0.142857,,0,0.428571,,1,,0,0.666667,,0,0,0.541667,0,0.25,0,0.208333,0.666667,508,0,,1003320453,,清华大学,,,,,,0.4
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.714286,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.428571,7,0,0,0.321429,,0,0.166667,,0,0,0,0.428571,,0,0.142857,,0,0.428571,,1,,0,0.166667,,0,0,0.5,0,0.285714,0,0.214286,1,421,0,,1003320453,,清华大学,,,,,,0.666667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.4,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,3.1,0,0,0.5,,0,1,,0,0,0,0.5,,0,0.5,,0,0,,0,,0,0,,0,0,0.4,0,0.4,0,0.2,0.5,186,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.428571,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,4,0,0,0,,0,0,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,0,,0,0,0.571429,0,0.142857,0,0.285714,1,242,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.52381,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,10.6,0,0,0.142857,,0,0,,0,0,0,0.357143,,0,0.357143,,0,0.285714,,0.4,,0,0,,0,0,0.380952,0,0.238095,0,0.380952,0.8,638,0,,1003320453,,清华大学,,,,,,0.25
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.366667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.333333,9.1,0,0,0.192308,,0,0.111111,,0,0,0,0.692308,,0,0.153846,,0,0.153846,,0,,0,0.5,,0,0,0.2,0,0.333333,0,0.466667,0.6,545,0,,1003320453,,清华大学,,,,,,0.142857
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.738095,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,12,0,0,0.138889,,0,0.111111,,0,0,0,0.5,,0,0.333333,,0,0.166667,,0,,0,0.333333,,0,0,0.095238,0,0.571429,0,0.333333,0.916667,722,0,,1003320453,,清华大学,,,,,,0.428571
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1.25,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,1.2,0,0,1,,0,1,,0,0,0,0.5,,0,0.5,,0,0,,1,,0,0,,0,0,0.5,0,0,0,0.5,0,73,0,,1003320453,,清华大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.9,0,0,0.5,,0,0,,0,0,0,0,,0,0.5,,0,0.5,,1,,0,0,,0,0,0,0,0.333333,0,0.666667,0,116,0,,1003320453,,清华大学,,,,,,0
