主客场,teamId,maxRate,twoGoals,twoAttempt,shootGoals,shootAttempt,rimGoals,rimAttempt,middleGoals,middleAttempt,threeGoals,threeAttempt,leftCornerGoals,leftCornerAttempt,rightCornerGoals,rightCornerAttempt,rimRate,middleRate,twoPointRate,shootRate,threePointRate,leftCornerShootRate,rightCornerShootRate,avgRimRate,avgMiddleRate,avgThreePointRate,avgLeftCornerShootRate,avgRightCornerShootRate,时间段
1,1003320453,,16,38,22,68,0,0,16,38,6,25,0,3,1,2,0,0.4211,0.4211,0.3235,0.24,0,0.5,0.5427,0.3105,0.2557,0.2557,0.2935,全场
2,1003320449,,21,50,27,78,0,0,21,50,6,22,0,1,2,5,0,0.42,0.42,0.3462,0.2727,0,0.4,0.5427,0.3105,0.2557,0.2557,0.2935,全场
1,1003320453,,3,12,5,17,0,0,3,12,2,4,0,1,0,0,0,0.25,0.25,0.2941,0.5,0,0,0.5427,0.3105,0.2557,0.2557,0.2935,Q1
2,1003320449,,4,15,4,21,0,0,4,15,0,5,0,0,1,1,0,0.2667,0.2667,0.1905,0,0,1,0.5427,0.3105,0.2557,0.2557,0.2935,Q1
1,1003320453,,1,5,2,16,0,0,1,5,1,10,0,1,0,0,0,0.2,0.2,0.125,0.1,0,0,0.5427,0.3105,0.2557,0.2557,0.2935,Q2
2,1003320449,,4,13,7,20,0,0,4,13,3,7,0,0,0,0,0,0.3077,0.3077,0.35,0.4286,0,0,0.5427,0.3105,0.2557,0.2557,0.2935,Q2
1,1003320453,,6,10,8,16,0,0,6,10,2,5,0,0,0,1,0,0.6,0.6,0.5,0.4,0,0,0.5427,0.3105,0.2557,0.2557,0.2935,Q3
2,1003320449,,7,14,9,24,0,0,7,14,2,7,0,1,1,2,0,0.5,0.5,0.375,0.2857,0,0.5,0.5427,0.3105,0.2557,0.2557,0.2935,Q3
1,1003320453,,6,11,7,19,0,0,6,11,1,6,0,1,1,1,0,0.5455,0.5455,0.3684,0.1667,0,1,0.5427,0.3105,0.2557,0.2557,0.2935,Q4
2,1003320449,,6,8,7,13,0,0,6,8,1,3,0,0,0,2,0,0.75,0.75,0.5385,0.3333,0,0,0.5427,0.3105,0.2557,0.2557,0.2935,Q4
