teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,teamTotalNum,出场次数,leagueEventId,leagueEvent,seasonId,season,year,pctPlaytypeRank,teamPppRank,teamEfgPctRank,teamPctRfgaRank,teamPctMfgaRank,teamPctThfgaRank,teamPctTovRank,teamPctFtRank,oppPctPlaytypeRank,oppPppRank,oppEfgPctRank,oppPctRfgaRank,oppPctMfgaRank,oppPctThfgaRank,oppPctTovRank,oppPctFtRank,时间段,_group
1003320453,清华大学,15,,Transition,0.1979,0.7895,19,9,4,5,1,0,1,4,2,2,0.5,0.6429,0.0714,0.2857,2,0.1053,3,0.1579,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,8,,P&R-Ball-Handler,0.0938,0.8889,9,2,1,1,1,1,0,4,1,3,0.5,0.2857,0.1429,0.5714,2,0.2222,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,2,,Isolation,0.0313,0.6667,3,1,1,0,1,0,1,0,0,0,0.5,0.5,0.5,0,1,0.3333,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,2,,Post-Up,0.0313,0.6667,3,2,1,1,0,0,0,0,0,0,0.5,1,0,0,1,0.3333,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,10,,Spot-Up,0.2708,0.3846,26,0,0,0,3,1,2,18,2,16,0.190476,0,0.1429,0.8571,4,0.1538,1,0.0385,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,3,,Off-Screen,0.0417,0.75,4,1,1,0,1,0,1,2,0,2,0.25,0.25,0.25,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,10,,Hand-Off,0.0938,1.1111,9,1,1,0,1,0,1,2,2,0,1,0.25,0.25,0.5,3,0.3333,2,0.2222,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,8,,Cut,0.1042,0.8,10,2,2,0,6,1,5,0,0,0,0.375,0.25,0.75,0,1,0.1,1,0.1,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,7,,Put-Backs,0.0729,1,7,4,2,2,1,0,1,0,0,0,0.4,0.8,0.2,0,0,0,2,0.2857,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
1003320453,清华大学,0,,Miscellaneous,0.0625,0,6,0,0,0,1,0,1,0,0,0,0,0,1,0,5,0.8333,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,homeTeamPlaytype
